n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,1,Random Projection,1.3880180001724511,0.001012600027024746,0.001853700028732419,2.3800181224942207e-05,0.00018080021254718304,0.00015569990500807762,9.109987877309322e-05,3.200001083314419e-05,0.0001354999840259552,5.499925464391708e-06,1.387389900162816,1.3880180001724511,1.3880143002606928,3.6999117583036423e-06,1.3908843002282083,,,,,,,,,
200,1,Random Sampling,0.023851700127124786,0.001012600027024746,0.0016666001174598932,,,,,,,,,0.023851700127124786,0.023847399512305856,4.300614818930626e-06,0.026530900271609426,0.00018569990061223507,0.00030029984191060066,0.00250110006891191,2.8299866244196892e-05,0.0001417999155819416,0.02069019991904497,,,
200,1,Non-random,0.02576530002988875,0.001012600027024746,0.0017806000541895628,,,,,,,,,0.02576530002988875,0.025762900011613965,2.400018274784088e-06,0.028558500111103058,,,,,,,0.004660899983718991,0.021081299986690283,2.0700041204690933e-05
200,2,Random Projection,0.023141599958762527,0.0005988001357764006,0.0016013002023100853,2.6899855583906174e-05,0.00023819995112717152,8.190004155039787e-05,5.679996684193611e-05,4.779989831149578e-05,6.54000323265791e-05,6.299931555986404e-06,0.022614400135353208,0.023141599958762527,0.02313769981265068,3.90014611184597e-06,0.025341700296849012,,,,,,,,,
200,2,Random Sampling,0.025254599982872605,0.0005988001357764006,0.0017563002184033394,,,,,,,,,0.025254599982872605,0.02525029960088432,4.300381988286972e-06,0.027609700337052345,0.00019779987633228302,0.0002539998386055231,0.002314700046554208,3.66999302059412e-05,6.309989839792252e-05,0.02238400001078844,,,
200,2,Non-random,0.02542600012384355,0.0005988001357764006,0.0017863998655229807,,,,,,,,,0.02542600012384355,0.025423499988391995,2.500135451555252e-06,0.027811200125142932,,,,,,,0.004461399978026748,0.020935500040650368,2.659996971487999e-05
200,3,Random Projection,0.022291499888524413,0.0006229998543858528,0.0016451000701636076,2.8399983420968056e-05,0.00023390003480017185,8.220016025006771e-05,5.979998968541622e-05,5.08998055011034e-05,6.989995017647743e-05,6.4999330788850784e-06,0.021757100010290742,0.022291499888524413,0.02228869986720383,2.800021320581436e-06,0.024559599813073874,,,,,,,,,
200,3,Random Sampling,0.026384799974039197,0.0006229998543858528,0.0019377002026885748,,,,,,,,,0.026384799974039197,0.02638170006684959,3.0999071896076202e-06,0.028945500031113625,0.00017879996448755264,0.0003302998375147581,0.003029900137335062,3.2700132578611374e-05,5.659996531903744e-05,0.022753400029614568,,,
200,3,Non-random,0.025940400082617998,0.0006229998543858528,0.0019243999850004911,,,,,,,,,0.025940400082617998,0.025939000071957707,1.400010660290718e-06,0.028487799922004342,,,,,,,0.004220100119709969,0.021696999901905656,2.1900050342082977e-05
200,4,Random Projection,0.021947399945929646,0.0006012998055666685,0.0015869000926613808,2.6600202545523643e-05,0.0002300997730344534,7.720012217760086e-05,5.430006422102451e-05,4.5999884605407715e-05,6.440002471208572e-05,6.6999346017837524e-06,0.021439499920234084,0.021947399945929646,0.021944799926131964,2.600019797682762e-06,0.024135599844157696,,,,,,,,,
