n,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std
200,Non-random,0.025652545015327634,0.0008473445502710393,0.0006027400027960539,0.0001182977064332094,0.001990529999602586,0.00018258332092315437,,,,,,,,,,,,,,,,,0.025652545015327634,0.0008473445502710393,0.02565066999522969,0.0008472518343196246,1.8750200979411601e-06,3.654283034370131e-07,0.028245815017726272,0.0008750874613229206,,,,,,,,,,,,,0.004446835012640804,0.00023319627742324813,0.021179680002387614,0.0007887843946501619,2.4154980201274158e-05,4.010972056891211e-06
200,Random Projection,0.09205677499994636,0.30511221306736797,0.0006027400027960539,0.0001182977064332094,0.00188702002633363,0.0007632874690791819,2.5985005777329206e-05,2.286611939958725e-06,0.00020938002271577715,2.9899272031116525e-05,7.77999870479107e-05,1.9703983361373674e-05,5.368499550968408e-05,1.0905528766761897e-05,4.247499164193869e-05,5.8885618974756225e-06,6.44900370389223e-05,1.8102989005546164e-05,5.704944487661123e-06,8.544093050563314e-07,0.09157429001061246,0.30507816454075615,0.09205677499994636,0.30511221306736797,0.09205380999483168,0.3051120373838272,2.9650051146745683e-06,4.522473066054384e-07,0.09454653502907603,0.30521891264113066,,,,,,,,,,,,,,,,,,
200,Random Sampling,0.025867195008322595,0.0014736595121855793,0.0006027400027960539,0.0001182977064332094,0.001650844980031252,0.0001395462702724442,,,,,,,,,,,,,,,,,0.025867195008322595,0.0014736595121855793,0.02586380501743406,0.0014736381421683697,3.3899908885359763e-06,4.052404786983129e-07,0.028120779991149904,0.001444033260514184,0.00021313499892130494,1.7916160533050224e-05,0.0003059649839997292,2.424391151346822e-05,0.0028572400216944514,0.000367052244939898,4.0050013922154903e-05,5.571239422610915e-06,7.232001516968011e-05,1.9311424722906352e-05,0.02237509498372674,0.0013935972434388484,,,,,,
400,Non-random,0.12226658499566838,0.020111612577728366,0.002792834991123527,0.0003347179915598877,0.015897785010747612,0.0008673887273289419,,,,,,,,,,,,,,,,,0.12226658499566838,0.020111612577728366,0.12226495001232252,0.020111585782252087,1.6349833458662033e-06,2.719578330707365e-07,0.14095720499753953,0.020356954243295786,,,,,,,,,,,,,0.09667266497854143,0.019499617529457797,0.025310150033328684,0.001333238942917549,0.0002821350004523993,3.2141071324934195e-05
400,Random Projection,0.028480599995236843,0.0020006485895799897,0.002792834991123527,0.0003347179915598877,0.016093229956459253,0.003954749225385318,4.717999836429953e-05,3.576454082643552e-06,0.00043010500958189367,4.918125120919507e-05,0.00010351999662816525,1.4193784503665151e-05,0.0001712749944999814,0.00022740604294368513,0.0006075350102037191,0.0008407258332570551,7.90849793702364e-05,1.4191110409196065e-05,9.390001650899649e-06,1.6901877906371986e-06,0.02702883001184091,0.0015610479897716055,0.028480599995236843,0.0020006485895799897,0.028476920002140103,0.002000426339502199,3.679993096739054e-06,4.099332341991051e-07,0.047366664942819624,0.004844474575881071,,,,,,,,,,,,,,,,,,
400,Random Sampling,0.03480843999423087,0.0014431777002467722,0.002792834991123527,0.0003347179915598877,0.01531815001508221,0.0007529431954151656,,,,,,,,,,,,,,,,,0.03480843999423087,0.0014431777002467722,0.034804794914089145,0.0014430542423503891,3.645080141723156e-06,3.502282201286569e-07,0.0529194250004366,0.0015511530555073066,0.0006358649581670762,0.00013881254185044847,0.0018285749712958932,0.000199416719157062,0.0035990950069390236,0.00042573206319625125,0.0003274299553595483,4.575308588870132e-05,0.0008441499900072813,0.00014476003848478894,0.02756968003232032,0.001526458023392269,,,,,,
600,Non-random,0.15489614999387413,0.07247063042391602,0.007026550022419542,0.0007251928024116755,0.03357784500112757,0.0015151869518312696,,,,,,,,,,,,,,,,,0.15489614999387413,0.07247063042391602,0.15489438504446298,0.07247061630171395,1.7649494111537933e-06,3.1164046593585647e-07,0.19550054501742126,0.07206795225947159,,,,,,,,,,,,,0.12651449999539183,0.07262912590172298,0.027785385050810872,0.0009458588239643604,0.0005944999982602894,5.9528069272152776e-05
600,Random Projection,0.08328200998948887,0.02051645711054541,0.007026550022419542,0.0007251928024116755,0.03125500502064824,0.002112683736763407,6.923000328242778e-05,7.940690673757419e-06,0.0008275300147943199,8.371871082991399e-05,0.00014170497888699174,1.7595217096160103e-05,0.0532242149929516,0.021579984181680244,0.0005274300114251673,6.582022939805177e-05,0.0001187099958769977,2.5841358487161785e-05,1.153999473899603e-05,2.5296774214588117e-06,0.028355604992248117,0.0017014366268597557,0.08328200998948887,0.02051645711054541,0.08327596498420461,0.02051626716815869,6.045005284249782e-06,1.1085999792603342e-06,0.12156356503255665,0.01908176934733731,,,,,,,,,,,,,,,,,,
600,Random Sampling,0.04370888501871377,0.0021113282409507147,0.007026550022419542,0.0007251928024116755,0.03135016500018537,0.0016201715698892702,,,,,,,,,,,,,,,,,0.04370888501871377,0.0021113282409507147,0.043704125040676445,0.0021106987016714287,4.759978037327528e-06,7.909894902120732e-07,0.08208560004131868,0.0037588836721170788,0.0022915099980309606,0.00026029056619834194,0.004837370000313967,0.0005082727534548224,0.004435420001391322,0.0005772840726719219,0.0005077550071291625,5.6641957179165466e-05,0.002213225013110787,0.0004088879908527007,0.029418845020700246,0.001392153580049815,,,,,,
800,Non-random,0.4436954399920069,0.2782672635490565,0.01585417501628399,0.0019004092766495187,0.061863934993743895,0.0071219934357853705,,,,,,,,,,,,,,,,,0.4436954399920069,0.2782672635490565,0.443693209963385,0.2782668331294462,2.230028621852398e-06,5.5734472058586e-07,0.5214135500020347,0.28077767371625795,,,,,,,,,,,,,0.40915280998451636,0.27590816649115196,0.0333186499774456,0.003294585650373634,0.0012217500014230609,0.0003198489051450776
