alpha_n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
0.05,Non-random,12.24649173954991,0.0843981379231925,0.37421875,0.042406231213392265,0.0019316663148232765,0.0008062732553828244,0.3330237050075084,0.21134252513805513
0.05,Random Projection,9.146997975804322,0.35777503970975544,1.3115885416666668,0.2032712779500944,0.011698904722243835,0.0011442223875246292,0.13877550000324845,0.31693645100430295
0.05,Random Sampling,12.964512738602622,0.3082995313550156,0.75078125,0.09025093259488834,0.003985089171628925,0.0009623305256088588,0.10225207500625402,0.0075527288626220926
0.1,Non-random,16.865762956793525,0.07841188013788386,0.044661458333333334,0.012425392985875161,0.0015296941923696396,0.000692663692951644,0.3520413199672475,0.28300935447250436
0.1,Random Projection,12.508969828295779,0.7720265791627143,0.254296875,0.07305982871938231,0.013408841827733197,0.002552079195724919,0.06723528496222571,0.03676068637345488
0.1,Random Sampling,15.077543005799608,0.1982543949219119,0.16497395833333334,0.02364634957219143,0.0037040818305785505,0.0011145493562620713,0.0869476149789989,0.004675078427521795
0.15,Non-random,20.20276984477652,0.13032121064294888,0.004817708333333333,0.0022788905726964077,0.002047930177320917,0.0008272981276988827,0.3425943750189617,0.1672587315873609
0.15,Random Projection,13.915700070060328,0.8817431227723812,0.024479166666666666,0.022135819784771013,0.00842405137577237,0.004013454873428793,0.05694566003512591,0.027149304418411985
0.15,Random Sampling,16.830872529754863,0.39824508373515105,0.03619791666666667,0.008977469616159353,0.003958494884030932,0.0012937960021726768,0.0825594799942337,0.0075318550422659855
0.2,Non-random,22.762297855785643,0.12712653179317016,0.00026041666666666666,0.0008015455875665267,0.0020474829307237192,0.0007166794350072894,0.36233880997169765,0.26014430439398617
0.2,Random Projection,14.432783920353298,0.34739350339119657,0.0013020833333333333,0.0015806692152783436,0.00350386366728041,0.0012056520836006442,0.05141307500889525,0.02445973448210886
0.2,Random Sampling,18.238575688617694,0.3675018158560366,0.007291666666666666,0.006010107379770703,0.003469243102772557,0.0009298863510102173,0.07830057999817655,0.0034494582089911324
