alpha_n,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std
0.05,Non-random,0.3330237050075084,0.21134252513805513,0.025612809974700213,0.0032084965758448648,0.13103151998948306,0.03866650813203479,,,,,,,,,,,,,,,,,0.3330237050075084,0.21134252513805513,0.3330210599815473,0.21134258981989695,2.645025961101055e-06,3.9264190590753797e-07,0.48966803497169165,0.20882191634142333,,,,,,,,,,,,,0.2861840349738486,0.2099822181466597,0.04505451502045617,0.0032753372735519607,0.0017825099872425198,0.00036885302719191104
0.05,Random Projection,0.13877550000324845,0.31693645100430295,0.025612809974700213,0.0032084965758448648,0.12239227001555264,0.029344006278109357,0.0001409050077199936,1.4053565746534507e-05,0.0024550850037485363,0.00027358692863593587,0.00037209001602604984,3.17871082301749e-05,0.008232210006099194,0.016348795910422497,0.0011286800261586904,0.0002401330759518345,0.00011120502604171634,3.116769155099731e-05,1.7989997286349534e-05,4.672565213686553e-06,0.12630932502215728,0.31846320507227915,0.13877550000324845,0.31693645100430295,0.1387674901052378,0.316936501829935,8.009898010641336e-06,2.066188040299157e-06,0.2867805799935013,0.3151327750992846,,,,,,,,,,,,,,,,,,
0.05,Random Sampling,0.10225207500625402,0.0075527288626220926,0.025612809974700213,0.0032084965758448648,0.11779928000178189,0.024244860905750325,,,,,,,,,,,,,,,,,0.10225207500625402,0.0075527288626220926,0.10224357497645542,0.00755217610063585,8.500029798597097e-06,1.539288578940044e-06,0.2456641649827361,0.02391234682481677,0.00682364001404494,0.0011794429212516695,0.01753769498318434,0.0025764242652336943,0.02061518996488303,0.0023079454272452015,0.0011915950221009553,0.0002537216136148019,0.0077224750071764,0.0018139256803584077,0.048352979985065755,0.006066226137598974,,,,,,
0.1,Non-random,0.3520413199672475,0.28300935447250436,0.024983500014059246,0.0038829767570710346,0.13157825499074532,0.04229282977561833,,,,,,,,,,,,,,,,,0.3520413199672475,0.28300935447250436,0.3520388499717228,0.2830090609578015,2.4699955247342585e-06,6.122189505012276e-07,0.5086030749720521,0.300826133365665,,,,,,,,,,,,,0.30954739499138667,0.28222430678024507,0.040916099981404844,0.0019681387036862906,0.0015753549989312888,7.12588772248778e-05
0.1,Random Projection,0.06723528496222571,0.03676068637345488,0.024983500014059246,0.0038829767570710346,0.13176568498602137,0.028337529604800977,0.0001440600142814219,1.3771127966316347e-05,0.002816375007387251,0.001153648126456395,0.00039403000846505165,4.4837393039728155e-05,0.018817290000151844,0.0335698388922283,0.0010302549810148776,0.0001895353478383933,0.0001265699858777225,4.560708602814904e-05,2.0094984211027623e-05,6.048896840198428e-06,0.04387770001776516,0.0029125248809862463,0.06723528496222571,0.03676068637345488,0.06722637499915436,0.036758697721804616,8.909963071346283e-06,2.279834512092355e-06,0.2239844699623063,0.055592797608000837,,,,,,,,,,,,,,,,,,
0.1,Random Sampling,0.0869476149789989,0.004675078427521795,0.024983500014059246,0.0038829767570710346,0.1184129900066182,0.040011458048744404,,,,,,,,,,,,,,,,,0.0869476149789989,0.004675078427521795,0.08693894002353772,0.004674183400792846,8.67495546117425e-06,1.5558976068544367e-06,0.23034410499967634,0.04219939391049016,0.006705709989182651,0.00100510026014035,0.016870795050635934,0.0013112585720319895,0.01163129999767989,0.00102818523897779,0.0010194300208240747,0.0001518909237184651,0.008051864989101886,0.0008033671205317696,0.04265983997611329,0.0017129929435050083,,,,,,
0.15,Non-random,0.3425943750189617,0.1672587315873609,0.02393076502485201,0.002199577951780063,0.1261160850059241,0.03376060020356054,,,,,,,,,,,,,,,,,0.3425943750189617,0.1672587315873609,0.34259169003926215,0.16725858468670415,2.684979699552059e-06,4.544731927647364e-07,0.49264122504973784,0.16739263564717555,,,,,,,,,,,,,0.30100303000072015,0.16715695407940015,0.040033600036986174,0.0021591937727673833,0.0015550600015558302,0.0001125527345001295
0.15,Random Projection,0.05694566003512591,0.027149304418411985,0.02393076502485201,0.002199577951780063,0.11157597498968244,0.016903116243869885,0.00014745498774573206,1.3499053509396908e-05,0.0027192849898710846,0.0008428122180103828,0.0003798650112003088,3.889208689260365e-05,0.012127614999189972,0.02488394085425151,0.0009957449976354838,0.0003023948261216852,0.00011477497173473239,3.4550329278882636e-05,1.9100005738437174e-05,3.5456523119748046e-06,0.040433460019994524,0.0024830985922158154,0.05694566003512591,0.027149304418411985,0.05693729998311028,0.027148032580558125,8.360052015632391e-06,1.923099039987761e-06,0.19245240004966035,0.032420948684030046,,,,,,,,,,,,,,,,,,
0.15,Random Sampling,0.0825594799942337,0.0075318550422659855,0.02393076502485201,0.002199577951780063,0.11272189503069967,0.018196161441367428,,,,,,,,,,,,,,,,,0.0825594799942337,0.0075318550422659855,0.08255032994784414,0.007531620285587091,9.150046389549971e-06,1.4397612901305212e-06,0.21921214004978537,0.019177114252089136,0.0059007599833421406,0.0006152406358555036,0.015606510010547936,0.0011044399251736968,0.009770549996756018,0.0018688304382846823,0.0010093099670484662,0.00043487694733041653,0.007188555027823895,0.0011842523354032857,0.043074644962325694,0.006142281656696582,,,,,,
0.2,Non-random,0.36233880997169765,0.26014430439398617,0.024104714998975395,0.002119871936248748,0.13613698504632338,0.034624837931096615,,,,,,,,,,,,,,,,,0.36233880997169765,0.26014430439398617,0.3623363349819556,0.26014403315669865,2.474989742040634e-06,5.571644753499484e-07,0.5225805100169965,0.2874955958433505,,,,,,,,,,,,,0.3202461349894293,0.259392440662736,0.0405046550091356,0.0024036376966048508,0.0015855449833907186,6.263778487132359e-05
