K,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
2,Non-random,23.913010838812188,0.12705704053183572,0.0,0.0,0.0011743164062500047,0.0005048309344877576,0.30537546003470195,0.13331681673562776
2,Random Projection,13.620660518481225,0.24224354757106295,0.0,0.0,0.0012643859765412331,0.0005046837856897786,0.12026606501312927,0.3155474351025723
2,Random Sampling,17.26783145097706,0.4379003539004885,8.680555555555555e-05,0.0003882062460937135,0.00154242060071084,0.0007820730718442859,0.0726830150000751,0.004081469097256002
3,Non-random,22.83201006218554,0.15211635298233955,0.0009114583333333332,0.0017469281074217107,0.0020694622680477643,0.0008390029490033117,0.3453334900201298,0.28445084468678244
3,Random Projection,14.508762948758477,0.3394915673768513,0.0009114583333333332,0.0019405203655484236,0.004062486344178765,0.0013195962697045492,0.054010514984838665,0.020598657645693682
3,Random Sampling,18.12703152478833,0.4225414941834892,0.009244791666666665,0.005308453803991157,0.0035463125860148775,0.0014006544594438182,0.07806087997741998,0.005037405433307283
4,Non-random,22.253737274799654,0.10938948825951414,0.006076388888888889,0.004344844089169861,0.0031255074100355806,0.001152388856793231,0.26111687497468666,0.07269880544533815
4,Random Projection,16.152714488138322,1.113037861486052,0.071875,0.028811627031057066,0.02087799071327131,0.0046515057303845135,0.061025320016779,0.02689140050318475
4,Random Sampling,19.218090838520673,0.3129155944183605,0.06944444444444445,0.013137573651762739,0.00753587643138873,0.0018105126212551968,0.0852724750060588,0.00635330256151898
5,Non-random,21.796477539692127,0.11975375280691798,0.05815734989648034,0.014581149449886597,0.004753019675992682,0.0012429136566913168,0.2925206900225021,0.11638960698081985
5,Random Projection,18.264498694581416,1.2231490844609525,0.5709777903256164,0.10348380094604531,0.04690692773955456,0.006514212551454615,0.058868565026205036,0.012244347394778586
5,Random Sampling,20.690023199228275,0.31808554855573784,0.2888471673254282,0.04093064098047168,0.013538456615253597,0.003098263393209284,0.09036523504182696,0.002890298154262167
6,Non-random,21.596854782494418,0.11929814124072731,0.19895833333333332,0.03669643428827499,0.006982862465574477,0.00177828222902909,0.27586159001803023,0.08578127059158816
6,Random Projection,18.023674571407263,0.5046354939130473,1.91953125,0.3481430931115107,0.06339814356601987,0.004410842285996267,0.08223686502315104,0.01649116055164452
6,Random Sampling,22.275679657189993,0.36625771323390144,0.8388020833333334,0.10481534591295466,0.022636544773851165,0.0045465038796242176,0.10393968498101458,0.008825371913244184
7,Non-random,21.428913964240916,0.15739140257952855,0.6273373983739837,0.0931479865508493,0.014915451570813745,0.005603832751604481,0.25822361003374683,0.0770742614734319
7,Random Projection,16.43079903376671,0.3346539100936755,3.9165872135994086,0.43309205375334614,0.07105067024476201,0.0029719138877510208,0.10027635000878946,0.028093070711271678
7,Random Sampling,24.15178017773659,0.5800160337821103,1.9689412416851444,0.16276466330717834,0.03314176885629031,0.0043962274851279525,0.12720534998225047,0.013561077777293052
8,Non-random,21.282205321722323,0.10684406561141484,1.496875,0.2360302041462717,0.024369559766719777,0.007531520242522019,0.2746132399770431,0.09258805875626408
8,Random Projection,15.014930977676437,0.38081984668748126,5.579166666666667,0.3101511793643201,0.07545597083496725,0.003294573299087719,0.10291522996267304,0.02798548038461171
8,Random Sampling,25.55384119813137,0.2715106274359492,4.233680555555556,0.5068732175789429,0.038904186545033775,0.004331324259987626,0.14910967500181868,0.00820620933276251
