K,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std
2,Non-random,0.30537546003470195,0.13331681673562776,0.0234230300062336,0.001719422796237636,0.1087496250285767,0.004686183901629989,,,,,,,,,,,,,,,,,0.30537546003470195,0.13331681673562776,0.30537290503270925,0.13331679461890297,2.5550019927322864e-06,8.394677754791258e-07,0.4375481150695123,0.13150504385049003,,,,,,,,,,,,,0.26721956501714883,0.133806386575704,0.03660901000257581,0.003429514731156187,0.001544330012984574,9.970334576816484e-05
2,Random Projection,0.12026606501312927,0.3155474351025723,0.0234230300062336,0.001719422796237636,0.10217163000488654,0.0066606499266188895,0.00013317001285031437,1.1855189133509236e-05,0.0023188300081528725,0.00021830459982180952,0.00037129998672753574,7.789677321015221e-05,0.008071789983659983,0.015930162092565,0.0009556149947457015,0.0003083954251690797,0.00011276499135419727,3.917121033007902e-05,1.441502245143056e-05,4.05552130930572e-06,0.10827996999723837,0.3157001855947586,0.12026606501312927,0.3155474351025723,0.1202578549971804,0.3155467302822779,8.210015948861837e-06,1.9071271368624169e-06,0.2458607250242494,0.31619925122041176,,,,,,,,,,,,,,,,,,
2,Random Sampling,0.0726830150000751,0.004081469097256002,0.0234230300062336,0.001719422796237636,0.10082963997265323,0.0058834456043638395,,,,,,,,,,,,,,,,,0.0726830150000751,0.004081469097256002,0.0726737750810571,0.004080206190855093,9.239919018000365e-06,1.844373808065834e-06,0.19693568497896194,0.0073898840157718745,0.006049440056085586,0.0008698461302268614,0.015767040045466273,0.0015050933447731901,0.006104584981221706,0.00046052426872811623,0.0010349549818783998,0.00016453398445631968,0.006860000011511147,0.0007332273547549678,0.03685775500489399,0.0018120548973192354,,,,,,
3,Non-random,0.3453334900201298,0.28445084468678244,0.023496694990899413,0.0019630693892265564,0.12607969499658794,0.026257106281382284,,,,,,,,,,,,,,,,,0.3453334900201298,0.28445084468678244,0.3453310600714758,0.284450636345233,2.429948654025793e-06,4.703346947172332e-07,0.49490988000761715,0.29069679173035945,,,,,,,,,,,,,0.30487440502038227,0.28511458312004007,0.03890469503821805,0.002103248298386566,0.0015519600128754973,0.00016020676194431093
3,Random Projection,0.054010514984838665,0.020598657645693682,0.023496694990899413,0.0019630693892265564,0.12218705498380586,0.03951528228669065,0.0001467849942855537,1.3473429490826089e-05,0.0024165599956177176,0.00022042487483796134,0.0003825900261290371,7.469813360754179e-05,0.010238054988440127,0.021319459882335186,0.0008463899954222143,0.00010782540492368405,0.00010759002761915327,3.4765183569584036e-05,1.74900284036994e-05,2.7693796086409247e-06,0.03984756499994546,0.0027110404458205997,0.054010514984838665,0.020598657645693682,0.05400302505586296,0.020598253047218726,7.489928975701332e-06,1.069551849456451e-06,0.19969426495954395,0.04862458599859175,,,,,,,,,,,,,,,,,,
3,Random Sampling,0.07806087997741998,0.005037405433307283,0.023496694990899413,0.0019630693892265564,0.12348384001525119,0.03460443607975459,,,,,,,,,,,,,,,,,0.07806087997741998,0.005037405433307283,0.07805249500088393,0.005036635899332988,8.384976536035537e-06,1.5308674313318054e-06,0.22504141498357058,0.03530765622091049,0.006123939983081072,0.0009939571347677304,0.0158775300020352,0.0012384722433433672,0.007909840042702853,0.0005523462791903958,0.000884029979351908,0.00020993474846730444,0.007089080009609461,0.0014805924608450199,0.04016807498410344,0.0026791736988988415,,,,,,
4,Non-random,0.26111687497468666,0.07269880544533815,0.023795654973946513,0.003272509338100636,0.13235712497262284,0.046031311100409124,,,,,,,,,,,,,,,,,0.26111687497468666,0.07269880544533815,0.2611144199501723,0.07269869711111407,2.455024514347315e-06,6.013382777379122e-07,0.417269654921256,0.08904204140685827,,,,,,,,,,,,,0.21730545000173151,0.07258402626975213,0.042257129959762094,0.001843517575390306,0.0015518399886786938,0.0001271709979002496
4,Random Projection,0.061025320016779,0.02689140050318475,0.023795654973946513,0.003272509338100636,0.11506058500381186,0.028909397064397442,0.0001574300113134086,2.0664615361395372e-05,0.002537085034418851,0.0005053586813677859,0.00043177498737350105,6.625625231116576e-05,0.013418150006327779,0.025865235536776127,0.0010193049907684325,0.00037308321173630115,0.00011932498309761286,6.318257654381461e-05,1.5870016068220138e-05,4.775284449664061e-06,0.043318005022592844,0.0011715806217134639,0.061025320016779,0.02689140050318475,0.06101694505196065,0.026889422367742135,8.37496481835842e-06,2.4092988629031674e-06,0.19988155999453738,0.03577626684350677,,,,,,,,,,,,,,,,,,
4,Random Sampling,0.0852724750060588,0.00635330256151898,0.023795654973946513,0.003272509338100636,0.11050009499303996,0.024155070164988787,,,,,,,,,,,,,,,,,0.0852724750060588,0.00635330256151898,0.08526349496096372,0.006353100620985262,8.980045095086098e-06,1.7513252664859375e-06,0.2195682249730453,0.023083239550612356,0.005906515009701252,0.0010559521599599264,0.015693304978776725,0.0012435517735956494,0.010922140022739769,0.0011290858632598002,0.0010241999989375472,0.0003370719494176738,0.007243809988722205,0.0011719321616219434,0.04447352496208623,0.0033746066489906915,,,,,,
5,Non-random,0.2925206900225021,0.11638960698081985,0.02248297499027103,0.0014203089140632653,0.10998687001410871,0.009604811942117188,,,,,,,,,,,,,,,,,0.2925206900225021,0.11638960698081985,0.2925183350103907,0.11638964241338196,2.3550121113657953e-06,4.81734855643828e-07,0.42499053502688183,0.11909505638909562,,,,,,,,,,,,,0.24553467000368984,0.11621504813676835,0.045437634992413226,0.0015043614181655559,0.0015460300142876803,7.026948025994019e-05
5,Random Projection,0.058868565026205036,0.012244347394778586,0.02248297499027103,0.0014203089140632653,0.124443854985293,0.03196616448703013,0.0001650150283239782,9.547655616848522e-06,0.0025035799597389998,0.0003142957372993521,0.0004414300317876041,3.493282699111196e-05,0.0037461499799974264,0.011948641042534871,0.000855490006506443,0.000159782388238624,0.0001017299946397543,2.1719684515642732e-05,1.9284989684820174e-05,3.3403752106079934e-06,0.05102854499127716,0.0019217839313949285,0.058868565026205036,0.012244347394778586,0.05886122498195619,0.012243684689110097,7.3400442488491535e-06,1.56792024169662e-06,0.20579539500176908,0.035262020630281436,,,,,,,,,,,,,,,,,,
5,Random Sampling,0.09036523504182696,0.002890298154262167,0.02248297499027103,0.0014203089140632653,0.09989610000047833,0.0029315293151128633,,,,,,,,,,,,,,,,,0.09036523504182696,0.002890298154262167,0.09035647002747282,0.002889742611287698,8.765014354139566e-06,1.2436076725752158e-06,0.21274431003257632,0.0051492066765491794,0.006179300032090396,0.0008328210734421472,0.015170324954669922,0.0010018577041767274,0.014033005037344993,0.000885142724404876,0.0009272150113247335,0.00022204547007220044,0.006320055003743619,0.0004250844665412347,0.04772656998829916,0.001165117329278643,,,,,,
