n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,0.1414213562373095,1,Random Projection,7.681979539177218,0.77,0.027282788256641072,1.394665300147608,0.0008167000487446785,0.0016785000916570425,2.2800173610448837e-05,0.000147900078445673,0.0001097000204026699,6.929994560778141e-05,2.9299873858690262e-05,9.400001727044582e-05,4.400033503770828e-06,1.3941832999698818,1.394665300147608,1.3946607001125813,4.600035026669502e-06,1.3971605002880096,,,,,,,,,
200,0.1414213562373095,1,Random Sampling,9.331473627557576,0.57,0.024662652672103186,0.026788200018927455,0.0008167000487446785,0.00143989990465343,,,,,,,,,0.026788200018927455,0.026783799985423684,4.400033503770828e-06,0.029044799972325563,0.0002001000102609396,0.0003182000946253538,0.0037783998996019363,3.410014323890209e-05,0.00013749999925494194,0.02231549983844161,,,
200,0.1414213562373095,1,Non-random,8.470528968003313,0.22,0.005621356237309499,0.02535160002298653,0.0008167000487446785,0.0017999999690800905,,,,,,,,,0.02535160002298653,0.02534869988448918,2.9001384973526e-06,0.0279683000408113,,,,,,,0.005159199936315417,0.020167900016531348,2.159993164241314e-05
200,0.1414213562373095,2,Random Projection,8.283128659355215,0.38,0.017322257540237224,0.020805099979043007,0.0006550000980496407,0.0016191999893635511,2.659996971487999e-05,0.00018820003606379032,8.749985136091709e-05,5.13000413775444e-05,4.569999873638153e-05,6.459979340434074e-05,5.299923941493034e-06,0.020331500098109245,0.020805099979043007,0.020800699712708592,4.400266334414482e-06,0.0230793000664562,,,,,,,,,
200,0.1414213562373095,2,Random Sampling,8.97420785190601,0.41000000000000003,0.007245679377586883,0.027548700105398893,0.0006550000980496407,0.0015853000804781914,,,,,,,,,0.027548700105398893,0.027544400189071894,4.299916326999664e-06,0.029789000283926725,0.00021869991905987263,0.0003100999165326357,0.003078100038692355,3.7400051951408386e-05,0.00010820012539625168,0.02379190013743937,,,
200,0.1414213562373095,2,Non-random,8.880506500190823,0.33,0.017842512935282814,0.026540899882093072,0.0006550000980496407,0.0018144999630749226,,,,,,,,,0.026540899882093072,0.02653829986229539,2.600019797682762e-06,0.029010399943217635,,,,,,,0.004240799928084016,0.02227539988234639,2.210005186498165e-05
200,0.1414213562373095,3,Random Projection,7.281751599882411,0.34,0.01899070891200269,0.021967799868434668,0.0004602000117301941,0.0015279999934136868,2.210005186498165e-05,0.00014459993690252304,6.21001236140728e-05,4.009995609521866e-05,3.4499913454055786e-05,5.019991658627987e-05,4.299916326999664e-06,0.021607200149446726,0.021967799868434668,0.021965099964290857,2.6999041438102722e-06,0.02395599987357855,,,,,,,,,
200,0.1414213562373095,3,Random Sampling,9.272020503358693,0.39,0.020714371847437407,0.02482150006107986,0.0004602000117301941,0.0014884001575410366,,,,,,,,,0.02482150006107986,0.02481810050085187,3.3995602279901505e-06,0.02677010023035109,0.0002001000102609396,0.0003174000885337591,0.002054500160738826,3.9499951526522636e-05,7.760012522339821e-05,0.022129000164568424,,,
200,0.1414213562373095,3,Non-random,8.594218062696415,0.16,0.013600175681753951,0.02545949979685247,0.0004602000117301941,0.002063099993392825,,,,,,,,,0.02545949979685247,0.02545799990184605,1.4998950064182281e-06,0.02798279980197549,,,,,,,0.004672099836170673,0.020764400018379092,2.150004729628563e-05
200,0.1414213562373095,4,Random Projection,7.595510364725249,0.32,0.017049356703402532,0.02272200002335012,0.000672199996188283,0.001825300045311451,2.7399975806474686e-05,0.00019069993868470192,8.09000339359045e-05,5.020014941692352e-05,4.520011134445667e-05,6.360001862049103e-05,5.7998113334178925e-06,0.02225519996136427,0.02272200002335012,0.02271900000050664,3.00002284348011e-06,0.025219500064849854,,,,,,,,,
200,0.1414213562373095,4,Random Sampling,9.027521184057548,0.32,0.02243818705823411,0.024407200049608946,0.000672199996188283,0.0013896001037210226,,,,,,,,,0.024407200049608946,0.024404299911111593,2.9001384973526e-06,0.02646900014951825,0.00022909999825060368,0.00031729997135698795,0.0023407000117003918,3.300001844763756e-05,7.439986802637577e-05,0.021409800043329597,,,
