n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std,alpha_n_mean
200,Non-random,8.620496248741407,0.15489049987729775,0.2085,0.05537194805656514,0.009416808038231236,0.00460927874722512,0.02630594497313723,0.0018773681407069371,0.1414213562373095
200,Random Projection,7.4424801480318905,0.355253046713701,0.398,0.1814735010378853,0.014967707907433353,0.0062111763267154695,0.09115999999921769,0.3068168526168157,0.1414213562373095
200,Random Sampling,9.131784272642507,0.39149000574142306,0.3985,0.12587692401707312,0.014312768381226925,0.011442349350114312,0.0253617100068368,0.0019461398257776177,0.1414213562373095
400,Non-random,10.497668866482831,0.09246334733331986,0.10200000000000001,0.02341839133312916,0.002775274971499599,0.0012626583342315594,0.12096214999910444,0.022215601725046004,0.1
400,Random Projection,7.799466211971155,0.5076946708547421,0.258,0.08784555825574313,0.008612174031108744,0.0027440048025002884,0.029874720005318524,0.004345800155031426,0.1
400,Random Sampling,10.164119272155101,0.39701271229710233,0.23625,0.04544733794531632,0.005230965716022161,0.0031234841092112778,0.03602855497738346,0.00608508888330215,0.1
600,Non-random,11.744828737594501,0.10505777829571847,0.06566666666666668,0.017904881885162982,0.002015060019082759,0.0011530953232138411,0.1422735300147906,0.07368674643188443,0.08164965809277261
600,Random Projection,8.29547219997158,0.7263593357619851,0.21383333333333332,0.12686630159160536,0.007782099174855362,0.0029049573894966217,0.07263397997012362,0.01647578046322684,0.08164965809277261
600,Random Sampling,10.66152585025983,0.2298487923612956,0.15783333333333333,0.016268039919025822,0.002894998506776368,0.0015355093431635833,0.04462763000046834,0.0029955220006890135,0.08164965809277261
800,Non-random,12.659792216234989,0.09283736869816964,0.045625,0.012324424829111542,0.0012811980696710054,0.0007182780418686119,0.1288914499920793,0.0472134856089742,0.07071067811865475
800,Random Projection,8.681198008050469,0.33848183724120023,0.13925,0.036921859165141284,0.005533690471718261,0.0011973074554818542,0.07717489995993673,0.03071503707191284,0.07071067811865475
800,Random Sampling,11.227889337624559,0.280948851496322,0.12362500000000001,0.029216467508653587,0.0024173259980327945,0.00124538688924838,0.05722145001636818,0.004876210289668951,0.07071067811865475
1000,Non-random,13.466378244033606,0.0859944591556695,0.0325,0.00955592954524489,0.0009398941219954237,0.0004925976920256086,0.3378924500662833,0.19316236370018044,0.06324555320336758
1000,Random Projection,9.201915173969564,0.3593768670166983,0.1103,0.04040466361826643,0.004057934420180061,0.0014755648689727136,0.04644240000052378,0.022401656768055896,0.06324555320336758
1000,Random Sampling,11.716726674014776,0.2991450692881259,0.0965,0.015271231984217563,0.0016923726727154829,0.0008015621746670322,0.06725403502350673,0.0027502480073867347,0.06324555320336758
1200,Non-random,14.117931308994121,0.0758262130221277,0.022916666666666665,0.006279899243055096,0.0007246895287845709,0.00028099780410892095,0.31184190497733655,0.21599953811577244,0.057735026918962574
1200,Random Projection,9.58758207228639,0.4610633660101367,0.09016666666666666,0.03573742775704568,0.0037636597652489084,0.001143018082240168,0.05366163500584662,0.029999357054700936,0.057735026918962574
1200,Random Sampling,11.99017036198786,0.24236009218209306,0.06941666666666667,0.009960081142956068,0.0012861767148651707,0.0005268657539183829,0.08097163501661271,0.00465757480748447,0.057735026918962574
