n,alpha_n,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std
200,0.1414213562373095,Non-random,0.02630594497313723,0.0018773681407069371,0.000548045034520328,9.898486898292168e-05,0.0019300349871627987,0.00018170290193965456,,,,,,,,,,,,,,,,,0.02630594497313723,0.0018773681407069371,0.026303174917120486,0.001874484333068591,2.770056016743183e-06,3.984480189297947e-06,0.028784024994820356,0.0019324031604328101,,,,,,,,,,,,,0.004614569945260882,0.0003254277601502819,0.021663944981992245,0.0018099376926314287,2.46599898673594e-05,1.009230748816665e-05
200,0.1414213562373095,Random Projection,0.09115999999921769,0.3068168526168157,0.000548045034520328,9.898486898292168e-05,0.0015576349920593201,0.000142388353755446,2.3874954786151646e-05,2.5222961292455907e-06,0.00016949501587077976,2.282229101426859e-05,7.217999082058668e-05,1.302487538692155e-05,4.719501594081521e-05,7.475796997566701e-06,3.867498598992824e-05,5.932004655328556e-06,6.19199825450778e-05,2.002712111567849e-05,4.7300010919570925e-06,7.086595302053214e-07,0.0907388249761425,0.3068025348733675,0.09115999999921769,0.3068168526168157,0.09115689492318779,0.30681650103535574,3.1050760298967363e-06,6.824768445603735e-07,0.09326568002579734,0.30690874649398536,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,Random Sampling,0.0253617100068368,0.0019461398257776177,0.000548045034520328,9.898486898292168e-05,0.0015892900177277625,0.00018133736514360576,,,,,,,,,,,,,,,,,0.0253617100068368,0.0019461398257776177,0.02535831507993862,0.001945668434618448,3.3949268981814385e-06,5.481921388242964e-07,0.027499045059084893,0.0020627196007082065,0.0002153400215320289,3.928619450572294e-05,0.000303150003310293,2.7942472516676642e-05,0.0025099100079387427,0.0005077903290832526,3.5360036417841914e-05,4.5882249708762455e-06,7.63199757784605e-05,2.0319166091835706e-05,0.022218235034961252,0.00162830219201572,,,,,,
400,0.1,Non-random,0.12096214999910444,0.022215601725046004,0.0022900599986314775,0.00025823039310663635,0.01659986498998478,0.000498513699837377,,,,,,,,,,,,,,,,,0.12096214999910444,0.022215601725046004,0.12095962496241555,0.022215526419785768,2.5250366888940336e-06,6.797144311209489e-07,0.1398520749877207,0.022495691866357744,,,,,,,,,,,,,0.09329238998470828,0.020433145472656965,0.02744596996344626,0.002350269186078334,0.0002212650142610073,2.0791849546118496e-05
400,0.1,Random Projection,0.029874720005318524,0.004345800155031426,0.0022900599986314775,0.00025823039310663635,0.01622425499372184,0.0005772993364725038,5.4795015603303907e-05,2.6247373444301424e-05,0.0004804750089533627,5.622597535714378e-05,0.00011528998147696257,2.218580575307287e-05,0.00017443503020331264,0.00022571417400575684,0.0005550500005483628,0.0013603697680803191,7.965998956933617e-05,2.6839673092367292e-05,7.950037252157927e-06,1.3176922373361704e-06,0.028402919974178077,0.003000383171123399,0.029874720005318524,0.004345800155031426,0.029870575037784876,0.004345198671642141,4.144967533648014e-06,7.598981968793435e-07,0.048389034997671845,0.004751492406430252,,,,,,,,,,,,,,,,,,
400,0.1,Random Sampling,0.03602855497738346,0.00608508888330215,0.0022900599986314775,0.00025823039310663635,0.0159454699838534,0.0004952562687745156,,,,,,,,,,,,,,,,,0.03602855497738346,0.00608508888330215,0.03602486001327634,0.006084694030015434,3.6949641071259975e-06,6.533515382802379e-07,0.05426408495986834,0.0061585084621021274,0.0005122750182636083,0.00013896859588881152,0.0014876250410452486,0.0001629475676573607,0.0035203800071030855,0.0005581160485093226,0.00024782498367130755,2.959122171278835e-05,0.000613734987564385,8.385478640307035e-05,0.029643019975628702,0.00555685240862813,,,,,,
600,0.08164965809277261,Non-random,0.1422735300147906,0.07368674643188443,0.0061630299780517815,0.0004842827683151078,0.034529899968765675,0.0007115963781132231,,,,,,,,,,,,,,,,,0.1422735300147906,0.07368674643188443,0.14227169002406298,0.07368679041349516,1.8399907276034355e-06,3.0156414399118075e-07,0.18296645996160804,0.07356496904009314,,,,,,,,,,,,,0.11261143001029268,0.07376416039578974,0.02922038999386132,0.0007056389975495667,0.00043987001990899446,2.372579817572999e-05
600,0.08164965809277261,Random Projection,0.07263397997012362,0.01647578046322684,0.0061630299780517815,0.0004842827683151078,0.03215625999728218,0.0009354865277048367,7.754499092698098e-05,6.156663974586391e-06,0.0008526800200343132,0.0001023699988592863,0.00014509499305859208,1.6588207397220282e-05,0.039138369995635004,0.016209071275887985,0.0003945450065657496,0.00011770152455341388,0.0001122799701988697,1.7261632755556755e-05,1.071499427780509e-05,1.447446941528822e-06,0.03189540995517746,0.0019043281735840795,0.07263397997012362,0.01647578046322684,0.07262663992587477,0.01647541078195516,7.3400442488491535e-06,1.2525266151801997e-06,0.11095326994545758,0.016527927024903997,,,,,,,,,,,,,,,,,,
600,0.08164965809277261,Random Sampling,0.04462763000046834,0.0029955220006890135,0.0061630299780517815,0.0004842827683151078,0.03249037998029962,0.001207741144231006,,,,,,,,,,,,,,,,,0.04462763000046834,0.0029955220006890135,0.044622675038408485,0.0029947041183463648,4.9549620598554615e-06,1.1061333316479865e-06,0.08328103995881975,0.003627495600541714,0.0016353449900634587,0.00025035131631284154,0.004169575031846761,0.0003163163900301296,0.004858765017706901,0.0005348469243037038,0.0004948450019583106,4.027542844700477e-05,0.0013695749919861555,0.00017391730022809374,0.032094570004846903,0.0023246943364456144,,,,,,
800,0.07071067811865475,Non-random,0.1288914499920793,0.0472134856089742,0.011162705020979047,0.00046029399510735645,0.056670245015993714,0.000663719691832337,,,,,,,,,,,,,,,,,0.1288914499920793,0.0472134856089742,0.12888935999944806,0.047213513873312726,2.089992631226778e-06,4.6210927482471904e-07,0.19672440002905206,0.047273290900626305,,,,,,,,,,,,,0.0942106300033629,0.04696330595184667,0.03393807498505339,0.0007920000637348256,0.0007406550110317766,4.629734879382676e-05
800,0.07071067811865475,Random Projection,0.07717489995993673,0.03071503707191284,0.011162705020979047,0.00046029399510735645,0.05141652497695759,0.001196517654008196,0.00010057500330731272,8.456556073478158e-06,0.0012887949706055224,0.00018642956806942833,0.00021992996335029602,2.6986809085443695e-05,0.039858779998030516,0.029340368620739396,0.0005632800166495144,0.00011233909683031081,0.00011329001281410456,1.823900231370403e-05,1.1804979294538498e-05,1.935428600731933e-06,0.0350101999938488,0.0026545879512489697,0.07717489995993673,0.03071503707191284,0.0771666549379006,0.03071484296952433,8.245022036135196e-06,1.4887066472186712e-06,0.13975412995787337,0.03082351534969472,,,,,,,,,,,,,,,,,,
800,0.07071067811865475,Random Sampling,0.05722145001636818,0.004876210289668951,0.011162705020979047,0.00046029399510735645,0.05108528501586988,0.0014908890625048151,,,,,,,,,,,,,,,,,0.05722145001636818,0.004876210289668951,0.057214609999209645,0.0048754255861882465,6.8400171585381034e-06,1.5902186704326752e-06,0.11946944005321711,0.00567837614922858,0.0028034949908033015,0.0004748235862874408,0.007293734990525991,0.0006246844912545721,0.008944305020850151,0.0010301682019257649,0.0005516100209206343,0.0001175704776815748,0.0024899449781514704,0.0003658894001896181,0.03513151999795809,0.0030171156472854985,,,,,,
1000,0.06324555320336758,Non-random,0.3378924500662833,0.19316236370018044,0.01796650995966047,0.0009596956858146786,0.08512814498972147,0.010171751990860154,,,,,,,,,,,,,,,,,0.3378924500662833,0.19316236370018044,0.3378902149852365,0.19316224203262056,2.235081046819687e-06,3.8144133431241294e-07,0.4409871050156653,0.1968407828335747,,,,,,,,,,,,,0.3015328700072132,0.19341811938586054,0.035189874994102865,0.0024787297248422117,0.001167469983920455,6.373203836803356e-05
