K,method,reps,n_mean,n_std,K_mean,K_std,rho_n_mean,rho_n_std,a_in_mean,a_in_std,b_out_mean,b_out_std,signal_gap_mean,signal_gap_std,p_in_mean,p_in_std,p_out_mean,p_out_std,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_sampled_upper_nnz_mean,rs_sampled_upper_nnz_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std,non_random_spectral_sec_mean,spectral_speedup_vs_non_random
3,Non-random eigsh,5,6000.0,0.0,3.0,0.0,9.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,3e-06,0.0,2e-06,0.0,76046.2,335.3553339370046,459350.4,1967.5352093418892,0.0127597333333333,5.4653755815042267e-05,38.0231,0.1676776669685051,63.4,1.516575088810311,37.979003,0.0,0.1109999938302488,0.0,0.0,0.0,0.6502,0.006076365872972292,0.0005857791822760823,0.0005644139914909731,0.00083384955502884,0.0005089790367372469,0.5154216835973784,0.021273742717832052,0.08353726679924872,0.005210267815758738,0.056889183609746374,0.0057348154733673625,6.710800807923079e-05,1.6343002089324383e-05,0.24499612501822407,0.029855710530928788,0.30195391662418836,0.028862738101599804,0.00367964981123802,0.0005691504291043813,0.9009113670326769,0.03355984635911835,,,,,,,,,,,,,,,,,,,,,1.0,6.353541660708338e-16,0.49204580065307846,0.0006581619175661549,0.30195391662418836,1.0
3,Gaussian RP,5,6000.0,0.0,3.0,0.0,9.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,3e-06,0.0,2e-06,0.0,76046.2,335.3553339370046,459350.4,1967.5352093418892,0.0127597333333333,5.4653755815042267e-05,38.0231,0.1676776669685051,63.4,1.516575088810311,37.979003,0.0,0.1109999938302488,0.0,0.0,0.0,0.6568666666666666,0.005286775955154536,4.910489082197855e-05,0.00026513808297288214,0.000346550001061,0.00023856726821004092,0.5154216835973784,0.021273742717832052,0.08353726679924872,0.005210267815758738,0.02916620844043786,0.005744271822903336,0.00030049995984876,0.00012863593677839218,0.22870193340349937,0.0530965098861384,0.25817000858951356,0.05157080505235225,0.00463691661134356,0.0016430101377223618,0.8571275922004133,0.0414902187707269,0.01369916682597246,0.002855017507191661,0.0063037080224603,0.0018896516894511878,0.007175016799010279,0.00223017550719759,,,,,,,,,,,,,,,0.806875315830647,0.04041700378744694,0.4213418202128004,0.00030194857718499144,0.30195391662418836,1.1695933167213493
3,Random sampling,5,6000.0,0.0,3.0,0.0,9.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,3e-06,0.0,2e-06,0.0,76046.2,335.3553339370046,459350.4,1967.5352093418892,0.0127597333333333,5.4653755815042267e-05,38.0231,0.1676776669685051,63.4,1.516575088810311,37.979003,0.0,0.1109999938302488,0.0,0.0,0.0,0.6563,0.0031784867119083043,7.8028281490493e-05,0.00020754962548201098,0.0003932052933939412,0.00019965396300967834,0.5154216835973784,0.021273742717832052,0.08353726679924872,0.005210267815758738,0.05216223341412838,0.02151968361436188,0.00013829180970787377,0.0001889844655123252,0.18389184141997245,0.023769109494191892,0.2361940666101873,0.03410504749925086,0.00457784163299944,0.0010961920996446013,0.835151317040436,0.05606618465087284,,,,,,,0.00923860061448062,0.0018051079428734204,69739.4,126.42903147615957,,,,,,,,,,,1.4341280751764078,0.006120007267804388,1.284308981482583,0.002375042493136635,0.30195391662418836,1.2784144875346533
3,CountSketch RP,5,6000.0,0.0,3.0,0.0,9.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,3e-06,0.0,2e-06,0.0,76046.2,335.3553339370046,459350.4,1967.5352093418892,0.0127597333333333,5.4653755815042267e-05,38.0231,0.1676776669685051,63.4,1.516575088810311,37.979003,0.0,0.1109999938302488,0.0,0.0,0.0,0.6586,0.0025862886321695007,-0.00012926014714504102,0.00010928661642167257,0.00018285169045030372,9.707760355013867e-05,0.5154216835973784,0.021273742717832052,0.08353726679924872,0.005210267815758738,0.02676615822128946,0.0054564584583066756,0.00018467516638335764,7.987946649460964e-05,0.21746514181140805,0.08867026238019475,0.24441735001746562,0.08802495737201564,0.0036546749761327602,0.0007044747962404905,0.8433749255957081,0.08280791765232569,,,,,,,,,,,0.00461347498930986,0.0006722132444531252,0.01016556683462108,0.0025983467058577014,0.0042870916193350995,0.0010671466698354082,0.00603786658029998,0.0026487820780036783,33.0,0.0,0.8040068514639124,0.041460183185009186,0.421579790510399,0.0006327463789857908,0.30195391662418836,1.235402955651926
4,Non-random eigsh,5,6000.0,0.0,4.0,0.0,16.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,5.333333333333334e-06,0.0,3.5555555555555555e-06,0.0,131875.0,199.55199823604875,788659.6,1205.559952884961,0.02190721111111106,3.348777646903944e-05,65.9375,0.09977599911802164,100.0,3.9370039370059056,65.96400533333333,0.0,0.0624062552161494,0.0,0.0,0.0,0.7395333333333334,0.002212339134139347,2.8902589197155863e-05,0.00016740474779082363,0.00057664368920628,0.00018664504058871857,0.873178091389127,0.015160268717816307,0.15363344158977266,0.0021365771282742412,0.10701051636133338,0.018236829932278507,8.075800724326103e-05,2.5493692475035702e-05,0.2664085168158635,0.031242395879571058,0.37350119976326823,0.0460977677772243,0.00375894999597216,0.0006869303849714313,1.40031132416334,0.049301788646866816,,,,,,,,,,,,,,,,,,,,,0.9999999999999998,3.236828524569469e-16,0.45257491955876034,0.000264252801906124,0.37350119976326823,1.0
4,Gaussian RP,5,6000.0,0.0,4.0,0.0,16.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,5.333333333333334e-06,0.0,3.5555555555555555e-06,0.0,131875.0,199.55199823604875,788659.6,1205.559952884961,0.02190721111111106,3.348777646903944e-05,65.9375,0.09977599911802164,100.0,3.9370039370059056,65.96400533333333,0.0,0.0624062552161494,0.0,0.0,0.0,0.7388666666666668,0.00297069015550261,0.00011259134228238576,0.0003743935188668584,0.0006644879188632601,0.0004095098522583171,0.873178091389127,0.015160268717816307,0.15363344158977266,0.0021365771282742412,0.03284700000658626,0.0046497680709063766,0.00034680841490622,0.0001821774771779816,0.32453858340159053,0.016247850279248313,0.3577337750000879,0.017677670174280485,0.00323224996682252,0.0003197255472300914,1.3845439248019829,0.024019849306776524,0.018282141420058858,0.0015439197880443808,0.0048588670324533605,0.0019258850908154446,0.0080527749843895,0.0015226094368726982,,,,,,,,,,,,,,,0.8399391143356999,0.029615654900219873,0.3903039785349266,0.00028977692656704076,0.37350119976326823,1.0440758627366857
4,Random sampling,5,6000.0,0.0,4.0,0.0,16.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,5.333333333333334e-06,0.0,3.5555555555555555e-06,0.0,131875.0,199.55199823604875,788659.6,1205.559952884961,0.02190721111111106,3.348777646903944e-05,65.9375,0.09977599911802164,100.0,3.9370039370059056,65.96400533333333,0.0,0.0624062552161494,0.0,0.0,0.0,0.7378,0.0033132729706103962,0.00014705682307342,0.00035141718298870684,0.0007245960929897,0.0003966632770301223,0.873178091389127,0.015160268717816307,0.15363344158977266,0.0021365771282742412,0.06715195837896314,0.012248099847802263,6.720859091728926e-05,9.517614871702662e-06,0.32333349999971683,0.03889882283677558,0.3905544500099495,0.050540391253523546,0.0035261663841083396,0.000442851653936835,1.4173641999484972,0.04801277729475805,,,,,,,0.01307607518974686,0.0007559210428555977,119207.4,272.53953841598843,,,,,,,,,,,1.4258730786649991,0.005103228397882249,1.2379380807100635,0.0012056474712427699,0.37350119976326823,0.9563357932645581
4,CountSketch RP,5,6000.0,0.0,4.0,0.0,16.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,5.333333333333334e-06,0.0,3.5555555555555555e-06,0.0,131875.0,199.55199823604875,788659.6,1205.559952884961,0.02190721111111106,3.348777646903944e-05,65.9375,0.09977599911802164,100.0,3.9370039370059056,65.96400533333333,0.0,0.0624062552161494,0.0,0.0,0.0,0.737,0.003173238794109979,0.00014519688480885883,0.00022101543761915527,0.00070574157423418,0.00025971010238575934,0.873178091389127,0.015160268717816307,0.15363344158977266,0.0021365771282742412,0.03546511679887766,0.00653560160842819,0.0006490752100944,0.0007162815743156175,0.34844827516935767,0.03734984367630374,0.38456403298769143,0.03535435149181785,0.00359394999686624,0.0005378516008253317,1.4113740001572297,0.03447261853403092,,,,,,,,,,,0.005047016614116681,0.0001974740153619008,0.01115200840868048,0.00030659089988650893,0.00779896681196982,0.005272096445535827,0.009916941588744479,0.0035213852699871174,34.0,0.0,0.8424150002245738,0.023717537208820125,0.3901742919928884,0.00027983147986568676,0.37350119976326823,0.9712327927849215
6,Non-random eigsh,5,6000.0,0.0,6.0,0.0,36.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,1.2e-05,0.0,8e-06,0.0,291761.8,383.77688830882295,1714509.6,2042.2739287372576,0.047625266666666624,5.6729831353794236e-05,145.8809,0.1918884441544132,192.0,4.743416490252567,145.922012,0.0,0.0277083526369655,0.0,0.0,0.0,0.8164666666666667,0.0023493497918454596,0.0002898794600477,0.00015298661685271786,0.0015553337764932199,0.00019715743610375532,1.9363826250191778,0.018406744190054277,0.3871688836254179,0.01031565329197639,0.30101500840391965,0.0173568527121638,8.557501714676246e-05,2.0232645006986565e-05,0.4114405833883211,0.017402835601637634,0.7125424833968281,0.030733451973288244,0.00303445816971358,0.00019295212696410108,3.0360926754539834,0.027304791873661114,,,,,,,,,,,,,,,,,,,,,1.0,8.473409486550036e-16,0.4123552568591622,9.364296136138099e-05,0.7125424833968281,1.0
6,Gaussian RP,5,6000.0,0.0,6.0,0.0,36.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,1.2e-05,0.0,8e-06,0.0,291761.8,383.77688830882295,1714509.6,2042.2739287372576,0.047625266666666624,5.6729831353794236e-05,145.8809,0.1918884441544132,192.0,4.743416490252567,145.922012,0.0,0.0277083526369655,0.0,0.0,0.0,0.8205,0.0018333333333333506,-6.344295510885086e-05,0.00013211046520877144,0.0010718550393059001,0.00018285144054247692,1.9363826250191778,0.018406744190054277,0.3871688836254179,0.01031565329197639,0.06738173358608032,0.007438001476081344,0.00041017495095726,0.0001401770974432376,0.4536156831774861,0.023315847026784166,0.5214092750102282,0.026036686212235708,0.00342797543853516,0.000246469361099976,2.8449591003591195,0.034733137501297764,0.03708797479048366,0.0010061359775628237,0.007975658145733141,0.003306132269014391,0.01985912520904088,0.0034081980219311725,,,,,,,,,,,,,,,0.8564472046306095,0.012503944082177322,0.36184241142867923,0.0002180436571957045,0.7125424833968281,1.3665704036101978
6,Random sampling,5,6000.0,0.0,6.0,0.0,36.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,1.2e-05,0.0,8e-06,0.0,291761.8,383.77688830882295,1714509.6,2042.2739287372576,0.047625266666666624,5.6729831353794236e-05,145.8809,0.1918884441544132,192.0,4.743416490252567,145.922012,0.0,0.0277083526369655,0.0,0.0,0.0,0.8232666666666667,0.0018804550276757895,-3.77091116807403e-05,5.917688680923205e-05,0.00142541606392224,0.0003980434218710342,1.9363826250191778,0.018406744190054277,0.3871688836254179,0.01031565329197639,0.1610714418115094,0.00955666341906853,0.00016970839351414634,0.00019513014170805573,0.3564986918354407,0.015676315431886242,0.5177414665929974,0.022891543863888097,0.0034867249894887003,0.00054898834783893,2.84129135068506,0.017603609892977067,,,,,,,0.029555283603258358,0.0011680494355587072,258240.6,1030.846399809398,,,,,,,,,,,1.412553494500987,0.004271719737132836,1.1923023132445123,0.0007926733084142857,0.7125424833968281,1.376251525854633
6,CountSketch RP,5,6000.0,0.0,6.0,0.0,36.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,1.2e-05,0.0,8e-06,0.0,291761.8,383.77688830882295,1714509.6,2042.2739287372576,0.047625266666666624,5.6729831353794236e-05,145.8809,0.1918884441544132,192.0,4.743416490252567,145.922012,0.0,0.0277083526369655,0.0,0.0,0.0,0.8206,0.0022129668371266512,4.116867979813729e-05,9.444443529838087e-05,0.00119897777972678,0.00011618187358239771,1.9363826250191778,0.018406744190054277,0.3871688836254179,0.01031565329197639,0.057653050264343565,0.0013039206219933243,0.00033867498859758,0.00016643176453079485,0.3717056915629655,0.01227946271360631,0.4296988750109449,0.01296938543742345,0.0038434084039180804,0.00046882530462830427,2.7532489254605026,0.00660269830007635,,,,,,,,,,,0.007474150252528419,0.0001832053105385198,0.02497001658193762,0.0007487508646380601,0.005384924984537,0.0016852341527402999,0.01823749181348826,0.001339145331096676,36.0,0.0,0.8612139029736072,0.029676653614769153,0.36173653164416575,0.00010695303489940345,0.7125424833968281,1.6582367905400703
8,Non-random eigsh,5,6000.0,0.0,8.0,0.0,64.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,2.1333333333333335e-05,0.0,1.4222222222222222e-05,0.0,516173.4,689.2871680221592,2973868.8,3488.987990807601,0.08260746666666664,9.691633307801205e-05,258.0867,0.34464358401108536,321.4,3.7815340802378,257.8640213333333,0.0,0.0155703398604669,0.0,0.0,0.0,0.8573333333333334,0.002648374763678401,0.0002483651264740301,0.00022750699315632268,0.00237814491402768,0.0003678564065233879,3.594202550011687,0.13187758231475605,0.7618448832072318,0.04599572392043085,0.7166261999635026,0.051946002417795345,0.00010035859886553453,1.0428738646420576e-05,0.4608476254157722,0.03256253118351612,1.1775758418021725,0.06318476156369865,0.0035125668160616796,0.00031669148451182673,5.533621617197059,0.18452358781337866,,,,,,,,,,,,,,,,,,,,,0.9999999999999994,4.54378355600607e-16,0.39220040809457934,7.329574590898923e-05,1.1775758418021725,1.0
