experiment,K,rep,seed,n,m,rho_n,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,method_wall_sec,algorithm_total_wall_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
K_compensated_reference_signal,3,1,2026350706,6000,3,4.0,36.0,4.0,32.0,4e-06,4.4444444444444444e-07,29982,185308,0.005147444444444444,0.1710634590126574,0.03223333298228681,sparse,0,0.0,14.991,33.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,Non-random eigsh,non_random,0.01649999999999996,0.9510974439382104,0.9135374567038645,0.005787750007584691,0.006217874935828149,5.5832904763519764e-05,0.04004450002685189,0.04631949996110052,0.9999999999999997,0.693845106919153,0.048704958986490965,0.24961499986238778,,,,,,,,,,,,,,,,,,,,,
K_compensated_reference_signal,3,1,2026350706,6000,3,4.0,36.0,4.0,32.0,4e-06,4.4444444444444444e-07,29982,185308,0.005147444444444444,0.1710634590126574,0.03223333298228681,sparse,0,0.0,14.991,33.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,Gaussian RP,gaussian_random_projection,0.5388333333333333,0.03762462083497403,0.0332119166714963,0.0028631669702008367,0.018208499997854233,0.0003441659500822425,0.2876974589889869,0.30625212495215237,0.7345768679953363,0.5114926331395394,0.30851074995007366,0.5095469169318676,0.0007799580926075578,0.008033125079236925,0.005612249951809645,0.0023052090546116233,0.0006349580362439156,0.0002649590605869889,,,,,,,,,,,,,,,
K_compensated_reference_signal,3,1,2026350706,6000,3,4.0,36.0,4.0,32.0,4e-06,4.4444444444444444e-07,29982,185308,0.005147444444444444,0.1710634590126574,0.03223333298228681,sparse,0,0.0,14.991,33.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,Random sampling,random_sampling,0.6318333333333334,0.0037367079676591647,0.010024203578073028,0.0034207080025225878,0.026451916084624827,5.391694139689207e-05,0.12712449999526143,0.15363208402413875,1.4877802957974648,1.4239630866246118,0.15622825000900775,0.35692712501622736,,,,,,,0.003834625007584691,95654.0,28906.0,0.3,,,,,,,,,,,
K_compensated_reference_signal,3,1,2026350706,6000,3,4.0,36.0,4.0,32.0,4e-06,4.4444444444444444e-07,29982,185308,0.005147444444444444,0.1710634590126574,0.03223333298228681,sparse,0,0.0,14.991,33.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,CountSketch RP,countsketch_random_projection,0.5358333333333334,0.03833567226205351,0.03365492408970933,0.0042264999356120825,0.02158758300356567,0.00025454198475927114,0.23687612498179078,0.25872004101984203,0.7595943938711299,0.5112809640505032,0.2612277079606429,0.46201504196505994,,,,,,,,,,,0.0003493749536573887,33.0,153.0,202.0,0.0,0.0030891660135239363,0.004905833979137242,0.007466375012882054,0.004696457996033132,0.000636707991361618,0.00020566699095070362
K_compensated_reference_signal,3,2,2026350707,6000,3,4.0,36.0,4.0,32.0,4e-06,4.4444444444444444e-07,30093,185954,0.005165388888888889,0.18919812503736466,0.029376083053648472,sparse,0,0.0,15.0465,31.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,Non-random eigsh,non_random,0.017000000000000015,0.9496494793509932,0.9113088839884373,0.005666290991939604,0.006315291975624859,5.3750001825392246e-05,0.03713499999139458,0.043505458044819534,0.9999999999999999,0.6921604542565389,0.045497875078581274,0.26207825005985796,,,,,,,,,,,,,,,,,,,,,
K_compensated_reference_signal,3,2,2026350707,6000,3,4.0,36.0,4.0,32.0,4e-06,4.4444444444444444e-07,30093,185954,0.005165388888888889,0.18919812503736466,0.029376083053648472,sparse,0,0.0,15.0465,31.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,Gaussian RP,gaussian_random_projection,0.492,0.06987696719903723,0.060460527924723596,0.004400374949909747,0.021684666979126632,0.00016779208090156317,0.1504258339991793,0.1722795000532642,0.7729312546395312,0.5165129378828855,0.17512358294334263,0.39085250115022063,0.0012931660749018192,0.011373457964509726,0.00538008299190551,0.00229350000154227,0.0005927090533077717,0.0002652079565450549,,,,,,,,,,,,,,,
K_compensated_reference_signal,3,2,2026350707,6000,3,4.0,36.0,4.0,32.0,4e-06,4.4444444444444444e-07,30093,185954,0.005165388888888889,0.18919812503736466,0.029376083053648472,sparse,0,0.0,15.0465,31.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,Random sampling,random_sampling,0.6285000000000001,0.0030731542959404603,0.007665822011609129,0.0044271249789744616,0.03977737494278699,5.40000619366765e-05,0.18592545797582716,0.22575879096984863,1.4842435356557435,1.4222113899430668,0.2276287080021575,0.44433104107156396,,,,,,,0.0057182080345228314,95977.0,28746.0,0.3,,,,,,,,,,,
K_compensated_reference_signal,3,2,2026350707,6000,3,4.0,36.0,4.0,32.0,4e-06,4.4444444444444444e-07,30093,185954,0.005165388888888889,0.18919812503736466,0.029376083053648472,sparse,0,0.0,15.0465,31.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,CountSketch RP,countsketch_random_projection,0.51,0.05910471461092464,0.052640602599831866,0.004273541970178485,0.013368624961003661,0.0004047499969601631,0.138005584012717,0.15177975001279265,0.8015373186769646,0.5148646932858972,0.1529271670151502,0.37035316706169397,,,,,,,,,,,0.00021974998526275158,33.0,160.0,210.0,0.0,0.0018942090682685375,0.0036336249904707074,0.003717459039762616,0.003197291982360184,0.0003179999766871333,0.00014979206025600433
K_compensated_reference_signal,3,3,2026350708,6000,3,4.0,36.0,4.0,32.0,4e-06,4.4444444444444444e-07,30204,186592,0.005183111111111111,0.2072556250495836,0.03337979200296104,sparse,0,0.0,15.102,32.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,Non-random eigsh,non_random,0.019000000000000017,0.943792419585534,0.902717776280668,0.0037228750297799706,0.008057666011154652,5.695910658687353e-05,0.03775929205585271,0.04587529192212969,1.0000000000000002,0.6927154074225382,0.047730708960443735,0.2865093342261389,,,,,,,,,,,,,,,,,,,,,
K_compensated_reference_signal,3,3,2026350708,6000,3,4.0,36.0,4.0,32.0,4e-06,4.4444444444444444e-07,30204,186592,0.005183111111111111,0.2072556250495836,0.03337979200296104,sparse,0,0.0,15.102,32.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,Gaussian RP,gaussian_random_projection,0.5335,0.04444809674509641,0.040128871381149414,0.003973416984081268,0.02183483389671892,0.0007106249686330557,0.16744512494187802,0.18999270803760737,0.7820747222944245,0.510897220438552,0.1922559579834342,0.43062600085977465,0.0015569159295409918,0.009579541045241058,0.006830417085438967,0.0028263330459594727,0.00031262508127838373,0.00017608399502933025,,,,,,,,,,,,,,,
