K,method,reps,n_mean,n_std,K_mean,K_std,rho_n_mean,rho_n_std,a_in_mean,a_in_std,b_out_mean,b_out_std,signal_gap_mean,signal_gap_std,p_in_mean,p_in_std,p_out_mean,p_out_std,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_sampled_upper_nnz_mean,rs_sampled_upper_nnz_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std,non_random_spectral_sec_mean,spectral_speedup_vs_non_random
3,Non-random eigsh,5,6000.0,0.0,3.0,0.0,4.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,4e-06,0.0,4.444444444444445e-07,0.0,30140.4,180.94004531888476,186207.2,1069.6734081017428,0.005172422222222179,2.9713150225042748e-05,15.0702,0.0904700226594419,31.8,0.8366600265340756,15.096448444444444,0.0,0.1109999938302488,0.0,0.0,0.0,0.01736666666666662,0.0009817784316682317,0.9485661138608528,0.0028695340568995614,0.9097726913380499,0.004256785317004284,0.196118508442305,0.016007349116912654,0.03168610821012404,0.001610152321446688,0.007108891382813401,0.0008506152586986274,5.661679897457361e-05,3.922508693576376e-06,0.038217199989594455,0.0023790521091563576,0.04538393318653102,0.0026279151462240123,0.00448700000997626,0.0011690882456969367,0.2731873248238116,0.01654922562882955,,,,,,,,,,,,,,,,,,,,,1.0,4.002966042486721e-16,0.6926607643014386,0.001524038258800447,0.04538393318653102,1.0
3,Gaussian RP,5,6000.0,0.0,3.0,0.0,4.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,4e-06,0.0,4.444444444444445e-07,0.0,30140.4,180.94004531888476,186207.2,1069.6734081017428,0.005172422222222179,2.9713150225042748e-05,15.0702,0.0904700226594419,31.8,0.8366600265340756,15.096448444444444,0.0,0.1109999938302488,0.0,0.0,0.0,0.5225666666666666,0.01842198264151946,0.051307674351278476,0.012273046925383752,0.045728637522170476,0.01063792997916969,0.196118508442305,0.016007349116912654,0.03168610821012404,0.001610152321446688,0.02098025856539602,0.0016824977003095452,0.00038114998023952,0.0002500653302591885,0.2032296417746693,0.0690329795084842,0.22459257498849178,0.06846864365551239,0.00392295836936678,0.0007572715963523303,0.45239566697273403,0.06272885381561631,0.00955364140681918,0.00136150740418944,0.00586077501066026,0.0010227893514207134,0.0030748584074899,0.0008581305685509212,,,,,,,,,,,,,,,0.7369540420304974,0.04548132737297076,0.512970126748507,0.0023164492023943915,0.04538393318653102,0.20207227771824832
3,Random sampling,5,6000.0,0.0,3.0,0.0,4.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,4e-06,0.0,4.444444444444445e-07,0.0,30140.4,180.94004531888476,186207.2,1069.6734081017428,0.005172422222222179,2.9713150225042748e-05,15.0702,0.0904700226594419,31.8,0.8366600265340756,15.096448444444444,0.0,0.1109999938302488,0.0,0.0,0.0,0.6331666666666667,0.013801670591312922,0.00424938683645688,0.0036855181388682342,0.009089782338199801,0.006411607276688199,0.196118508442305,0.016007349116912654,0.03168610821012404,0.001610152321446688,0.029018183215521222,0.007526632763255542,5.545003805309534e-05,1.893698203264266e-06,0.1421307999640703,0.03208116716699422,0.17120607518590983,0.03909206855028245,0.00418829997070128,0.00043792897465885875,0.39900904987007374,0.03876121448882049,,,,,,,0.00397400001529598,0.001018983206590888,28829.8,151.18432458426372,,,,,,,,,,,1.4853202066071085,0.005757970878188942,1.4235156886076101,0.004485133321862012,0.04538393318653102,0.2650836609463149
3,CountSketch RP,5,6000.0,0.0,3.0,0.0,4.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,4e-06,0.0,4.444444444444445e-07,0.0,30140.4,180.94004531888476,186207.2,1069.6734081017428,0.005172422222222179,2.9713150225042748e-05,15.0702,0.0904700226594419,31.8,0.8366600265340756,15.096448444444444,0.0,0.1109999938302488,0.0,0.0,0.0,0.5288333333333333,0.011932099563781731,0.04521508537274822,0.008732289698019563,0.03989722581928062,0.007880461058040604,0.196118508442305,0.016007349116912654,0.03168610821012404,0.001610152321446688,0.016145983221940642,0.0038702690316819613,0.00027830842882388,0.00011239405153458175,0.1822873084340244,0.05003539225453927,0.1987128416076302,0.05096145690361333,0.0039509083842858,0.0002959844024438903,0.4265162167372182,0.04736191164232176,,,,,,,,,,,0.00245311644393946,0.000583118887535762,0.0037527333945035603,0.0009123762562322996,0.0056586666265501994,0.001626136004764825,0.00288664158433672,0.0011994782340150726,33.0,0.0,0.7657545572919356,0.021964128923367215,0.5103080655266268,0.0033385788221593107,0.04538393318653102,0.22838953345624324
4,Non-random eigsh,5,6000.0,0.0,4.0,0.0,7.111111111111112,0.0,36.0,0.0,4.0,0.0,32.0,0.0,7.111111111111111e-06,0.0,7.901234567901234e-07,0.0,42518.4,151.46385707488125,259919.2,942.1343853187828,0.0072199777777777405,2.6170399592174035e-05,21.2592,0.07573192853744021,41.0,2.1213203435596424,21.31200711111111,0.0,0.0624062552161494,0.0,0.0,0.0,0.0398666666666666,0.0031980897075875934,0.8965176191724578,0.0080736281344682,0.8485912243000235,0.009839357532907366,0.2865936336107552,0.025137128148150126,0.04874412482604378,0.003502556498516994,0.0108327083988115,0.0004869519829453867,6.878338754177094e-05,8.575226610179674e-06,0.04918466664385046,0.004454637802928067,0.06008750000037248,0.004598129774432921,0.0048995082033797595,0.0006113781714194503,0.39542391686700284,0.029549661267359445,,,,,,,,,,,,,,,,,,,,,1.0000000000000004,4.577566798522237e-16,0.6058458019427505,0.0018308515522694555,0.06008750000037248,1.0
4,Gaussian RP,5,6000.0,0.0,4.0,0.0,7.111111111111112,0.0,36.0,0.0,4.0,0.0,32.0,0.0,7.111111111111111e-06,0.0,7.901234567901234e-07,0.0,42518.4,151.46385707488125,259919.2,942.1343853187828,0.0072199777777777405,2.6170399592174035e-05,21.2592,0.07573192853744021,41.0,2.1213203435596424,21.31200711111111,0.0,0.0624062552161494,0.0,0.0,0.0,0.6727000000000001,0.016809141031659553,0.01603175985850114,0.0033843519783997122,0.01770240879847554,0.003042019966911443,0.2865936336107552,0.025137128148150126,0.04874412482604378,0.003502556498516994,0.028026924794539783,0.00452103973457726,0.00046364981681104,0.00048718643361168385,0.3216913999756798,0.028788552884333345,0.35018345040734855,0.03100096638392203,0.0035693251993506397,0.0003163569619278206,0.6855197330238297,0.05267060017256835,0.00912639158777888,0.0006479836045575736,0.011538850027136439,0.0033790833389262904,0.00535345000680532,0.003005315888044064,,,,,,,,,,,,,,,0.7928620051540218,0.04121811557051708,0.46950239056824505,0.0014059316067044345,0.06008750000037248,0.17158863427291068
4,Random sampling,5,6000.0,0.0,4.0,0.0,7.111111111111112,0.0,36.0,0.0,4.0,0.0,32.0,0.0,7.111111111111111e-06,0.0,7.901234567901234e-07,0.0,42518.4,151.46385707488125,259919.2,942.1343853187828,0.0072199777777777405,2.6170399592174035e-05,21.2592,0.07573192853744021,41.0,2.1213203435596424,21.31200711111111,0.0,0.0624062552161494,0.0,0.0,0.0,0.7069,0.019230184606498217,0.0074445790377186405,0.006342529075491131,0.00928986780859114,0.007013078088233452,0.2865936336107552,0.025137128148150126,0.04874412482604378,0.003502556498516994,0.02736579978372896,0.004375415957194796,6.230820436030627e-05,2.513125461556561e-06,0.15206010837573553,0.04102897811568265,0.17948974180035288,0.038778536177068786,0.00398970837704832,0.0010220456859705968,0.514825974800624,0.03472994161493059,,,,,,,0.004679091414436639,0.00028534530291117195,39898.0,253.46202871436114,,,,,,,,,,,1.462015055053646,0.004476135357704488,1.3589725557717174,0.005606951186942729,0.06008750000037248,0.3347684352190335
4,CountSketch RP,5,6000.0,0.0,4.0,0.0,7.111111111111112,0.0,36.0,0.0,4.0,0.0,32.0,0.0,7.111111111111111e-06,0.0,7.901234567901234e-07,0.0,42518.4,151.46385707488125,259919.2,942.1343853187828,0.0072199777777777405,2.6170399592174035e-05,21.2592,0.07573192853744021,41.0,2.1213203435596424,21.31200711111111,0.0,0.0624062552161494,0.0,0.0,0.0,0.6722333333333333,0.015793634442043097,0.01551626778717612,0.0052732946663538475,0.016718991026087822,0.005257045847800754,0.2865936336107552,0.025137128148150126,0.04874412482604378,0.003502556498516994,0.022238883189856982,0.0016646728914028073,0.00040618339553468,0.0002454401436535852,0.354940258199349,0.028404773463172526,0.3775967082008719,0.02751528807623895,0.00423860840965056,0.0008289277521259556,0.7129230832215399,0.010495713729035927,,,,,,,,,,,0.0029904747847467198,0.0006469227166231371,0.00549631698522714,0.0015253682995856862,0.007292549638077581,0.0016117508436310993,0.00502210860140616,0.00232003312687435,34.0,0.0,0.7772241099534928,0.022677807654607834,0.4695746699976605,0.0012219036993896223,0.06008750000037248,0.15913141903876835
6,Non-random eigsh,5,6000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,1.6e-05,0.0,1.7777777777777777e-06,0.0,78341.4,458.1247646656981,472463.2,2653.6422516985913,0.013123977777777721,7.371228476941264e-05,39.1707,0.22906238233284568,65.8,4.324349662087931,39.07379377777777,0.0,0.0277083526369655,0.0,0.0,0.0,0.11506666666666661,0.011333700974429206,0.7430700312779208,0.023624939553598793,0.6994661786950072,0.02326202920662258,0.5057522665942088,0.014322631624985566,0.0930859167827293,0.006260062255083505,0.02560117500834162,0.002292034818629649,9.89749794825802e-05,3.816473135367249e-05,0.07384815022815014,0.006518156873685443,0.09954983359202736,0.006872053745543006,0.004227833217009839,0.0009744023228491051,0.6983864835929126,0.020844963821023563,,,,,,,,,,,,,,,,,,,,,1.0,8.345155887641791e-16,0.5040771465234369,0.0012092857429948695,0.09954983359202736,1.0
6,Gaussian RP,5,6000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,1.6e-05,0.0,1.7777777777777777e-06,0.0,78341.4,458.1247646656981,472463.2,2653.6422516985913,0.013123977777777721,7.371228476941264e-05,39.1707,0.22906238233284568,65.8,4.324349662087931,39.07379377777777,0.0,0.0277083526369655,0.0,0.0,0.0,0.7978333333333333,0.00841295297608258,0.00384779689750828,0.0012558592852718404,0.00649572216519508,0.001692801092713179,0.5057522665942088,0.014322631624985566,0.0930859167827293,0.006260062255083505,0.03165067480877036,0.003127357765773069,0.00034210023004556,0.00012551006623586804,0.4652740833815187,0.048681669506339884,0.4972685415763408,0.046559401200847325,0.004060525028035019,0.0005613599435560587,1.0961050417972729,0.04146635574690127,0.0144183997996151,0.00242611366976864,0.00698008362669494,0.0025127441382845938,0.00725220816675568,0.001802919131853368,,,,,,,,,,,,,,,0.8293569065983382,0.028845145793270643,0.41888931065264023,0.0008968361905490176,0.09954983359202736,0.20019330657124315
