experiment,title,x_col,x_value,seed,n,K,rho_n,a_in,b_out,signal_gap,num_hyperedges_total,theta_nnz,theta_density,num_eigenvalues,lambda_1,lambda_K,lambda_Kplus1,eigengap_after_K,relative_eigengap_after_K,lambda_tail_min_recorded
density_background_fixed_gap,Density sweep with stronger fixed signal gap,density_level,1,2026150705,6000,6,16.0,36.0,4.0,32.0,77908,469936,0.013053777777777777,16,1.0000000000000013,0.5047028747061254,0.4906979611723394,0.014004913533786023,0.02774882853984277,0.48724128654908205
density_background_fixed_gap,Density sweep with stronger fixed signal gap,density_level,2,2026250705,6000,6,24.0,36.0,4.0,32.0,117465,702826,0.019522944444444443,16,1.0000000000000002,0.48615246958389513,0.4605345752816377,0.025617894302257416,0.052695184957476694,0.45822318847821847
density_background_fixed_gap,Density sweep with stronger fixed signal gap,density_level,3,2026350705,6000,6,32.0,40.0,8.0,32.0,283764,1667166,0.046310166666666666,16,1.0000000000000002,0.42379650722727547,0.4142516246843531,0.00954488254292235,0.022522324700999904,0.4128178729123345
density_background_fixed_gap,Density sweep with stronger fixed signal gap,density_level,4,2026450705,6000,6,48.0,44.0,12.0,32.0,616988,3520318,0.09778661111111112,16,0.9999999999999998,0.39389165932765463,0.38771414650213476,0.006177512825519871,0.01568327909269379,0.3868595662170535
density_background_fixed_gap,Density sweep with stronger fixed signal gap,density_level,5,2026550705,6000,6,64.0,52.0,20.0,32.0,1337213,7191232,0.19975644444444443,16,0.9999999999999998,0.3729754602490918,0.37001339645547626,0.0029620637936155214,0.007941712282189574,0.36932447911223265
K_compensated_reference_signal,K sweep with K^2 compensation and reference signal,K,3,2026350706,6000,3,4.0,36.0,4.0,32.0,29982,185308,0.005147444444444444,13,1.0000000000000013,0.6938451069191534,0.5906615804192061,0.10318352649994722,0.14871262400063323,0.5853320854926316
K_compensated_reference_signal,K sweep with K^2 compensation and reference signal,K,4,2026450706,6000,4,7.111111111111111,36.0,4.0,32.0,42564,260262,0.0072295,14,1.0,0.6060638234695461,0.5471372563179818,0.0589265671515643,0.09722831964169411,0.5436720821014748
K_compensated_reference_signal,K sweep with K^2 compensation and reference signal,K,6,2026650706,6000,6,16.0,36.0,4.0,32.0,78442,473132,0.013142555555555555,16,1.0000000000000009,0.5054698608407796,0.48994524492086533,0.015524615919914275,0.030713237568885336,0.4867153188222625
K_compensated_reference_signal,K sweep with K^2 compensation and reference signal,K,8,2026850706,6000,8,28.444444444444443,36.0,4.0,32.0,127541,762520,0.021181111111111112,18,1.0,0.4561746020948762,0.4551503753183764,0.0010242267764998259,0.002245251646620179,0.4527562437756233
K_compensated_reference_signal,K sweep with K^2 compensation and reference signal,K,10,2027050706,6000,10,44.44444444444445,36.0,4.0,32.0,191616,1137062,0.031585055555555554,20,1.0000000000000004,0.43136412069876434,0.43126181393614643,0.00010230676261790972,0.00023717031090157327,0.42979352480909694
