experiment,n,rep,seed,K,m,rho_n,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,method_wall_sec,algorithm_total_wall_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
n_scaling_fixed_density_signal,3000,1,2326050704,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138532,796792,0.08853244444444444,0.8810650419909507,0.15509133297018707,sparse,0,0.0,138.532,188.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,Non-random eigsh,non_random,0.8193333333333334,-0.0008485558607362166,0.0011430020003120327,0.0023472500033676624,0.11066533299162984,5.1332986913621426e-05,0.3732365829637274,0.4839544999413192,0.9999999999999992,0.4135283194509135,0.48916645802091807,1.5201096239034086,,,,,,,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,3000,1,2326050704,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138532,796792,0.08853244444444444,0.8810650419909507,0.15509133297018707,sparse,0,0.0,138.532,188.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,Gaussian RP,gaussian_random_projection,0.8163333333333334,-0.00017127720467728698,0.0020684365043186228,0.0018764999695122242,0.029833790962584317,0.00010420905891805887,0.3827203749679029,0.41265945800114423,0.9225215710384314,0.3647387701809173,0.41872449999209493,1.448814749950543,0.00044770899694412947,0.01710966695100069,0.0031112090218812227,0.008454750059172511,0.0005138750420883298,0.00018833298236131668,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,3000,1,2326050704,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138532,796792,0.08853244444444444,0.8810650419909507,0.15509133297018707,sparse,0,0.0,138.532,188.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,Random sampling,random_sampling,0.8180000000000001,-7.70736270786013e-05,0.0026358799891903146,0.001796750002540648,0.07750804093666375,0.00010316609404981136,0.20730345894116908,0.2849172499263659,1.4226096561996717,1.1964128585049187,0.29199999989941716,1.3210710409330204,,,,,,,0.015044250059872866,399896.0,120088.0,0.3,,,,,,,,,,,
n_scaling_fixed_density_signal,3000,1,2326050704,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138532,796792,0.08853244444444444,0.8810650419909507,0.15509133297018707,sparse,0,0.0,138.532,188.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,CountSketch RP,countsketch_random_projection,0.817,-0.0003060927171151462,0.0019473845124266535,0.0019335410324856639,0.04123987501952797,0.0003465829649940133,0.32947695802431554,0.3710644170641899,0.9224256955221364,0.3648348857844501,0.3789495410164818,1.4072197909699753,,,,,,,,,,,0.00013854203280061483,36.0,61.0,103.0,0.0,0.004017750034108758,0.01584616699256003,0.007326040999032557,0.013431625091470778,0.00038583402056246996,3.887503407895565e-05
n_scaling_fixed_density_signal,3000,2,2326050705,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138891,799212,0.08880133333333333,0.9136808749753982,0.15934416698291898,sparse,0,0.0,138.891,183.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,Non-random eigsh,non_random,0.8096666666666666,0.0006629889747048073,0.003227198997424642,0.0021560000022873282,0.10932683292776346,5.212496034801006e-05,0.3578477919800207,0.46722804207820445,0.9999999999999997,0.4134503196491002,0.4736627909587696,1.5402517918264493,,,,,,,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,3000,2,2326050705,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138891,799212,0.08880133333333333,0.9136808749753982,0.15934416698291898,sparse,0,0.0,138.891,183.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,Gaussian RP,gaussian_random_projection,0.8116666666666666,0.0002671718332269835,0.002724637743143101,0.0027311249868944287,0.03169650002382696,8.050003089010715e-05,0.38776737498119473,0.4195457079913467,0.9279293259761805,0.36442892477334377,0.42572033300530165,1.492569416994229,0.0004499999340623617,0.016918999957852066,0.0019720830023288727,0.011513250065036118,0.0007345840567722917,0.00010020902846008539,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,3000,2,2326050705,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138891,799212,0.08880133333333333,0.9136808749753982,0.15934416698291898,sparse,0,0.0,138.891,183.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,Random sampling,random_sampling,0.8183333333333334,0.0004844685592243366,0.004671455895598727,0.0017223339527845383,0.059865750023163855,5.254207644611597e-05,0.3185831250157207,0.37850279198028147,1.415439872989951,1.193652115761246,0.383894250029698,1.4515264590736479,,,,,,,0.014176790951751173,401106.0,120471.0,0.3,,,,,,,,,,,
n_scaling_fixed_density_signal,3000,2,2326050705,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138891,799212,0.08880133333333333,0.9136808749753982,0.15934416698291898,sparse,0,0.0,138.891,183.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,CountSketch RP,countsketch_random_projection,0.8146666666666667,-0.0006677380176355333,0.0013268526911661225,0.0022701669950038195,0.03173341695219278,0.00018133304547518492,0.3341985000297427,0.3661147920647636,0.9337957544668752,0.364634447789048,0.37148516706656665,1.4391382919857278,,,,,,,,,,,0.00015062489546835423,36.0,68.0,99.0,0.0,0.003739750012755394,0.011847417103126645,0.002399416989646852,0.012554292101413012,0.0009223329834640026,0.0001039580674842
n_scaling_fixed_density_signal,3000,3,2326050706,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138652,796982,0.08855355555555555,0.9892169169615954,0.18174579204060137,sparse,0,0.0,138.652,183.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,Non-random eigsh,non_random,0.808,0.00044897082741295123,0.0029707513263648004,0.002296999911777675,0.1103296660585329,9.112502448260784e-05,0.31755816703662276,0.4279803750105202,1.0000000000000009,0.413966967130183,0.4337719170143828,1.598941667121835,,,,,,,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,3000,3,2326050706,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138652,796982,0.08855355555555555,0.9892169169615954,0.18174579204060137,sparse,0,0.0,138.652,183.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,Gaussian RP,gaussian_random_projection,0.8116666666666666,2.6929717562017837e-05,0.002297519956463658,0.0019489999394863844,0.03219216596335173,0.0002025830326601863,0.40821229096036404,0.44060825009364635,0.9083949110207951,0.36498282433121987,0.4458073329878971,1.6115697489585727,0.00047187507152557373,0.017764124902896583,0.0031308330362662673,0.009884583996608853,0.0008115830132737756,0.00011787493713200092,,,,,,,,,,,,,,,
