n,method,reps,n_mean,n_std,K_mean,K_std,rho_n_mean,rho_n_std,a_in_mean,a_in_std,b_out_mean,b_out_std,signal_gap_mean,signal_gap_std,p_in_mean,p_in_std,p_out_mean,p_out_std,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_sampled_upper_nnz_mean,rs_sampled_upper_nnz_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std,non_random_spectral_sec_mean,spectral_speedup_vs_non_random
3000,Non-random eigsh,5,3000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,6.4e-05,0.0,7.111111111111111e-06,0.0,39080.0,167.80792591531545,233888.4,944.3891147191381,0.02598759999999996,0.00010493212385769185,39.08,0.16780792591531576,65.6,3.0495901363953797,39.03650844444444,0.0,0.0276389661574983,0.0,0.0,0.0,0.12066666666666659,0.010192589900947152,0.7314145453778046,0.02072633819395079,0.6899655621395762,0.01953534541555888,0.2426933334441855,0.00666843783637649,0.04127062498591836,0.004626299291542705,0.012733133416622818,0.0009401050190211905,6.977519951759677e-05,4.51168378909717e-05,0.07703332479577508,0.016969403011714176,0.08983763321302828,0.01700172959281802,0.00232830860186364,0.0003487740503459098,0.3738001918420195,0.02319288594184405,,,,,,,,,,,,,,,,,,,,,1.0,4.80740671595891e-16,0.5024928051440796,0.0012646316909685675,0.08983763321302828,1.0
3000,Gaussian RP,5,3000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,6.4e-05,0.0,7.111111111111111e-06,0.0,39080.0,167.80792591531545,233888.4,944.3891147191381,0.02598759999999996,0.00010493212385769185,39.08,0.16780792591531576,65.6,3.0495901363953797,39.03650844444444,0.0,0.0276389661574983,0.0,0.0,0.0,0.7753333333333334,0.006284902544988252,0.00928492805971724,0.0014934317221715683,0.015073175600672662,0.0022369124586216196,0.2426933334441855,0.00666843783637649,0.04127062498591836,0.004626299291542705,0.0143509331857785,0.003438040925996353,0.00034275001380589925,0.00034670023156423244,0.3886084915604442,0.021847160456437007,0.40330338340718297,0.021996730584186684,0.00210867519490416,0.0005987616320341997,0.6872661331901326,0.03084704566384392,0.006882633222266959,0.001376630626011326,0.00322525000665332,0.001544854762967154,0.0025574582163244,0.000586375671336984,,,,,,,,,,,,,,,0.8967630155725889,0.014602100004346216,0.4210528325689575,0.0006856028670393992,0.08983763321302828,0.2227544744456717
3000,Random sampling,5,3000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,6.4e-05,0.0,7.111111111111111e-06,0.0,39080.0,167.80792591531545,233888.4,944.3891147191381,0.02598759999999996,0.00010493212385769185,39.08,0.16780792591531576,65.6,3.0495901363953797,39.03650844444444,0.0,0.0276389661574983,0.0,0.0,0.0,0.7936666666666666,0.009489760563657785,0.00409721388588586,0.00211556886433637,0.00827871314862216,0.0030577185723822927,0.2426933334441855,0.00666843783637649,0.04127062498591836,0.004626299291542705,0.027130683395080242,0.005098279467081401,8.794160094109958e-05,4.4515531881965605e-05,0.2670527918031439,0.060926681267165335,0.29427363339345897,0.05929998225837868,0.00233252502512182,0.0005784155128669912,0.5782353752292693,0.06506214863507308,,,,,,,0.00442440845072266,0.0007286304597305117,35516.2,175.9408991678736,,,,,,,,,,,1.4368462749710185,0.009983612225478323,1.2765567380703668,0.003321729774131849,0.08983763321302828,0.3052860433911547
3000,CountSketch RP,5,3000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,6.4e-05,0.0,7.111111111111111e-06,0.0,39080.0,167.80792591531545,233888.4,944.3891147191381,0.02598759999999996,0.00010493212385769185,39.08,0.16780792591531576,65.6,3.0495901363953797,39.03650844444444,0.0,0.0276389661574983,0.0,0.0,0.0,0.7881333333333334,0.010961042124015618,0.00631355971255754,0.0016140708792655454,0.011255270260949201,0.002107019573884833,0.2426933334441855,0.00666843783637649,0.04127062498591836,0.004626299291542705,0.0144983417820185,0.0026764054223888806,0.0002690249821170755,0.00014170585226078405,0.39408814141061155,0.0310272466036268,0.4088573415763676,0.031011908070551986,0.0020341919967904196,0.00025376187738251443,0.6928194666048512,0.027660417592752957,,,,,,,,,,,0.0023109665839001004,0.00039221858450669804,0.00460957500617946,0.0014388947581807422,0.0033348666271194203,0.0012329610007578951,0.00312279979698356,0.0016212421681731396,36.0,0.0,0.9083880512697396,0.006643024825269426,0.4211051274457228,0.0007222477974438663,0.08983763321302828,0.2197285558494689
6000,Non-random eigsh,5,6000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,1.6e-05,0.0,1.7777777777777777e-06,0.0,78220.0,394.5079213399893,471734.4,2347.3897844201315,0.01310373333333328,6.520527178942468e-05,39.11,0.19725396066999373,65.4,2.7018512172212588,39.07379377777777,0.0,0.0277083526369655,0.0,0.0,0.0,0.12326666666666666,0.007993573807892323,0.7260469605210964,0.016403936835543087,0.6826098601810046,0.016046831692846743,0.5017670500325039,0.03197046393688266,0.09053213340230282,0.008630723790976848,0.025935016572475378,0.0027632612325267686,9.147517848759389e-05,3.5059397029973545e-05,0.08650514998007561,0.03239393919119195,0.11253293319605287,0.03079619946125913,0.0048938667867332196,0.0023687134573153142,0.7048308251658455,0.024531755305952703,,,,,,,,,,,,,,,,,,,,,1.0000000000000004,4.440892098500626e-16,0.5040613194039164,0.0005580790729796144,0.11253293319605287,1.0
6000,Gaussian RP,5,6000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,1.6e-05,0.0,1.7777777777777777e-06,0.0,78220.0,394.5079213399893,471734.4,2347.3897844201315,0.01310373333333328,6.520527178942468e-05,39.11,0.19725396066999373,65.4,2.7018512172212588,39.07379377777777,0.0,0.0277083526369655,0.0,0.0,0.0,0.7997333333333334,0.006560191392871947,0.00307834315982272,0.0011998416667799354,0.005427935537703101,0.001654737635746552,0.5017670500325039,0.03197046393688266,0.09053213340230282,0.008630723790976848,0.0379108163993805,0.005503609528346783,0.00026321681216354,0.0001303597212264332,0.4640916418284178,0.028222648304222234,0.5022671749815345,0.02630807614949033,0.0034882165724411003,0.0004072141100197684,1.0945648584747687,0.05196743005213108,0.01442143323365594,0.0015640155077612406,0.01229298324324184,0.0026183062569809985,0.00876841680146748,0.002381414658297135,,,,,,,,,,,,,,,0.8269365848471812,0.010548755590162575,0.4184437183620967,0.0005954836414504271,0.11253293319605287,0.22404994552986676
6000,Random sampling,5,6000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,1.6e-05,0.0,1.7777777777777777e-06,0.0,78220.0,394.5079213399893,471734.4,2347.3897844201315,0.01310373333333328,6.520527178942468e-05,39.11,0.19725396066999373,65.4,2.7018512172212588,39.07379377777777,0.0,0.0277083526369655,0.0,0.0,0.0,0.8100666666666667,0.0026076809620810496,0.00141350853147228,0.0003183520686818765,0.00338497837782484,0.0005754562292738637,0.5017670500325039,0.03197046393688266,0.09053213340230282,0.008630723790976848,0.07360459978226565,0.014610791646894262,0.00021835861261932315,0.0001389013702875814,0.26297067517880346,0.025492772010498464,0.3367958917748183,0.026186745090928425,0.0042070582043379,0.0007823078305103975,0.9290928170084953,0.0626731990317155,,,,,,,0.01031267477665094,0.002048921808420008,71518.0,427.0269312350224,,,,,,,,,,,1.432852777555345,0.0019107592383067556,1.278415445052381,0.0015631162537111563,0.11253293319605287,0.3341279865470936
6000,CountSketch RP,5,6000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,1.6e-05,0.0,1.7777777777777777e-06,0.0,78220.0,394.5079213399893,471734.4,2347.3897844201315,0.01310373333333328,6.520527178942468e-05,39.11,0.19725396066999373,65.4,2.7018512172212588,39.07379377777777,0.0,0.0277083526369655,0.0,0.0,0.0,0.8052333333333334,0.008032572578086193,0.00240564584199974,0.0014911646588262706,0.00446324162206286,0.001945817600172561,0.5017670500325039,0.03197046393688266,0.09053213340230282,0.008630723790976848,0.027692458429373762,0.0024358056262222126,0.000398183427751,8.389861352985237e-05,0.439192791795358,0.029226542060220455,0.4672851418145001,0.027241243705167652,0.0041790833929553,0.00031268384284777775,1.0595826170872897,0.0200162767311716,,,,,,,,,,,0.00475179979111994,0.0010556483758845203,0.00817037499509746,0.0006919095986488054,0.0055123334052041,0.0008378054749996528,0.007383133401162879,0.002283742584087798,36.0,0.0,0.825542327379042,0.03902536904166525,0.418309623131692,0.0006247056231849795,0.11253293319605287,0.24082283626455533
9000,Non-random eigsh,5,9000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,7.111111111111111e-06,0.0,7.901234567901235e-07,0.0,117432.8,286.3331975164587,709998.8,1705.3284727582668,0.00876541728395058,2.105343793529062e-05,39.14426666666667,0.09544439917215272,65.4,2.792848008753788,39.086229333333335,0.0,0.0277314900588717,0.0,0.0,0.0,0.12055555555555549,0.004881307252553078,0.7315763084028564,0.009989621043979657,0.6874563717624709,0.009820355583998101,0.7552089747972787,0.055928832987497665,0.14619041678961361,0.0111607551158435,0.0426902168197557,0.0028722773187417963,0.0001638247864320751,0.00014907586218917276,0.08931759181432422,0.013928351308589333,0.1321731501957401,0.01467081467397422,0.00565335019491608,0.0007563847650060249,1.0335710250074044,0.0701045275292901,,,,,,,,,,,,,,,,,,,,,0.9999999999999998,5.324442579404919e-16,0.5045979888029377,0.0006713946111904269,0.1321731501957401,1.0
9000,Gaussian RP,5,9000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,7.111111111111111e-06,0.0,7.901234567901235e-07,0.0,117432.8,286.3331975164587,709998.8,1705.3284727582668,0.00876541728395058,2.105343793529062e-05,39.14426666666667,0.09544439917215272,65.4,2.792848008753788,39.086229333333335,0.0,0.0277314900588717,0.0,0.0,0.0,0.8125333333333333,0.0043186360443953405,0.0013139007633727801,0.0006442289794587683,0.00262046497300948,0.0009100352271505564,0.7552089747972787,0.055928832987497665,0.14619041678961361,0.0111607551158435,0.051606108387932156,0.006841451903828951,0.00066931657493108,0.00026457286416399625,0.5055099750170484,0.018644897626440483,0.5577872167807072,0.021047521460324837,0.00474792479071762,0.00042196756542828436,1.4591847915668041,0.08275756531238573,0.02422170019708568,0.003796868741785385,0.01094295019283884,0.003154724918349121,0.01232260803226376,0.006641321493654431,,,,,,,,,,,,,,,0.763937231471313,0.035489769801830294,0.41718057885598936,0.0004780247039182602,0.1321731501957401,0.23695980513605727
