rho_n,method,reps,n_mean,n_std,K_mean,K_std,rho_n_mean,rho_n_std,a_in_mean,a_in_std,b_out_mean,b_out_std,signal_gap_mean,signal_gap_std,p_in_mean,p_in_std,p_out_mean,p_out_std,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_sampled_upper_nnz_mean,rs_sampled_upper_nnz_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std,non_random_spectral_sec_mean,spectral_speedup_vs_non_random
4.0,Non-random eigsh,5,6000.0,0.0,6.0,0.0,4.0,0.0,14.0,0.0,6.0,0.0,8.0,0.0,1.5555555555555556e-06,0.0,6.666666666666667e-07,0.0,24884.8,79.77280238276695,154976.8,485.7707278130277,0.00430491111111108,1.3493631328104969e-05,12.442400000000001,0.03988640119138403,28.4,1.6733200530681516,12.437112666666668,0.0,0.0277083526369655,0.0,0.0,0.0,0.8177666666666668,0.002722335598546088,0.00022238175392154115,0.00022135616240200048,0.0014804023711605999,0.0003147499049044296,0.18416336679365483,0.020731834098251602,0.0265442081727087,0.0016479953174595213,0.04142731660977002,0.0035685281594719353,0.0008087331894785158,0.001630473515486963,0.3842381332069635,0.07996355349567692,0.42647720002569256,0.0791739381106491,0.004557900223880961,0.0012989772493945543,0.6371817579725757,0.06767807066330814,,,,,,,,,,,,,,,,,,,,,1.0,6.449812927423887e-16,0.6134434230143573,0.0008305498749912239,0.42647720002569256,1.0
4.0,Gaussian RP,5,6000.0,0.0,6.0,0.0,4.0,0.0,14.0,0.0,6.0,0.0,8.0,0.0,1.5555555555555556e-06,0.0,6.666666666666667e-07,0.0,24884.8,79.77280238276695,154976.8,485.7707278130277,0.00430491111111108,1.3493631328104969e-05,12.442400000000001,0.03988640119138403,28.4,1.6733200530681516,12.437112666666668,0.0,0.0277083526369655,0.0,0.0,0.0,0.8183,0.003149955907980657,4.711412061737543e-05,0.00024259376189252467,0.0012263539477679799,0.0003441035901011149,0.18416336679365483,0.020731834098251602,0.0265442081727087,0.0016479953174595213,0.02256362498737868,0.0056509326838705826,0.00026964999269692,0.00010892264594694288,0.4791851420421153,0.019023646731922833,0.5020200000144541,0.020236246478319574,0.00347350842785086,0.0007078710498548284,0.7127259919885546,0.03342350404715817,0.00411152478773142,0.0006924113044004041,0.01377972515765572,0.00550783006507286,0.00265775816515082,0.0005605040333576095,,,,,,,,,,,,,,,0.746065740211831,0.04631369004378052,0.5253065839964524,0.0009989849351410556,0.42647720002569256,0.8495223298143768
4.0,Random sampling,5,6000.0,0.0,6.0,0.0,4.0,0.0,14.0,0.0,6.0,0.0,8.0,0.0,1.5555555555555556e-06,0.0,6.666666666666667e-07,0.0,24884.8,79.77280238276695,154976.8,485.7707278130277,0.00430491111111108,1.3493631328104969e-05,12.442400000000001,0.03988640119138403,28.4,1.6733200530681516,12.437112666666668,0.0,0.0277083526369655,0.0,0.0,0.0,0.8199666666666667,0.004256367778595587,0.00010999471240593353,0.00020737278489490715,0.0014353868966654401,0.00032062329225690446,0.18416336679365483,0.020731834098251602,0.0265442081727087,0.0016479953174595213,0.03082744178827846,0.003131498921330708,0.00010816678404804553,4.194558471094276e-05,0.17202716637402773,0.02528288263051021,0.20296530839987095,0.023977694960695264,0.00492663322947916,0.0006884007558975023,0.41367034991271795,0.035137152630989016,,,,,,,0.00284009999595576,0.0003952886718753224,24206.0,40.98170323449255,,,,,,,,,,,1.5067327684113594,0.007994055689177026,1.4484301489871714,0.005131241772654686,0.42647720002569256,2.1012319956939187
4.0,CountSketch RP,5,6000.0,0.0,6.0,0.0,4.0,0.0,14.0,0.0,6.0,0.0,8.0,0.0,1.5555555555555556e-06,0.0,6.666666666666667e-07,0.0,24884.8,79.77280238276695,154976.8,485.7707278130277,0.00430491111111108,1.3493631328104969e-05,12.442400000000001,0.03988640119138403,28.4,1.6733200530681516,12.437112666666668,0.0,0.0277083526369655,0.0,0.0,0.0,0.8206333333333333,0.002489979919597736,8.499729890600058e-05,0.00028055999277922953,0.0013065110276281,0.00039790123875871135,0.18416336679365483,0.020731834098251602,0.0265442081727087,0.0016479953174595213,0.02403927498962724,0.003754753012834419,0.0002977916039526,0.00012337661284084637,0.47209196677431464,0.031001341532946303,0.4964307752205059,0.03130533012951085,0.0037541665602475,0.0004768121953542594,0.7071366083342582,0.04891063408481239,,,,,,,,,,,0.0020087831886484602,0.00039757112312869766,0.00278048361651594,0.00045643122331519954,0.01286616681609298,0.0023781893605634772,0.0043703917879610804,0.0028022851102197563,36.0,0.0,0.7478048965844915,0.03128303807819411,0.5250664929008846,0.0009053346112997397,0.42647720002569256,0.8590869489029137
8.0,Non-random eigsh,5,6000.0,0.0,6.0,0.0,8.0,0.0,12.82842712474619,0.0,7.17157287525381,0.0,5.65685424949238,0.0,2.850761583276931e-06,0.0,1.5936828611675131e-06,0.0,58831.2,262.96235472021493,357253.2,1572.3228676070396,0.00992369999999996,4.36756352112992e-05,29.4156,0.13148117736010823,51.0,2.345207879911715,29.298604948997866,0.0,0.0277083526369655,0.0,0.0,0.0,0.8186666666666668,0.0022760833806246216,0.00018155449574704363,0.0003579812157497714,0.0014204996874504002,0.0005082695629854121,0.43236455000005664,0.02045696943785636,0.06484023341909048,0.0018323485766726206,0.06827359995804723,0.004721362000015871,7.793358527123928e-05,2.5097156276950087e-06,0.3885209333850071,0.025866010847109024,0.4568737582070753,0.022797877343103127,0.00447663317900146,0.0011218981365968836,0.9540772503474727,0.024002766530038383,,,,,,,,,,,,,,,,,,,,,1.0000000000000002,2.220446049250313e-16,0.5132334367301514,0.0004399166610156889,0.4568737582070753,1.0
8.0,Gaussian RP,5,6000.0,0.0,6.0,0.0,8.0,0.0,12.82842712474619,0.0,7.17157287525381,0.0,5.65685424949238,0.0,2.850761583276931e-06,0.0,1.5936828611675131e-06,0.0,58831.2,262.96235472021493,357253.2,1572.3228676070396,0.00992369999999996,4.36756352112992e-05,29.4156,0.13148117736010823,51.0,2.345207879911715,29.298604948997866,0.0,0.0277083526369655,0.0,0.0,0.0,0.8181666666666667,0.002908321394435828,3.290411110944e-05,0.0002630048882155745,0.0011918210575564401,0.0003548466433469474,0.43236455000005664,0.02045696943785636,0.06484023341909048,0.0018323485766726206,0.03826755820773538,0.009883833916789686,0.0012841667979955201,0.0018150905897204935,0.43239960002247246,0.018122140986394118,0.47195364159997555,0.02536777766860492,0.00337118317838754,0.0005497873987071658,0.9691561084473506,0.035411091761568494,0.01033411677926772,0.0011490494876862357,0.018397291749715737,0.010549968760664443,0.006631116778589741,0.001582028951178669,,,,,,,,,,,,,,,0.7996540544850828,0.039982702945506564,0.4382626098144017,0.0006171520110748019,0.4568737582070753,0.9680479562743117
8.0,Random sampling,5,6000.0,0.0,6.0,0.0,8.0,0.0,12.82842712474619,0.0,7.17157287525381,0.0,5.65685424949238,0.0,2.850761583276931e-06,0.0,1.5936828611675131e-06,0.0,58831.2,262.96235472021493,357253.2,1572.3228676070396,0.00992369999999996,4.36756352112992e-05,29.4156,0.13148117736010823,51.0,2.345207879911715,29.298604948997866,0.0,0.0277083526369655,0.0,0.0,0.0,0.8192999999999999,0.0021127917287061134,6.695377819515043e-05,0.0003200151029436408,0.00122778439071392,0.0004066108797240478,0.43236455000005664,0.02045696943785636,0.06484023341909048,0.0018323485766726206,0.053311241976916744,0.011800749679636392,0.00010982481762766238,5.2127822812122646e-05,0.21502712499350304,0.0348291483727605,0.26845012477133423,0.04103451579761554,0.00417882476467634,0.00042989719723425843,0.7656529752071947,0.053240051051847266,,,,,,,0.006565125007182281,0.0009715377317068923,54477.0,341.56331770258885,,,,,,,,,,,1.4462480227242338,0.003284170917780973,1.3107329785835393,0.0022408099639084763,0.4568737582070753,1.7018943783179104
8.0,CountSketch RP,5,6000.0,0.0,6.0,0.0,8.0,0.0,12.82842712474619,0.0,7.17157287525381,0.0,5.65685424949238,0.0,2.850761583276931e-06,0.0,1.5936828611675131e-06,0.0,58831.2,262.96235472021493,357253.2,1572.3228676070396,0.00992369999999996,4.36756352112992e-05,29.4156,0.13148117736010823,51.0,2.345207879911715,29.298604948997866,0.0,0.0277083526369655,0.0,0.0,0.0,0.8177,0.0025533202784696445,0.00015257935427222762,0.000141440121775706,0.00136639435316622,0.00019355843479110116,0.43236455000005664,0.02045696943785636,0.06484023341909048,0.0018323485766726206,0.03429263317957516,0.005773713859885855,0.00019350838847454,6.541589229008883e-05,0.4382808081805706,0.05270470589028698,0.4727684251964092,0.05620785054517005,0.00459206700325008,0.0009668322750767926,0.9699717331677675,0.06769242993553858,,,,,,,,,,,0.00503641641698774,0.00039553442015951803,0.00942468319553878,0.0017290876773008125,0.01328226679470384,0.005453353946459013,0.00451131677255028,0.0011929952320034797,36.0,0.0,0.7995661067809274,0.025281947004211366,0.43850905717332883,0.0006272394430358227,0.4568737582070753,0.966379592751503
16.0,Non-random eigsh,5,6000.0,0.0,6.0,0.0,16.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,5.333333333333334e-06,0.0,3.5555555555555555e-06,0.0,129506.8,509.09596344893464,774695.6,2891.5035535167544,0.021519322222222182,8.031954315325642e-05,64.7534,0.25454798172447085,96.6,1.9493588689617924,64.85422755555555,0.0,0.0277083526369655,0.0,0.0,0.0,0.8153,0.0041922547632509246,0.0003659937423658824,0.000416220981872082,0.0016641084682923201,0.0005738826582527372,0.8872921250062064,0.03502584747828356,0.16274120002053674,0.023916858150439205,0.13190656658262012,0.015676852589889555,0.00011197498533872338,5.1499016877599114e-05,0.39040612501557914,0.04599399479996677,0.522427683416754,0.04606685361660553,0.00364130020607258,0.0007024589673217102,1.5724579916102812,0.033695745547709335,,,,,,,,,,,,,,,,,,,,,0.9999999999999998,6.821324464969807e-16,0.45315536001760365,0.0001871396490769118,0.522427683416754,1.0
16.0,Gaussian RP,5,6000.0,0.0,6.0,0.0,16.0,0.0,12.0,0.0,8.0,0.0,4.0,0.0,5.333333333333334e-06,0.0,3.5555555555555555e-06,0.0,129506.8,509.09596344893464,774695.6,2891.5035535167544,0.021519322222222182,8.031954315325642e-05,64.7534,0.25454798172447085,96.6,1.9493588689617924,64.85422755555555,0.0,0.0277083526369655,0.0,0.0,0.0,0.8198666666666666,0.003311176360281778,-1.9199654722599937e-06,0.0003516046227817133,0.00115772479133514,0.0004868251555946417,0.8872921250062064,0.03502584747828356,0.16274120002053674,0.023916858150439205,0.04860893357545134,0.01961243203448875,0.00038725838530806,0.0001222165942148932,0.46870976679492743,0.03166013766913298,0.5177074416074902,0.04229784839098321,0.00341635879594828,0.00030066077808710675,1.56773928378243,0.0898311671585905,0.01865104162134224,0.0020542308054232856,0.014317091787233921,0.014673901920141223,0.01350467498414214,0.0030476036073943634,,,,,,,,,,,,,,,0.8488364949559616,0.02408669333440674,0.39008296759683075,0.00026961749100064237,0.522427683416754,1.0091175853965078
