experiment,sweep,x_col,x_value,density_level,rep,seed,n,K,m,rho_n,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,method_wall_sec,algorithm_total_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
density_background_fixed_gap,density_background_fixed_gap,density_level,1,1,1,2126050702,6000,6,3,16,36,4,32,1.6e-05,1.77777777777778e-06,78391,472672,0.0131297777777778,0.0279944583333333,0.0196151666666667,sparse,0,0,39.1955,67,78147.5875555556,13.0245979259259,39.0737937777778,0.0277083526369656,Non-random eigs,non_random,0.125166666666667,0.722031911930561,0.678381033923023,0.0393599166666667,0.172107583333333,0.219348458333333,eigs,0.087119125,0.000578416666666667,0.0840412916666667,0.171776958333333,1,0.504007258414558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
density_background_fixed_gap,density_background_fixed_gap,density_level,1,1,1,2126050702,6000,6,3,16,36,4,32,1.6e-05,1.77777777777778e-06,78391,472672,0.0131297777777778,0.0279944583333333,0.0196151666666667,sparse,0,0,39.1955,67,78147.5875555556,13.0245979259259,39.0737937777778,0.0277083526369656,Gaussian RP,gaussian_random_projection,0.7985,0.00310094289882099,0.00530832767196595,0.00552875,0.385489041666667,0.432909791666667,,0.0129117916666667,0.000119166666666667,0.372269208333333,0.385316541666667,0.79769172380025,0.419132255954787,0.000835875,0.002942125,0.00230679166666667,0.00150875,0.004989375,0.000106458333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
density_background_fixed_gap,density_background_fixed_gap,density_level,1,1,1,2126050702,6000,6,3,16,36,4,32,1.6e-05,1.77777777777778e-06,78391,472672,0.0131297777777778,0.0279944583333333,0.0196151666666667,sparse,0,0,39.1955,67,78147.5875555556,13.0245979259259,39.0737937777778,0.0277083526369656,Random sampling,random_sampling,0.806333333333333,0.00170277865711578,0.00358760653880446,0.00344225,0.278339208333333,0.325741583333333,,0.0660897083333333,0.000125208333333333,0.211917041666667,0.278162416666667,1.43732017114661,1.27887111389055,NaN,NaN,NaN,NaN,NaN,NaN,0.00558045833333333,239336,71718,0.3,141604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
density_background_fixed_gap,density_background_fixed_gap,density_level,1,1,1,2126050702,6000,6,3,16,36,4,32,1.6e-05,1.77777777777778e-06,78391,472672,0.0131297777777778,0.0279944583333333,0.0196151666666667,sparse,0,0,39.1955,67,78147.5875555556,13.0245979259259,39.0737937777778,0.0277083526369656,CountSketch RP,countsketch_random_projection,0.808666666666667,0.00279000983117069,0.00508781760675381,0.002283375,0.351304291666667,0.3986935,,0.0148095416666667,0.000435625,0.335838708333333,0.35112125,0.799420254968812,0.418792589012643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000301458333333333,36,141,189,0,0.001608375,0.00310216666666667,0.00235820833333333,0.00136116666666667,0.005515875,0.000166958333333333
density_background_fixed_gap,density_background_fixed_gap,density_level,1,1,2,2126050703,6000,6,3,16,36,4,32,1.6e-05,1.77777777777778e-06,77736,468798,0.0130221666666667,0.013448,0.015283625,sparse,0,0,38.868,63,78147.5875555556,13.0245979259259,39.0737937777778,0.0277083526369656,Non-random eigs,non_random,0.1295,0.713152806712459,0.671083141624834,0.00613275,0.0694499583333333,0.098007375,eigs,0.013346375,0.000109916666666667,0.0558194583333333,0.06929825,1,0.504542207527611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
density_background_fixed_gap,density_background_fixed_gap,density_level,1,1,2,2126050703,6000,6,3,16,36,4,32,1.6e-05,1.77777777777778e-06,77736,468798,0.0130221666666667,0.013448,0.015283625,sparse,0,0,38.868,63,78147.5875555556,13.0245979259259,39.0737937777778,0.0277083526369656,Gaussian RP,gaussian_random_projection,0.797333333333333,0.0033582782019813,0.00567115316244829,0.00229733333333333,0.391407583333333,0.419454666666667,,0.02157275,0.000197875,0.368952416666667,0.390744875,0.836999321132724,0.419326767805178,0.001843375,0.0110367083333333,0.004535875,0.00120075,0.00260391666666667,5.91666666666667e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
density_background_fixed_gap,density_background_fixed_gap,density_level,1,1,2,2126050703,6000,6,3,16,36,4,32,1.6e-05,1.77777777777778e-06,77736,468798,0.0130221666666667,0.013448,0.015283625,sparse,0,0,38.868,63,78147.5875555556,13.0245979259259,39.0737937777778,0.0277083526369656,Random sampling,random_sampling,0.796166666666667,0.00415219725460285,0.00728936886227288,0.00229020833333333,0.256988625,0.285540041666667,,0.0481364166666667,0.000132666666666667,0.208539333333333,0.256839333333333,1.43656690576752,1.27894568220156,NaN,NaN,NaN,NaN,NaN,NaN,0.00400175,237399,71239,0.3,140656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
density_background_fixed_gap,density_background_fixed_gap,density_level,1,1,2,2126050703,6000,6,3,16,36,4,32,1.6e-05,1.77777777777778e-06,77736,468798,0.0130221666666667,0.013448,0.015283625,sparse,0,0,38.868,63,78147.5875555556,13.0245979259259,39.0737937777778,0.0277083526369656,CountSketch RP,countsketch_random_projection,0.798666666666667,0.00392414895079263,0.00665151656379529,0.00239866666666667,0.259922375,0.288486416666667,,0.010351875,0.000289083333333333,0.249113833333333,0.259775791666667,0.839461302647796,0.418612097666566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000144583333333333,36,136,201,0,0.001053,0.0021705,0.00249679166666667,0.001152125,0.00309541666666667,0.00011875
density_background_fixed_gap,density_background_fixed_gap,density_level,1,1,3,2126050704,6000,6,3,16,36,4,32,1.6e-05,1.77777777777778e-06,78422,472936,0.0131371111111111,0.0124777083333333,0.0155422916666667,sparse,0,0,39.211,63,78147.5875555556,13.0245979259259,39.0737937777778,0.0277083526369656,Non-random eigs,non_random,0.114833333333333,0.743209004917532,0.699030205916761,0.0028315,0.05490975,0.082762875,eigs,0.0144548333333333,0.000152958333333333,0.0401350833333333,0.0547599583333333,1,0.504649341532279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
density_background_fixed_gap,density_background_fixed_gap,density_level,1,1,3,2126050704,6000,6,3,16,36,4,32,1.6e-05,1.77777777777778e-06,78422,472936,0.0131371111111111,0.0124777083333333,0.0155422916666667,sparse,0,0,39.211,63,78147.5875555556,13.0245979259259,39.0737937777778,0.0277083526369656,Gaussian RP,gaussian_random_projection,0.799166666666667,0.0045184387306452,0.00747913072117541,0.00250775,0.344566,0.372409833333333,,0.00951570833333333,0.000229875,0.33464425,0.34441375,0.830244267171946,0.418173977294388,0.000681375,0.00282933333333333,0.00210733333333333,0.001221125,0.002543,5.06666666666667e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
