experiment,x_col,x_value,n,K,rho_n,a_in,b_out,num_hyperedges_total,theta_nnz,lambda_K,lambda_Kplus1,relative_eigengap_after_K
density_background_fixed_gap,density_level,1,6000,6,16,36,4,78391,472672,0.504007258414609,0.489586887855955,0.0286114342956379
density_background_fixed_gap,density_level,2,6000,6,24,36,4,117009,699910,0.486451246643498,0.460523471063141,0.0532998440424567
density_background_fixed_gap,density_level,3,6000,6,32,40,8,284253,1669622,0.424069640422138,0.413949549502781,0.0238642193515251
density_background_fixed_gap,density_level,4,6000,6,48,44,12,617954,3525200,0.394288077135221,0.387654347175638,0.0168245766085076
density_background_fixed_gap,density_level,5,6000,6,64,52,20,1338514,7197916,0.373059744983465,0.369968675544532,0.00828572227504771
K_compensated_reference_signal,K,3,6000,3,4,36,4,30209,186488,0.696074234339213,0.590356583050362,0.151876978163414
K_compensated_reference_signal,K,4,6000,4,7.11111111111111,36,4,42630,260578,0.605515025449751,0.547959115546038,0.0950528186496488
K_compensated_reference_signal,K,6,6000,6,16,36,4,77988,470260,0.505094290830237,0.489885088145048,0.0301116107651675
K_compensated_reference_signal,K,8,6000,8,28.4444444444444,36,4,128970,770674,0.45584381808471,0.454373980273365,0.00322443291546743
K_compensated_reference_signal,K,10,6000,10,44.4444444444444,36,4,191031,1133304,0.431391253857707,0.431097683913325,0.000680518999300495
