experiment,sweep,x_col,x_value,method,reps,non_random_spectral_sec_mean,spectral_speedup_vs_non_random,n_mean,n_std,K_mean,K_std,rho_n_mean,rho_n_std,a_in_mean,a_in_std,b_out_mean,b_out_std,signal_gap_mean,signal_gap_std,p_in_mean,p_in_std,p_out_mean,p_out_std,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,num_isolated_nodes_mean,num_isolated_nodes_std,isolated_fraction_mean,isolated_fraction_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_hyperedges_total_mean,expected_hyperedges_total_std,expected_hyperedges_per_n_mean,expected_hyperedges_per_n_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,misclassification_rate_mean,misclassification_rate_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,method_wall_sec_mean,method_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_sampled_upper_nnz_mean,rs_sampled_upper_nnz_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
n_scaling_reference_signal,n_scaling_reference_signal,n,3000,Non-random eigs,5,0.040121,1,3000,0,6,0,16,0,36,0,4,0,32,0,6.4e-05,0,7.11111111111111e-06,0,38959.6,205.7833812532,233330,1187.92508181282,0.0259255555555556,0.000131991675756981,0,0,0,0,38.9596,0.2057833812532,62.4,2.50998007960223,39036.5084444444,0,13.0121694814815,1.98602732259782e-15,39.0365084444444,0,0.0276389661574984,0,0.133066666666667,0.0136634142471378,0.706139061010303,0.0276684092871883,0.665994864019901,0.0252346214904956,0.00713051666666667,0.00270474817476394,0.00882574166666667,0.000725491065972253,0.0103098666666667,0.00335602275888584,0.000120616666666667,0.000117882461175434,0.02966235,0.000726060001920564,0.040121,0.00296038111959658,0.00104200833333333,0.000175053774971991,0.0401564583333333,0.00296487866984633,0.0560490916666667,0.00629403058284417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5.1178752665209e-16,0.502056881438088,0.001890526584664
n_scaling_reference_signal,n_scaling_reference_signal,n,3000,Gaussian RP,5,0.040121,0.286217698613569,3000,0,6,0,16,0,36,0,4,0,32,0,6.4e-05,0,7.11111111111111e-06,0,38959.6,205.7833812532,233330,1187.92508181282,0.0259255555555556,0.000131991675756981,0,0,0,0,38.9596,0.2057833812532,62.4,2.50998007960223,39036.5084444444,0,13.0121694814815,1.98602732259782e-15,39.0365084444444,0,0.0276389661574984,0,0.788733333333333,0.0121641549918877,0.00632014651561477,0.00283401670127568,0.0110232685276536,0.00358228567929794,0.00713051666666667,0.00270474817476394,0.00882574166666667,0.000725491065972253,0.005220875,0.000842544586996077,9.50416666666666e-05,2.7012857021138e-05,0.134844808333333,0.0082578442633206,0.140176516666667,0.00842389803503624,0.000998166666666667,3.59638490362197e-05,0.140212558333333,0.00842256585677025,0.156116983333333,0.00897298179024041,0.00145086666666667,0.000202869170947272,0.00158201666666667,0.00019546315101005,0.0006294,0.000124275115531138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.906658072563807,0.0131591482763463,0.421545282112842,0.000772840059767831
n_scaling_reference_signal,n_scaling_reference_signal,n,3000,Random sampling,5,0.040121,0.339262552186637,3000,0,6,0,16,0,36,0,4,0,32,0,6.4e-05,0,7.11111111111111e-06,0,38959.6,205.7833812532,233330,1187.92508181282,0.0259255555555556,0.000131991675756981,0,0,0,0,38.9596,0.2057833812532,62.4,2.50998007960223,39036.5084444444,0,13.0121694814815,1.98602732259782e-15,39.0365084444444,0,0.0276389661574984,0,0.795066666666667,0.00659713742635563,0.00408930930833172,0.00122614460116306,0.00836450803517922,0.0017384545533913,0.00713051666666667,0.00270474817476394,0.00882574166666667,0.000725491065972253,0.0218550333333333,0.00179394934659809,8.975e-05,4.90541349910711e-05,0.0962838583333333,0.0147808393481423,0.118259441666667,0.014911583861551,0.000897425,6.22836909609749e-05,0.118307391666667,0.0149125627209669,0.1341849,0.0162546305615198,NaN,NaN,NaN,NaN,NaN,NaN,0.00252039166666667,0.000294629938852208,35439.8,314.402131036035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.43957872343997,0.00714406457519651,1.27940493339745,0.00322598161378406
n_scaling_reference_signal,n_scaling_reference_signal,n,3000,CountSketch RP,5,0.040121,0.327025759768805,3000,0,6,0,16,0,36,0,4,0,32,0,6.4e-05,0,7.11111111111111e-06,0,38959.6,205.7833812532,233330,1187.92508181282,0.0259255555555556,0.000131991675756981,0,0,0,0,38.9596,0.2057833812532,62.4,2.50998007960223,39036.5084444444,0,13.0121694814815,1.98602732259782e-15,39.0365084444444,0,0.0276389661574984,0,0.790133333333333,0.00582904604354586,0.00570732167133842,0.00178334217960826,0.0103437353308522,0.00257140027478952,0.00713051666666667,0.00270474817476394,0.00882574166666667,0.000725491065972253,0.00592534166666667,0.00101663075218327,0.000197991666666667,0.000128653599293262,0.116532675,0.0124430762028569,0.122684525,0.0123870474585743,0.000977741666666667,4.4382319427648e-05,0.122729566666667,0.0123869758222641,0.138612266666667,0.0109015579529994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000913858333333333,0.000143067597052543,0.001185425,0.000186525305477121,0.00157733333333333,0.000217759399911921,0.000589733333333333,0.000130328296737721,36,0,0.902633377289109,0.0329031510731468,0.421148074680603,0.000359682058162029
n_scaling_reference_signal,n_scaling_reference_signal,n,6000,Non-random eigs,5,0.0637418333333333,1,6000,0,6,0,16,0,36,0,4,0,32,0,1.6e-05,0,1.77777777777778e-06,0,78132.8,360.620576229366,471237.2,2247.28485065868,0.0130899222222222,6.24245791849634e-05,0,0,0,0,39.0664,0.180310288114683,63.4,1.51657508881031,78147.5875555556,0,13.0245979259259,0,39.0737937777778,0,0.0277083526369656,3.87895961444886e-18,0.116266666666667,0.00508620137670976,0.740436712427797,0.0105405406358318,0.696703653679652,0.0103720148715008,0.00963391666666667,0.00108270508345673,0.0149564416666667,0.000619362294269275,0.0114508666666667,0.00130114322308467,0.000184833333333333,6.34829168293854e-05,0.0520966416666667,0.00335298604048296,0.0637418333333333,0.00456515782089596,0.00118184166666667,0.00019185802358848,0.0637740583333333,0.00456243889015392,0.0883227,0.00463947232405364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6.03005450638972e-16,0.504301531461144,0.00128034717161057
n_scaling_reference_signal,n_scaling_reference_signal,n,6000,Gaussian RP,5,0.0637418333333333,0.164734655892085,6000,0,6,0,16,0,36,0,4,0,32,0,1.6e-05,0,1.77777777777778e-06,0,78132.8,360.620576229366,471237.2,2247.28485065868,0.0130899222222222,6.24245791849634e-05,0,0,0,0,39.0664,0.180310288114683,63.4,1.51657508881031,78147.5875555556,0,13.0245979259259,0,39.0737937777778,0,0.0277083526369656,3.87895961444886e-18,0.805166666666667,0.00284556184649395,0.00269416154950417,0.00069449249314014,0.00495652700345342,0.00100030473101342,0.00963391666666667,0.00108270508345673,0.0149564416666667,0.000619362294269275,0.00739145833333333,0.000495240139737223,0.00014515,7.01470343180031e-05,0.379386758333333,0.0253880559236414,0.386936391666667,0.0251539291398805,0.00100999166666667,8.15011151508575e-05,0.386969725,0.0251544553093531,0.411513725,0.0254606256015313,0.00277584166666667,0.000192138021860444,0.00218121666666667,0.000177512864850692,0.00110535833333333,0.00015744383809085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.823812121933058,0.0392524446292866,0.418313689665417,0.0005548042533158
n_scaling_reference_signal,n_scaling_reference_signal,n,6000,Random sampling,5,0.0637418333333333,0.278620911324401,6000,0,6,0,16,0,36,0,4,0,32,0,1.6e-05,0,1.77777777777778e-06,0,78132.8,360.620576229366,471237.2,2247.28485065868,0.0130899222222222,6.24245791849634e-05,0,0,0,0,39.0664,0.180310288114683,63.4,1.51657508881031,78147.5875555556,0,13.0245979259259,0,39.0737937777778,0,0.0277083526369656,3.87895961444886e-18,0.8074,0.00620215016479502,0.00202102078441214,0.00119645292118701,0.00406385358121968,0.00153571260441658,0.00963391666666667,0.00108270508345673,0.0149564416666667,0.000619362294269275,0.0324842583333333,0.00191914172109819,0.000107216666666667,2.09905608746725e-05,0.196174708333333,0.0409683976846767,0.2287762,0.0422501079423177,0.00120868333333333,0.000105890448007205,0.228825266666667,0.0422577921875026,0.253356541666667,0.0427553036323196,NaN,NaN,NaN,NaN,NaN,NaN,0.00433250833333333,9.09838460555253e-05,71432.8,597.767680625174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.43274552733627,0.00483525676152133,1.27862433283616,0.00179408481019143
n_scaling_reference_signal,n_scaling_reference_signal,n,6000,CountSketch RP,5,0.0637418333333333,0.20185326622748,6000,0,6,0,16,0,36,0,4,0,32,0,1.6e-05,0,1.77777777777778e-06,0,78132.8,360.620576229366,471237.2,2247.28485065868,0.0130899222222222,6.24245791849634e-05,0,0,0,0,39.0664,0.180310288114683,63.4,1.51657508881031,78147.5875555556,0,13.0245979259259,0,39.0737937777778,0,0.0277083526369656,3.87895961444886e-18,0.805,0.00504424865014053,0.00280741671838203,0.000344750337304406,0.00505321207792438,0.000472460943542844,0.00963391666666667,0.00108270508345673,0.0149564416666667,0.000619362294269275,0.00976188333333333,0.00290044899682096,0.000115516666666667,2.42670436955601e-05,0.305892325,0.0697460290054059,0.315783016666667,0.0718165363811635,0.001164625,0.000125599579379382,0.315831058333333,0.0718192647991018,0.340360083333333,0.0723576468021927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00202479166666667,0.00145245460491551,0.00294056666666667,0.000783963670147483,0.00251779166666667,0.00030556789116514,0.00138249166666667,0.000683603388201895,36,0,0.820937636338301,0.0333335311979591,0.418473145359023,0.000415716214937144
n_scaling_reference_signal,n_scaling_reference_signal,n,9000,Non-random eigs,5,0.0811184916666667,1,9000,0,6,0,16,0,36,0,4,0,32,0,7.11111111111111e-06,0,7.90123456790123e-07,0,117015.6,222.424818759058,707578,1331.47211762019,0.00873553086419753,1.64379273780273e-05,0,0,0,0,39.0052,0.0741416062530185,65.2,2.16794833886788,117258.688,0,13.0287431111111,0,39.0862293333333,0,0.0277314900588717,0,0.123066666666667,0.00359492097133212,0.726451457082514,0.00737237865960485,0.682440862945401,0.00707628417834194,0.0122746666666667,0.000345600611958531,0.0203694333333333,0.0008884536018297,0.0146146333333333,0.000471305252434367,0.000148025,5.82705808301048e-05,0.0663486416666667,0.0064274462982058,0.0811184916666667,0.0065758351208653,0.00128566666666667,4.66141166177753e-05,0.08114805,0.0065736020634064,0.1137554,0.00637019565968804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4.71027737605132e-16,0.504296931398234,0.000233588670035209
n_scaling_reference_signal,n_scaling_reference_signal,n,9000,Gaussian RP,5,0.0811184916666667,0.142801704650762,9000,0,6,0,16,0,36,0,4,0,32,0,7.11111111111111e-06,0,7.90123456790123e-07,0,117015.6,222.424818759058,707578,1331.47211762019,0.00873553086419753,1.64379273780273e-05,0,0,0,0,39.0052,0.0741416062530185,65.2,2.16794833886788,117258.688,0,13.0287431111111,0,39.0862293333333,0,0.0277314900588717,0,0.8102,0.00637384702718271,0.00162435314366038,0.000530310362781099,0.0030391024754583,0.000723804597825575,0.0122746666666667,0.000345600611958531,0.0203694333333333,0.0008884536018297,0.0110237,0.000309762169913826,0.000138075,1.84461114541189e-05,0.556879725,0.0614793722897668,0.568049883333333,0.0614109842132025,0.00125045,3.34383553888512e-05,0.568085325,0.0614123711129081,0.6006856,0.0603121187203089,0.00471216666666667,0.00023950368241196,0.00304526666666667,0.000104564335093812,0.00162419166666667,3.4583629516804e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.751403642476174,0.0523058592105915,0.417326085564156,0.00046883621406066
