experiment,sweep,x_col,x_value,density_level,rep,seed,n,K,m,rho_n,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,method_wall_sec,algorithm_total_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
rho_density_signal_control,rho_density_signal_control,rho_n,4,NaN,1,2426050705,6000,6,3,4,14,6,8,1.55555555555556e-06,6.66666666666667e-07,24562,153110,0.00425305555555556,0.00529933333333333,0.00576783333333333,sparse,0,0,12.281,27,24874.2253333333,4.14570422222222,12.4371126666667,0.0277083526369656,Non-random eigs,non_random,0.82,0.000107929740131264,0.00134383535059751,0.000975875,0.338667166666667,0.349684791666667,eigs,0.023788,0.000107541666666667,0.314722083333333,0.338627541666667,1,0.615731890917689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rho_density_signal_control,rho_density_signal_control,rho_n,4,NaN,1,2426050705,6000,6,3,4,14,6,8,1.55555555555556e-06,6.66666666666667e-07,24562,153110,0.00425305555555556,0.00529933333333333,0.00576783333333333,sparse,0,0,12.281,27,24874.2253333333,4.14570422222222,12.4371126666667,0.0277083526369656,Gaussian RP,gaussian_random_projection,0.8225,-0.000140563918207083,0.000982389084941471,0.00119591666666667,0.348236083333333,0.359259583333333,,0.00492275,9.29583333333333e-05,0.343176708333333,0.348199416666667,0.732098240011418,0.526915408262645,0.000719666666666667,0.00121770833333333,0.00189645833333333,0.0004895,0.000558875,1.74166666666667e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rho_density_signal_control,rho_density_signal_control,rho_n,4,NaN,1,2426050705,6000,6,3,4,14,6,8,1.55555555555556e-06,6.66666666666667e-07,24562,153110,0.00425305555555556,0.00529933333333333,0.00576783333333333,sparse,0,0,12.281,27,24874.2253333333,4.14570422222222,12.4371126666667,0.0277083526369656,Random sampling,random_sampling,0.822666666666667,-1.69298194931191e-05,0.00154894173732209,0.00101520833333333,0.138446875,0.149456333333333,,0.015925375,9.37916666666667e-05,0.12237,0.138397875,1.52610508954155,1.45155886278324,NaN,NaN,NaN,NaN,NaN,NaN,0.00154733333333333,79555,23772,0.3,45791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rho_density_signal_control,rho_density_signal_control,rho_n,4,NaN,1,2426050705,6000,6,3,4,14,6,8,1.55555555555556e-06,6.66666666666667e-07,24562,153110,0.00425305555555556,0.00529933333333333,0.00576783333333333,sparse,0,0,12.281,27,24874.2253333333,4.14570422222222,12.4371126666667,0.0277083526369656,CountSketch RP,countsketch_random_projection,0.816666666666667,0.000382602064189935,0.00168551482040281,0.00101975,0.370981833333333,0.381989541666667,,0.00558754166666667,8.84583333333333e-05,0.365246375,0.370930416666667,0.785057603180534,0.52626207308837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000140583333333333,36,133,207,0,0.00138979166666667,0.000898625,0.00205083333333333,0.000488375,0.000561291666666667,1.88333333333333e-05
rho_density_signal_control,rho_density_signal_control,rho_n,4,NaN,2,2426050706,6000,6,3,4,14,6,8,1.55555555555556e-06,6.66666666666667e-07,25194,156872,0.00435755555555556,0.004405875,0.00530433333333333,sparse,0,0,12.597,33,24874.2253333333,4.14570422222222,12.4371126666667,0.0277083526369656,Non-random eigs,non_random,0.8165,8.85544216451462e-05,0.00127779872994037,0.000969083333333333,0.466059583333333,0.47572925,eigs,0.0245820833333333,0.0001345,0.441302458333333,0.466029541666667,1,0.611502716267837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rho_density_signal_control,rho_density_signal_control,rho_n,4,NaN,2,2426050706,6000,6,3,4,14,6,8,1.55555555555556e-06,6.66666666666667e-07,25194,156872,0.00435755555555556,0.004405875,0.00530433333333333,sparse,0,0,12.597,33,24874.2253333333,4.14570422222222,12.4371126666667,0.0277083526369656,Gaussian RP,gaussian_random_projection,0.8205,-0.00013704260178382,0.000973335220129752,0.000958791666666667,0.392149291666667,0.401818458333333,,0.004922,0.000151666666666667,0.387034583333333,0.392116833333333,0.733230505691812,0.5227361178276,0.000678958333333333,0.00123895833333333,0.00190295833333333,0.000497416666666667,0.000561958333333333,1.86666666666667e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rho_density_signal_control,rho_density_signal_control,rho_n,4,NaN,2,2426050706,6000,6,3,4,14,6,8,1.55555555555556e-06,6.66666666666667e-07,25194,156872,0.00435755555555556,0.004405875,0.00530433333333333,sparse,0,0,12.597,33,24874.2253333333,4.14570422222222,12.4371126666667,0.0277083526369656,Random sampling,random_sampling,0.820166666666667,-3.89219787593598e-06,0.00140659582341331,0.00100404166666667,0.177087125,0.186740291666667,,0.018320875,9.1875e-05,0.158617333333333,0.177039166666667,1.50832833558084,1.44514321570239,NaN,NaN,NaN,NaN,NaN,NaN,0.001551,81436,24263,0.3,46689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rho_density_signal_control,rho_density_signal_control,rho_n,4,NaN,2,2426050706,6000,6,3,4,14,6,8,1.55555555555556e-06,6.66666666666667e-07,25194,156872,0.00435755555555556,0.004405875,0.00530433333333333,sparse,0,0,12.597,33,24874.2253333333,4.14570422222222,12.4371126666667,0.0277083526369656,CountSketch RP,countsketch_random_projection,0.8195,-6.92509114479854e-05,0.00106547669457497,0.00105441666666667,0.362940541666667,0.372597708333333,,0.00546445833333333,9.08333333333333e-05,0.357332208333333,0.362896041666667,0.803997586201145,0.523732468518933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000137291666666667,36,140,208,0,0.00125195833333333,0.000881583333333333,0.00206408333333333,0.000498208333333333,0.000587291666666667,1.65e-05
rho_density_signal_control,rho_density_signal_control,rho_n,4,NaN,3,2426050707,6000,6,3,4,14,6,8,1.55555555555556e-06,6.66666666666667e-07,25218,156960,0.00436,0.00390283333333333,0.00519583333333333,sparse,0,0,12.609,28,24874.2253333333,4.14570422222222,12.4371126666667,0.0277083526369656,Non-random eigs,non_random,0.811833333333333,0.000402197845403707,0.00169065928968299,0.001024625,0.377397083333333,0.386461083333333,eigs,0.0242399166666667,9.95416666666667e-05,0.353022958333333,0.377370416666667,1,0.610884420328782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rho_density_signal_control,rho_density_signal_control,rho_n,4,NaN,3,2426050707,6000,6,3,4,14,6,8,1.55555555555556e-06,6.66666666666667e-07,25218,156960,0.00436,0.00390283333333333,0.00519583333333333,sparse,0,0,12.609,28,24874.2253333333,4.14570422222222,12.4371126666667,0.0277083526369656,Gaussian RP,gaussian_random_projection,0.819,0.000262175987383421,0.00155229586040225,0.00115541666666667,0.406766958333333,0.4158235,,0.00493808333333333,0.0001015,0.40168525,0.406732916666667,0.703297330055667,0.522805122370058,0.000688958333333333,0.00113679166666667,0.0020775,0.00049475,0.000505166666666667,1.65416666666667e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
