n,method,rep,seed,K,m,rho_n,rho_n_multiplier,rho_n_base_equivalent,density_regime,num_hyperedges_total,theta_nnz,theta_density,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
1000,CountSketch random projection,1,120260507,3,3,16.0,4.0,4.0,rho_n_x4,19793,110322,0.110322,0.0,1.0,1.0,0.8689450419999503,0.0737403750000567,0.11797787499995138,0.006581041999993431,0,0.0,59.379,88.0,20031.063552,20.031063552,60.093190656,0.11044488977955912,0.0005264999999781139,163,0,12,1,0.0016632499999786887,0.04496962500002155,0.023188499999946544,0.006614457999944534,0.0087469580000743,0.00013087499996800034,0.085904833000086,0.00019833299995752895,0.03186895800001821,0.999999906807816,0.6534748555167045,1.0606575410000687,0.000576,6.4e-05,sparse,3.2655939999999646,1.229381000000103,10.713252067565918,582.08984375,582.625,0.53515625
1000,CountSketch random projection,2,120260508,3,3,16.0,4.0,4.0,rho_n_x4,19839,110444,0.110444,0.0,1.0,1.0,0.9473648749999484,0.07392787499998121,0.11760395800001788,0.006078417000026093,0,0.0,59.517,90.0,20031.063552,20.031063552,60.093190656,0.11044488977955912,0.0005319579998968038,163,1,14,0,0.0016555419999804144,0.04461649999996098,0.022863250000000335,0.0065892500000472864,0.00956270900007894,8.649999995213875e-05,0.08595441700003903,0.00012916699995457748,0.03151570799991532,0.999999951608354,0.651601016147239,1.1388920419998385,0.000576,6.4e-05,sparse,3.611605999999938,1.302773208000076,10.734354972839355,582.625,568.921875,-13.703125
1000,CountSketch random projection,3,120260509,3,3,16.0,4.0,4.0,rho_n_x4,20057,111296,0.111296,0.0,1.0,1.0,0.8688699580000048,0.07736462499997288,0.11760629200000494,0.009033083999952396,0,0.0,60.171,93.0,20031.063552,20.031063552,60.093190656,0.11044488977955912,0.0007086250000156724,163,1,12,0,0.002119042000003901,0.04453729099998327,0.02270679100001871,0.006488583999953335,0.009660124999982145,7.379199996648822e-05,0.08636983299993517,0.00020083300000806048,0.031028542000058223,0.9999999219192129,0.65586569294831,1.063833790999979,0.000576,6.4e-05,sparse,3.767947999999933,1.2335180000000037,10.8319730758667,568.921875,568.90234375,-0.01953125
1000,CountSketch random projection,4,120260510,3,3,16.0,4.0,4.0,rho_n_x4,19817,110578,0.110578,0.0,1.0,1.0,0.903978291000044,0.0750079580000147,0.11733120799999597,0.006242874999998094,0,0.0,59.451,89.0,20031.063552,20.031063552,60.093190656,0.11044488977955912,0.0005587499999819556,163,0,15,1,0.0017177500000116197,0.04540741699997852,0.020169042000020454,0.006297124999946391,0.009584208999967814,0.00011533399992913473,0.08389579199990749,0.0001347910000504271,0.03329537499996604,0.9999999419563262,0.6501859694127716,1.0963122069999827,0.000576,6.4e-05,sparse,3.5603459999999814,1.2594312500000342,10.732211112976074,568.90234375,569.0390625,0.13671875
1000,CountSketch random projection,5,120260511,3,3,16.0,4.0,4.0,rho_n_x4,20044,111632,0.111632,0.0,1.0,1.0,0.8688286660000131,0.07626749999997173,0.11772383299989997,0.006263166999929126,0,0.0,60.132,88.0,20031.063552,20.031063552,60.093190656,0.11044488977955912,0.0006105830000251444,163,1,15,0,0.0018877500000371583,0.0449174169999651,0.02128499999992073,0.007739207999975406,0.009665499999982785,8.091699999113189e-05,0.08623908300000949,0.00013899999999011925,0.031340792000037254,0.9999999319150655,0.6553703474640209,1.0628150410000217,0.000576,6.4e-05,sparse,3.823722000000089,1.2319494170000098,10.839346885681152,569.0390625,569.14453125,0.10546875
1000,CountSketch random projection,6,120260512,3,3,16.0,4.0,4.0,rho_n_x4,20176,112242,0.112242,0.0,1.0,1.0,0.8851644999999735,0.07692345899999964,0.11865166699999463,0.006356041999993067,0,0.0,60.528,87.0,20031.063552,20.031063552,60.093190656,0.11044488977955912,0.0007407499999771971,163,1,13,0,0.0018181249999997817,0.04517866599996978,0.02341545900003439,0.0064555000000154905,0.010046834000036142,0.00010470900008385797,0.08780654199995297,0.00012437500004125468,0.030714915999965342,0.9999999498479999,0.6538489476148472,1.0807337919999327,0.000576,6.4e-05,sparse,3.69471099999987,1.252261874999931,10.90839672088623,569.14453125,569.171875,0.02734375
1000,CountSketch random projection,7,120260513,3,3,16.0,4.0,4.0,rho_n_x4,20097,111866,0.111866,0.0,1.0,1.0,0.8912592919999724,0.07576274999996713,0.11580208299994865,0.006496249999941028,0,0.0,60.291,87.0,20031.063552,20.031063552,60.093190656,0.11044488977955912,0.0005407920000379818,163,1,14,0,0.0016827910000074553,0.045253875000071275,0.021521874999962165,0.006527917000084926,0.008123624999939238,5.95000000203072e-05,0.08375691700007337,0.00012270800004898774,0.03191583399996034,0.9999999442392203,0.6580192489680219,1.0828175010000223,0.000576,6.4e-05,sparse,3.599778000000015,1.2549960000000056,10.868021965026855,569.171875,569.30859375,0.13671875
1000,CountSketch random projection,8,120260514,3,3,16.0,4.0,4.0,rho_n_x4,20026,111504,0.111504,0.0,1.0,1.0,0.8623444999999492,0.07566491700004008,0.11850420800010397,0.006340750000049411,0,0.0,60.078,85.0,20031.063552,20.031063552,60.093190656,0.11044488977955912,0.000519000000053893,163,1,14,0,0.0019074169999839796,0.0448260420000679,0.02158491700004106,0.007184374999951615,0.009625791999951616,9.3832999937149e-05,0.08579395799995382,0.00014191699995080853,0.032563332999984596,0.9999999206230817,0.6582758054249741,1.0565086249998785,0.000576,6.4e-05,sparse,3.693915000000061,1.2263957500000515,10.83301067352295,569.30859375,569.32421875,0.015625
1000,CountSketch random projection,9,120260515,3,3,16.0,4.0,4.0,rho_n_x4,19918,110658,0.110658,0.0,1.0,1.0,0.8773002920000863,0.07999266700005592,0.12456579100000909,0.008769042000039917,0,0.0,59.754,87.0,20031.063552,20.031063552,60.093190656,0.11044488977955912,0.0005913329999884809,163,1,12,0,0.0019498750000366272,0.0464871660000199,0.024843290999911005,0.006828499999983251,0.009646583000062492,8.183300008113292e-05,0.09048762500003704,0.00014841699999124103,0.033925082999985534,0.9999999344796808,0.661989296536415,1.081854084000156,0.000576,6.4e-05,sparse,3.7623909999999796,1.2552241250000407,10.761675834655762,569.32421875,554.33984375,-14.984375
1000,CountSketch random projection,10,120260516,3,3,16.0,4.0,4.0,rho_n_x4,20250,112684,0.112684,0.0,1.0,1.0,0.9000250420000384,0.0758949590000384,0.11457116700000824,0.006088374999990265,0,0.0,60.75,85.0,20031.063552,20.031063552,60.093190656,0.11044488977955912,0.0005409579999877678,163,1,14,0,0.00170379199994386,0.04516616700004761,0.021374000000037086,0.006434208000086983,0.007894957999951657,5.2708999987771676e-05,0.0832087500000398,0.00011033300006602076,0.031247542000073736,0.999999952351443,0.6517257918571309,1.0904866260002564,0.000576,6.4e-05,sparse,3.5780170000000453,1.2606144170000562,10.950118064880371,554.33984375,554.33984375,0.0
