n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,cs_draw_hash_sec_mean,cs_draw_hash_sec_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_small_eig_sec_mean,cs_small_eig_sec_std,cs_lift_sec_mean,cs_lift_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,cs_bucket_min_load_mean,cs_bucket_min_load_std,cs_bucket_max_load_mean,cs_bucket_max_load_std,cs_empty_buckets_mean,cs_empty_buckets_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
1000,CountSketch random projection,10,20001.7,155.52781101783754,111322.6,809.1554170175807,0.11132260000000001,0.0008091554170175751,60.005100000000006,0.4665834330535121,87.9,2.3781411975649234,60.093190656000004,0.0,0.1104448897795591,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.887408045799998,0.02540457780087592,0.07605470850000984,0.0018031253735813373,0.08594177500000341,0.0021308888299140486,0.0001449874000059026,3.072809844259231e-05,0.03194160829999646,0.001028586059397437,0.11803380819999347,0.002607696039311779,0.006824904399991283,0.0011071221098960043,1.0814911250000137,0.024305130766571346,3.6358027999999876,0.1576277295464179,1.2506545042000312,0.022655618082207375,10.817236137390136,0.07993061831121596,-2.775,6.106800872793921,0.000586924899994301,7.843862342132563e-05,0.0018105333999983487,0.00015349102253585395,0.045136016600008586,0.000549323578271412,0.022295212499989246,0.0013552373974001482,0.006715912499998922,0.0004365494453732779,0.009255729300002713,0.0007334355939554184,8.800019999171127e-05,2.4149190161203064e-05,163.0,0.0,0.8,0.4216370213557839,13.5,1.1785113019775795,0.2,0.4216370213557839,0.9999999355748201,1.53123484945949e-08,0.6550356971890435,0.0036311962858320357
2000,CountSketch random projection,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.0003309649234519518,60.3741,0.35013797280500586,89.7,2.9832867780352585,60.26863103999999,0.0,0.11077788894447224,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.780217383399986,0.028335844240073092,0.15271836270001132,0.0040405249077774775,0.1678758791999826,0.007693629096511742,0.00021693749999940337,6.017595951471831e-05,0.0414043085000003,0.0025645393783886284,0.20950269169995864,0.00851260332023455,0.009389779199989335,0.0004422942466674131,2.1424328712999796,0.033429275660290504,5.457401300000015,0.15572346938803486,2.493511516600029,0.04146642334105511,22.694508171081544,0.1273225248851173,0.08515625,0.09448496628652978,0.000671604199999365,0.00021576394071825424,0.0034601457999997366,0.0002729901629577832,0.09931119999998828,0.0072069060721961205,0.04065740010000809,0.001821145474529487,0.014012537500002508,0.0004056055716983668,0.00952313329999015,0.0011679037597451534,0.00015225820000068778,7.06543690376477e-05,163.0,0.0,3.7,1.1595018087284057,22.8,1.2292725943057181,0.0,0.0,0.9999997861752956,3.428991004206553e-08,0.6557156849956539,0.0018737242863806508
3000,CountSketch random projection,10,60444.7,239.7860388855953,355283.6,1367.7682714716145,0.03947595555555556,0.00015197425238573723,60.4447,0.2397860388855951,88.7,2.7908580918579324,60.32717511111112,0.0,0.11088886422225244,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.673537058099998,0.05342970748541532,0.23107248330002222,0.007529604821579549,0.2430571167000039,0.0127165008798365,0.00022499169999719016,6.061356075177567e-05,0.04858143330002349,0.0024355058047595647,0.29186904579997874,0.013266094045751754,0.012447366499998225,0.0012682468433532809,3.196473083100045,0.06319162780232795,6.872736200000008,0.11949648146546671,3.7454855287999864,0.07602629973895429,34.56109104156494,0.13358217122299604,1.141015625,2.550878256354758,0.0006162208000091596,3.235791191404732e-05,0.005263420799974483,0.00032456209125631276,0.1491497213000116,0.005788328925087989,0.056598050200022954,0.00609718355596533,0.02093244190002679,0.0003551965642740764,0.010227812499988432,0.004606770897896202,0.00020366660000945558,7.043760111159049e-05,163.0,0.0,8.1,1.5238839267549946,30.7,2.71006354989038,0.0,0.0,0.9999996138422835,4.469990897057652e-08,0.6563318758455974,0.0016441487668046142
4000,CountSketch random projection,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.11094447223611806,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.6001426249999895,0.10926052637878744,0.3148725581999997,0.014930002016818,0.33185988730000415,0.022760649994888964,0.0002535583000053521,7.452092720304015e-05,0.05226645850000296,0.0028990386108575634,0.3843850667000197,0.024532055493514292,0.016622458300014388,0.0032922020870870235,4.2993950873000015,0.12106679341239951,8.759793899999954,0.1761757978891744,5.026867404199993,0.13703414216254092,46.3875509262085,0.1400151187631452,0.65625,1.2386939868138338,0.0006579038999802833,2.482558044101918e-05,0.006899746100020821,0.00020890803888855768,0.20539678330000016,0.00927971298131361,0.07886404600001243,0.015792211154019423,0.030613987500009897,0.005491317708013632,0.009149387299999034,0.0014881203743245196,0.00021032490001289262,4.858796314443086e-05,163.0,0.0,13.5,0.9718253158075497,40.4,2.913569784454954,0.0,0.0,0.9999994735456623,4.1847585009879424e-08,0.6567951960997715,0.0017653974385026
5000,CountSketch random projection,10,100718.2,376.32072609529433,598915.2,2180.2489562229157,0.023956607999999997,8.720995824891588e-05,60.43092,0.2257924356571757,91.0,2.1081851067789197,60.37407430656001,0.0,0.11097779555911183,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.47274917919998,0.11748956728468128,0.3898265584999649,0.01379509182005985,0.4158774083000253,0.03008227779611755,0.000257396000006338,3.530226304244723e-05,0.0551948667000147,0.003763499691898476,0.47133475009998166,0.030296672308609756,0.018494016700049087,0.0014830375641036629,5.333905408699991,0.12886459951416085,9.950113100000044,0.4721890453774978,6.257467487599968,0.1592871003199522,58.24904651641846,0.21207356721133863,-5.261328125,10.758649546898111,0.0007352418000095895,7.83907911194881e-05,0.008589620799978093,0.0002520890000672217,0.2630051207000065,0.013519497333573277,0.09252866650001579,0.005212147963514387,0.04115469200004327,0.011935911708052712,0.009499495699992621,0.0014252235991090375,0.0002890332999982093,9.587262225384427e-05,163.0,0.0,16.1,1.5951314818673863,48.4,5.758086101783781,0.0,0.0,0.9999992981542505,9.331280604679429e-08,0.6578006698111432,0.001696823231920953
6000,CountSketch random projection,10,120756.4,300.67671823553184,720154.8,1858.5648465654601,0.0200043,5.1626801293485994e-05,60.37820000000001,0.15033835911776539,91.8,3.259175083088084,60.38579377777778,0.0,0.1109999938302488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.369955883199941,0.038367864404690685,0.48726572089999537,0.02299538373200892,0.502667066699928,0.039250092986623214,0.0003320123000321473,9.084397890117225e-05,0.05873049589999937,0.010672829157703798,0.5617348830999844,0.04513072018143963,0.021608862400012186,0.0022458536068981853,6.418951178999896,0.07566875457744511,11.743327999999973,0.11972850142626529,7.553870328999983,0.11799527654011738,70.03517932891846,0.17834647973505016,2.889453125,3.4092689628984068,0.0007224419000067428,3.958846386241268e-05,0.010408762300039598,0.00022499342752730378,0.3276493708000089,0.0298136355830162,0.10813533319999351,0.006155153907636765,0.04584068330002537,0.005336886701901211,0.009489154100015185,0.0010410051749405486,0.0003436666000425248,8.772928765039698e-05,163.0,0.0,20.5,2.223610677354389,53.8,2.6161889160464784,0.0,0.0,0.9999990718213878,1.0121913876036647e-07,0.6569195943150287,0.0006944530087857669
7000,CountSketch random projection,10,140814.1,349.6494911574443,841515.6,2074.4011826709525,0.01717378775510204,4.233471801369283e-05,60.3489,0.1498497819246265,93.7,2.8693785622209784,60.39417396692712,0.0,0.11101588208876005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.217460700099991,0.06986762636600402,0.5819408043999829,0.038164902973927065,0.578684995799972,0.018456120548702902,0.00034884990000136893,7.913652251118304e-05,0.05613721660001829,0.0022177680756699414,0.6351763668000103,0.019433696957428734,0.02370247480002945,0.0011901227568772315,7.434572566799966,0.11052356786347298,13.296696099999963,0.09308598861916514,8.751626112600002,0.10929092696737644,81.8338059425354,0.19840454636238616,2.5671875,5.153931967907387,0.0007790749999912805,4.51167894363266e-05,0.012217674999965311,0.00019138043329428712,0.3811511293999956,0.011304940218015813,0.12298198750002029,0.0055558474992331115,0.051982883399955424,0.0028779801943595923,0.009120700000016769,0.0011725668026340015,0.0003766457999972772,0.00011050530578740507,163.0,0.0,26.7,2.0027758514399734,61.3,2.7507574714370344,0.0,0.0,0.9999989477441014,1.2395930163351618e-07,0.6567158238043536,0.0009946820852651441
8000,CountSketch random projection,10,160962.6,388.75933715117696,963494.2,2238.265489167907,0.015054596875000001,3.4972898268248477e-05,60.360974999999996,0.14578475143169117,91.6,3.272783388968955,60.40045611000001,0.0,0.11102778472309038,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.203700570799993,0.10493093745168124,0.6700268708000067,0.01254870552539042,0.6991043584000408,0.05288727817657456,0.00034331669999119183,4.0057564101244306e-05,0.05798074159999942,0.0022320910364082578,0.7574336709999898,0.05330912999211734,0.02766908330002025,0.0024021984021571833,8.63115585830003,0.1558172225249483,14.877816700000063,0.06375516951244735,10.169151687499971,0.1732880025867602,93.68990116119384,0.22208944396983538,2.68671875,4.521309888716878,0.0008143126000504708,6.038515695467277e-05,0.014164391699978296,0.00017446415355473416,0.4729168208000146,0.04882368761230402,0.1415263709000328,0.004099201713659815,0.060321195700021236,0.0017114946928933413,0.008859058400003051,0.0006769824848623041,0.0004230085000017425,0.00011335985080905905,163.0,0.0,31.8,1.3165611772087666,67.8,3.2249030993194205,0.0,0.0,0.9999987566082493,1.0966152426593933e-07,0.6570909042374262,0.0012431361237881505
9000,CountSketch random projection,10,181089.5,424.282989943689,1085050.6,2571.998453429639,0.013395686419753087,3.175306732629162e-05,60.363166666666665,0.14142766331456205,91.9,1.2866839377079204,60.40534044444445,0.0,0.11103703429446768,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.09636862100001,0.11560183277499354,0.7541232414000205,0.024603300443901983,0.8141668749999553,0.06548243483425757,0.00042263739996997176,9.32487161386463e-05,0.05917549570003757,0.001928580419148828,0.8737708709000345,0.06640037482734423,0.0296234081999728,0.0021487326685048847,9.724256870499994,0.18160019429771443,16.455418700000063,0.12106789607137805,11.48163193749997,0.2190112072528292,105.51716861724853,0.24680096346607458,1.665625,12.165505577668627,0.0008283958000220082,3.379124433800586e-05,0.01650870399998894,0.0010676411818780524,0.5601891041000272,0.05991923648371043,0.15706040000002303,0.005182173652585454,0.06979600440001832,0.003928584479206627,0.009242454299987912,0.0009753524567560751,0.00045052089999444436,0.00014084224385229162,163.0,0.0,37.2,2.043961295567454,76.3,3.9735234853828283,0.0,0.0,0.9999986921303176,1.733087307839555e-07,0.6570736836559731,0.0009561076437640416
10000,CountSketch random projection,10,201358.1,504.89018608010423,1207722.2,3018.0709733205663,0.012077222,3.0180709733205243e-05,60.40743,0.15146705582402983,91.1,1.28668393770792,60.40925191065601,0.0,0.11104444888977796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.941859241800012,0.08471867030550327,0.8379409040000155,0.03354388624399488,0.948374066700012,0.10592910487340408,0.00041856689999804076,7.12022214572556e-05,0.0616278374000558,0.002110363769814905,1.0104256042000088,0.10688018898213515,0.03256379590000051,0.0017867008966918534,10.790220616800093,0.15785462532929298,17.9253283,0.21115567246312844,12.72376034600004,0.17514987288305375,117.44041147232056,0.29227453580039203,0.304296875,5.303496330756663,0.0008582748999742762,5.1962633666510114e-05,0.01799915419996978,0.0006603936285548006,0.6387847289999854,0.048310399493410365,0.1906821209999862,0.03133611010304799,0.09054473749995395,0.02977672612054293,0.008919529200056786,0.0011591425471594813,0.0005049209000389965,0.00010241164092876589,163.0,0.0,41.4,2.2705848487901865,83.5,3.689323936863109,0.0,0.0,0.999998432711887,1.4442937941119312e-07,0.6570147637187763,0.0009047260186910525
