rho_n,method,rep,seed,n,K,m,rho_n_multiplier,rho_n_base_equivalent,density_regime,num_hyperedges_total,theta_nnz,theta_density,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
1.0,CountSketch random projection,1,120260507,5000,3,3,4.0,0.25,rho_n_x4,6265,42417,0.00169668,0.617,0.008961511919720859,0.009023157474679933,0.2757189169999492,0.02755591599998297,0.49717275000011796,0.02196074999983466,143,0.0286,3.759,12.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0006221670000741142,163,18,42,0,0.0009017920001497259,0.026286000000027343,0.09308104199999434,0.00837150000006659,0.009909082999911334,0.00046408299999711744,0.1397188340001776,0.00032483300014973793,0.3571230000000014,0.9963002651017849,0.8727867778294174,0.8004415000002609,1.44e-06,1.6e-07,sparse,4.731796000000031,0.8771105409998654,21.79247283935547,622.98828125,623.21875,0.23046875
1.0,CountSketch random projection,2,120260508,5000,3,3,4.0,0.25,rho_n_x4,6278,42495,0.0016998,0.646,0.0008542361826334218,0.0012789546602083408,0.29079249999995227,0.02634266699988075,0.33728708299986465,0.019360334000111834,127,0.0254,3.7668,12.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.000575042000036774,163,14,45,0,0.0007838330000140559,0.022998583999878974,0.09310466700003417,0.0070633329999054695,0.008992290999913166,0.00025300000015704427,0.13385249999987536,0.0003956670000206941,0.2030328749999626,0.9963224561186947,0.833423416304106,0.6544162089996917,1.44e-06,1.6e-07,sparse,4.889036999999917,0.7236831669999901,21.79718017578125,622.21875,622.34375,0.125
1.0,CountSketch random projection,3,120260509,5000,3,3,4.0,0.25,rho_n_x4,6331,42830,0.0017132,0.6462,0.0016259270736377859,0.0019389700406340026,0.2839993750001213,0.026844166000046243,0.45309766600007606,0.01836420800009364,116,0.0232,3.7986,13.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.000636041000007026,163,19,46,0,0.0008109579998745176,0.02377237500013507,0.12070237500006442,0.007496958999809067,0.010343500000089989,0.00021508400004677242,0.16404354200017224,0.00036537500000122236,0.2886828749999495,0.996193979279815,0.8466189518266934,0.7639353330002905,1.44e-06,1.6e-07,sparse,6.160096999999951,0.8335400000000845,21.815994262695312,622.34375,622.4453125,0.1015625
1.0,CountSketch random projection,4,120260510,5000,3,3,4.0,0.25,rho_n_x4,6334,42842,0.00171368,0.593,0.016592548226696927,0.014500301582405112,0.27269591699996454,0.02855550000003859,0.3530677079997986,0.017697292000093512,116,0.0232,3.8004,14.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.000609583999903407,163,18,45,0,0.0007877920002101746,0.02281020800000988,0.09564112500015653,0.007464250000111861,0.009496499999841035,0.00022291699997367687,0.13708145800001148,0.00024733299983381585,0.21573416599994744,0.996221046963284,0.8279533452657686,0.6543143739997959,1.44e-06,1.6e-07,sparse,4.835426000000098,0.725733708000007,21.815811157226562,622.4453125,622.54296875,0.09765625
1.0,CountSketch random projection,5,120260511,5000,3,3,4.0,0.25,rho_n_x4,6272,42494,0.00169976,0.6502,0.0010051232832802687,0.0012546179876256477,0.27642358299999614,0.02661554199994498,0.3775751250000212,0.03565400000002228,112,0.0224,3.7632,11.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0005643749998398562,163,18,46,0,0.0008572499998535932,0.02151995799999895,0.09556737499997325,0.00761333399987052,0.008301790999894365,0.0003301660001397977,0.1348235420000492,0.0002904579998812551,0.24245616700000028,0.9959460446758366,0.8690956366923059,0.6806092919998719,1.44e-06,1.6e-07,sparse,5.487070000000131,0.7680818329999965,21.79361343383789,622.54296875,622.54296875,0.0
1.0,CountSketch random projection,6,120260512,5000,3,3,4.0,0.25,rho_n_x4,6354,42984,0.00171936,0.5154,0.06417486541387443,0.05790687778087034,0.28507658399985303,0.026656332999891674,0.3194415419998222,0.01783416600005694,106,0.0212,3.8124,15.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0005977079999865964,163,17,47,0,0.0007929159999093827,0.022886458000130006,0.09081316700007847,0.006706624999878841,0.009311708000041108,0.00021337499993023812,0.13136841699997603,0.00023779100001775078,0.187831167000013,0.9959959109485405,0.8289512724538631,0.6311702919997515,1.44e-06,1.6e-07,sparse,4.964950000000044,0.7053159160000178,21.822093963623047,622.54296875,622.625,0.08203125
1.0,CountSketch random projection,7,120260513,5000,3,3,4.0,0.25,rho_n_x4,6274,42484,0.00169936,0.6288,0.004707202453762508,0.005484684424821223,0.267946375000065,0.02674137500002871,0.3429502500000581,0.02143924999995761,118,0.0236,3.7644,16.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0005908339999223244,163,15,47,0,0.000777624999955151,0.021497624999938125,0.09206162500004211,0.009003458000051978,0.010870874999909574,0.0002496669999345613,0.1351038329999028,0.00025683399985609867,0.20758491700007653,0.9966388432672714,0.8509600571657039,0.6376333339999292,1.44e-06,1.6e-07,sparse,4.81552499999998,0.7170410000001084,21.795841217041016,622.625,622.72265625,0.09765625
1.0,CountSketch random projection,8,120260514,5000,3,3,4.0,0.25,rho_n_x4,6308,42692,0.00170768,0.6478,0.0009640047789773192,0.0015519114965293467,0.29142191699997966,0.026331083000059152,0.30483587499998066,0.018113416999995025,106,0.0212,3.7848,14.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0005568750000293221,163,18,46,0,0.0007743329999811976,0.02241233299992018,0.09098704200005159,0.006640416999971421,0.008759333000170955,0.0003026249999038555,0.13048041599995486,0.00026633300012690597,0.17408279200003562,0.9962318628166947,0.8758397395527149,0.6225825410001562,1.44e-06,1.6e-07,sparse,4.730243999999857,0.6917395840000609,21.805927276611328,622.72265625,622.859375,0.13671875
1.0,CountSketch random projection,9,120260515,5000,3,3,4.0,0.25,rho_n_x4,6478,43729,0.00174916,0.6224,0.00585023096540645,0.006310647212628193,0.30301108399999066,0.028364709000015864,0.35880441699987387,0.01775229099985154,105,0.021,3.8868,13.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0005719159998989198,163,16,43,0,0.0007673329998851841,0.023608499999909327,0.09244270799990773,0.0064359579998836125,0.00850070800015601,0.0003480420000414597,0.1327167089998511,0.00023337500010711665,0.2258455840001261,0.9965494336014225,0.8334623574962257,0.6901714610000909,1.44e-06,1.6e-07,sparse,5.6157969999999295,0.7614804580000509,21.866878509521484,622.859375,622.94140625,0.08203125
1.0,CountSketch random projection,10,120260516,5000,3,3,4.0,0.25,rho_n_x4,6304,42664,0.00170656,0.6342,0.0027889507469268365,0.003018184090027295,0.2831663340000432,0.026543916000036916,0.38351187500006745,0.02133133400002407,112,0.0224,3.7824,17.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0005681669999830774,163,17,45,0,0.0007734169998911966,0.021828292000009242,0.09304362500006391,0.006604749999951309,0.009831874999918,0.00021445800007313665,0.1329164999999648,0.0002523749999454594,0.25033808300008786,0.9961581512115544,0.8784097591428088,0.6932172080000782,1.44e-06,1.6e-07,sparse,5.794125000000349,0.7692135830000097,21.805068969726562,622.94140625,622.94140625,0.0
2.0,CountSketch random projection,1,220260507,5000,3,3,4.0,0.5,rho_n_x4,12385,79147,0.00316588,0.1414,0.6206335657434244,0.54060198597666,0.5597064999999475,0.048414041999876645,0.23601641699997344,0.021178041999974084,1,0.0002,7.431,19.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0008100410000224656,163,16,42,0,0.001065749999952459,0.043543624999983876,0.08940179100000023,0.008166083000105573,0.009213541000008263,0.0002123330000358692,0.15247891700005312,0.0003568339998309966,0.08317479099991942,0.9997145535548755,0.7317403955414159,0.8441310839996277,2.88e-06,3.2e-07,sparse,4.868703000000096,0.9689965830000347,23.942535400390625,622.94140625,622.9453125,0.00390625
