n,rho_n,rep,seed,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,zhou_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
10000,0.25,1,250021010428,3,3,3184,0.659,0.0002438341461289669,0.0005629817358270715,0.10282183298841119,0.013231500051915646,0.4603161249542609,0.03750979190226644,3857,0.3857,0.9552,7.0,25247,0.06973412493243814,0.00018258299678564072,0.3903841250576079,0.5763541660271585,9e-08,1e-08,sparse,3.051751,0.6257751249941066,5.528504371643066,249.78125,264.53125,14.75
10000,0.25,2,250021010429,3,3,3069,0.6617,0.0001034193099016856,0.00040139986531820043,0.09724312496837229,0.009561250102706254,0.30439724994357675,0.038513916078954935,3999,0.3999,0.9207,6.0,24413,0.0759716669563204,0.00017929193563759327,0.2282408750616014,0.41119620902463794,9e-08,1e-08,sparse,3.1907440000000005,0.4597636250546202,5.467440605163574,264.546875,267.203125,2.65625
10000,0.25,3,250021010430,3,3,3147,0.6598,7.81837717993962e-05,0.0003356550774844661,0.12119000009261072,0.009945583995431662,0.25543791602831334,0.04776395799126476,3903,0.3903,0.9441,6.0,24977,0.0803377500269562,0.0006197080947458744,0.17447554203681648,0.38656858424656093,9e-08,1e-08,sparse,2.3752890000000004,0.44699012499768287,5.499024391174316,267.203125,269.921875,2.71875
10000,0.25,4,250021010431,3,3,3117,0.6626,-4.367870032186454e-05,9.871726127294925e-05,0.12003995897248387,0.010322583955712616,0.17928104207385331,0.043822916923090816,3976,0.3976,0.9351,6.0,24726,0.03840362501796335,0.00017312495037913322,0.14070024993270636,0.30963954282924533,9e-08,1e-08,sparse,2.3955860000000015,0.3655825409805402,5.48624324798584,269.921875,270.296875,0.375
10000,0.25,5,250021010432,3,3,3203,0.6571,0.0002339068116921584,0.0005225656341032823,0.12288616702426225,0.010317209060303867,0.2017174999928102,0.04247204097919166,3876,0.3876,0.9609,7.0,25340,0.06978387502022088,0.00016779103316366673,0.13176070910412818,0.33491575124207884,9e-08,1e-08,sparse,2.1070969999999996,0.38856391597073525,5.519536972045898,270.296875,273.671875,3.375
10000,0.25,6,250021010433,3,3,3156,0.6549,0.00023908902286366653,0.0005701538308050878,0.12228258291725069,0.011036458075977862,0.22085037489887327,0.04370495805051178,3846,0.3846,0.9468,6.0,25090,0.07359004090540111,0.0001676660031080246,0.14708904107101262,0.3541657889727503,9e-08,1e-08,sparse,2.3552370000000025,0.40843779197894037,5.501914978027344,273.671875,273.984375,0.3125
10000,0.25,7,250021010434,3,3,3197,0.6634,-0.00013258435071328165,3.698150900601629e-05,0.10162049997597933,0.009266791981644928,0.24221766600385308,0.03414050000719726,3832,0.3832,0.9591,7.0,25350,0.06882370903622359,0.0001627919264137745,0.1732278330018744,0.353101625922136,9e-08,1e-08,sparse,2.7721770000000028,0.3972570840269327,5.518131256103516,273.984375,277.90625,3.921875
10000,0.25,8,250021010435,3,3,3085,0.6566,0.00015440526461964785,0.00048661332540803857,0.09853224991820753,0.009278833051212132,0.1433575830888003,0.041422874899581075,4004,0.4004,0.9255,6.0,24506,0.06475587491877377,0.00017450004816055298,0.07842391706071794,0.2511653749970719,9e-08,1e-08,sparse,2.0017229999999984,0.30425354198087007,5.474114418029785,277.90625,281.078125,3.171875
10000,0.25,9,250021010436,3,3,3236,0.6569,0.00021570045649292737,0.0004268131106013055,0.13521366694476455,0.010988124995492399,0.21796679100953043,0.03796737501397729,3829,0.3829,0.9708,7.0,25579,0.03898370801471174,0.00021920795552432537,0.17875916592311114,0.36416387383360416,9e-08,1e-08,sparse,2.872012999999999,0.4185911249369383,5.531717300415039,281.078125,281.125,0.046875
10000,0.25,10,250021010437,3,3,3210,0.6513,0.0013748441990230659,0.002443506551137704,0.09886612498667091,0.009475499973632395,0.23481966694816947,0.030821415944956243,3837,0.3837,0.963,7.0,25421,0.08298120903782547,0.00015029206406325102,0.15168608305975795,0.34315920912194997,9e-08,1e-08,sparse,2.715537000000001,0.383858458022587,5.522613525390625,281.125,281.171875,0.046875
