n,rep,seed,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_laplacian_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,hypergraph_degree_mean,hypergraph_degree_max,zhou_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,rho_n,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rho_label,rho_schedule_value
1000,1,1020263427,3,3,1197,0.653,1.3872977393213116e-05,0.0018260059612086404,0.029789958032779396,0.005299624986946583,0.27694354206323624,0.009657833958044648,38,3.591,12.0,8102,0.002962165977805853,4.8708985559642315e-05,0.2739270000020042,0.3120274579850957,1.0,3.6e-05,4e-06,sparse,1.9605730000000001,0.3240860829828307,0.9933605194091797,222.828125,226.0625,3.234375,rho_1,1.0
1000,2,1020263428,3,3,1288,0.501,0.07884250080445844,0.07362922872721298,0.06026454095263034,0.006166541948914528,0.049306832952424884,0.004211042076349258,22,3.864,11.0,8662,0.0036327920388430357,3.4958007745444775e-05,0.045635958085767925,0.11573479103390127,1.0,3.6e-05,4e-06,sparse,1.0071629999999994,0.12285354197956622,0.8981971740722656,226.0625,225.484375,-0.578125,rho_1,1.0
1000,3,1020263429,3,3,1243,0.547,0.08909011616455947,0.08168698204176915,0.04897941695526242,0.008158750017173588,0.053798333974555135,0.004182916018180549,21,3.729,11.0,8387,0.0025275839725509286,3.583298530429602e-05,0.051232292084023356,0.11093387601431459,1.0,3.6e-05,4e-06,sparse,1.0146179999999996,0.11800641589798033,0.8850688934326172,225.484375,226.078125,0.59375,rho_1,1.0
1000,4,1020263430,3,3,1305,0.522,0.08500559979544929,0.07859157880381161,0.047710707993246615,0.006496957968920469,0.05634095903951675,0.0043629169231280684,23,3.915,12.0,8771,0.003800541046075523,3.424996975809336e-05,0.05250274995341897,0.11054520693141967,1.0,3.6e-05,4e-06,sparse,1.1214589999999998,0.11942629190161824,0.9060468673706055,226.078125,226.546875,0.46875,rho_1,1.0
1000,5,1020263431,3,3,1246,0.634,0.0026479261460421516,0.02356429933357685,0.04160654195584357,0.008792457985691726,0.04290100000798702,0.004094959003850818,17,3.738,13.0,8415,0.003885959042236209,5.258305463939905e-05,0.03895941597875208,0.09329695801716298,1.0,3.6e-05,4e-06,sparse,0.930828,0.1005792081123218,0.8848438262939453,226.546875,227.25,0.703125,rho_1,1.0
2000,1,2020266427,3,3,2460,0.5025,0.10329778564385375,0.0909268209828237,0.07656520791351795,0.011832832940854132,0.20535266702063382,0.006512666936032474,49,3.69,11.0,16681,0.0059148750733584166,5.595793481916189e-05,0.19937883398961276,0.2937477078521624,1.0,9e-06,1e-06,sparse,2.719939,0.30617479200009257,1.7724189758300781,227.25,229.109375,1.859375,rho_1,1.0
2000,2,2020266428,3,3,2538,0.5635,0.0711301905419137,0.07314153084761743,0.07585237501189113,0.006505292025394738,0.1335319170029834,0.0061304590199142694,45,3.807,12.0,17141,0.0049743750132620335,3.691599704325199e-05,0.1285179170081392,0.21588687505573034,1.0,9e-06,1e-06,sparse,2.1153139999999997,0.22843779192771763,1.8004608154296875,229.109375,229.890625,0.78125,rho_1,1.0
2000,3,2020266429,3,3,2488,0.6145,0.012023257860970886,0.014053390998931657,0.09690570796374232,0.009731875034049153,0.1576768330996856,0.006079917075112462,41,3.732,12.0,16851,0.00356887502130121,4.1334074921905994e-05,0.15406366693787277,0.26431145903188735,1.0,9e-06,1e-06,sparse,2.5589569999999995,0.2785207920242101,1.7824363708496094,229.890625,230.359375,0.46875,rho_1,1.0
2000,4,2020266430,3,3,2553,0.417,0.16715936343427729,0.1514628373976116,0.07658445788547397,0.006373542011715472,0.10733775002881885,0.009096791967749596,40,3.8295,12.0,17238,0.005025250022299588,3.654195461422205e-05,0.10227316699456424,0.19029295886866748,1.0,9e-06,1e-06,sparse,1.8524460000000005,0.21005879098083824,1.8059825897216797,230.359375,230.703125,0.34375,rho_1,1.0
2000,5,2020266431,3,3,2521,0.6,0.023812101758442367,0.02883163480637034,0.09086162503808737,0.006340917083434761,0.1538197920890525,0.0072648749919608235,33,3.7815,11.0,17045,0.005059374962002039,8.179200813174248e-05,0.14867475000210106,0.251018459093757,1.0,9e-06,1e-06,sparse,2.442640000000001,0.2667833330342546,1.7945823669433594,230.703125,230.8125,0.109375,rho_1,1.0
