n,method,rep,seed,K,m,rho_n,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
1000,Gaussian random projection,1,120260427,3,3,4.0,4983,0.014,0.9583743370261,0.9268680403653211,0.13058258399541955,0.011359374999301508,0.2141690410062438,0.013315666990820318,0,0.0,14.949,29.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0008394580072490498,0.007774459008942358,0.009491290998994373,0.0031700419931439683,0.002575500009697862,eigsh,9.174998558592051e-05,0.024023666002904065,5.820899968966842e-05,0.19008270800986793,0.9999994365196199,0.6891399988509406,0.3561065420071827,0.000144,1.6e-05,sparse,1.8496970000000004,0.4115874159906525,7.178723335266113,222.359375,241.46875,19.109375
1000,Gaussian random projection,2,120260428,3,3,4.0,5131,0.013,0.9613396406983581,0.9300768632238009,0.15492062500561588,0.011426875003962778,0.1743135419965256,0.008851833001244813,0,0.0,15.393,34.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0007132079917937517,0.008203500008676201,0.013303375002578832,0.0018588750099297613,0.002407000007224269,eigsh,0.00021962501341477036,0.02685304199985694,0.0001086249976651743,0.14734633300395217,0.9999990531280093,0.6901462361946058,0.34065550001105294,0.000144,1.6e-05,sparse,3.206373,0.4201792079984443,7.218592643737793,241.46875,249.796875,8.328125
1000,Gaussian random projection,3,120260429,3,3,4.0,4948,0.016,0.9525426093270085,0.9175844282051776,0.13162474999262486,0.010851041995920241,0.13598737500433344,0.004177249997155741,0,0.0,14.844,29.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0006842500006314367,0.00752070800808724,0.011780707995058037,0.002343959000427276,0.003107124997768551,eigsh,0.0002486669982317835,0.02584237499104347,5.5083000916056335e-05,0.11008629099524114,0.9999993400841228,0.6862939776883507,0.27845954097574577,0.000144,1.6e-05,sparse,2.298335,0.32829295899136923,7.155117034912109,249.796875,255.5,5.703125
1000,Gaussian random projection,4,120260430,3,3,4.0,5033,0.027,0.9205244483408043,0.8710590099374591,0.17899558300268836,0.012004125004750676,0.2820012910087826,0.008904584014089778,0,0.0,15.099,28.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0006303330010268837,0.008370209005079232,0.16691416699904948,0.010399541992228478,0.002554791994043626,eigsh,0.00024533299438189715,0.18921654199948534,0.00010366599599365145,0.09267429199826438,0.9999993719360623,0.6934356346990054,0.4729942080011824,0.000144,1.6e-05,sparse,3.5949290000000005,0.5369639999989886,7.187874794006348,255.5,264.5625,9.0625
1000,Gaussian random projection,5,120260431,3,3,4.0,5039,0.015,0.9555605491155458,0.9258369692693456,0.1682523749914253,0.011421292001614347,0.1440470829984406,0.007087249992764555,0,0.0,15.117,29.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0006394170050043613,0.0079659159964649,0.024683291994733736,0.0014288750098785385,0.0014349580014823005,eigsh,9.008300548885018e-05,0.03648887500457931,5.51249977434054e-05,0.10749824999948032,0.9999993023010258,0.6857738690909219,0.3237159169948427,0.000144,1.6e-05,sparse,2.643432999999998,0.38333370799955446,7.189640998840332,264.5625,268.484375,3.921875
1000,Gaussian random projection,6,120260432,3,3,4.0,4864,0.012,0.9642536559849886,0.9362460723358401,0.1522452909994172,0.01114583300659433,0.129415584000526,0.005070625004009344,0,0.0,14.592,25.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0006798750109737739,0.0076733750029234216,0.0178557499893941,0.001363084011245519,0.002688333988771774,eigsh,0.00010099999781232327,0.0304232500056969,4.854099825024605e-05,0.09893854100664612,0.9999992719980527,0.6935645023289302,0.2928014560166048,0.000144,1.6e-05,sparse,2.5274430000000017,0.3429311670042807,7.133580207824707,268.484375,271.453125,2.96875
1000,Gaussian random projection,7,120260433,3,3,4.0,5043,0.015,0.9554532772419757,0.9237634544222714,0.1764934159873519,0.011129541002446786,0.12415662499552127,0.008310000004712492,0,0.0,15.129,32.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0006938339938642457,0.007894124995800667,0.015270083997165784,0.006144458006019704,0.00296979199629277,eigsh,0.00032420799834653735,0.0334144170046784,0.00011854199692606926,0.09061666700290516,0.999999088004788,0.6831228732443159,0.3117725829943083,0.000144,1.6e-05,sparse,2.5085300000000004,0.35801000001083594,7.186392784118652,271.453125,275.59375,4.140625
1000,Gaussian random projection,8,120260434,3,3,4.0,5007,0.019,0.9437554712616069,0.9045780250706763,0.17308579200471286,0.011148416990181431,0.09010633299476467,0.027825500001199543,0,0.0,15.021,28.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0007292079972103238,0.007343792007304728,0.008547083009034395,0.0020134170044912025,0.008267166995210573,eigsh,9.370899351779372e-05,0.027071375006926246,5.445799615699798e-05,0.06297737501154188,0.9999990915657948,0.6923038984191179,0.2743374170095194,0.000144,1.6e-05,sparse,2.6084889999999987,0.37891579199640546,7.174887657165527,275.59375,275.640625,0.046875
1000,Gaussian random projection,9,120260435,3,3,4.0,5014,0.021,0.9378765622833198,0.8954988844401989,0.14329620799981058,0.010943917004624382,0.15458033299364615,0.006724207996740006,0,0.0,15.042,27.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0006461250013671815,0.007412374994601123,0.008946000001742505,0.0021703329985029995,0.0029844999953638762,eigsh,0.0002238750021206215,0.022665917000267655,9.212500299327075e-05,0.13181729200005066,0.9999993027376102,0.6942742576576991,0.30881545900774654,0.000144,1.6e-05,sparse,2.3726199999999977,0.3576176249916898,7.177468299865723,275.640625,275.65625,0.015625
1000,Gaussian random projection,10,120260436,3,3,4.0,5067,0.019,0.9436755002307237,0.9039942133717257,0.14951004199974705,0.010945332993287593,0.11563212500186637,0.004382125000120141,0,0.0,15.201,27.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0006469579966505989,0.007759500003885478,0.011802291992353275,0.0020089580066269264,0.0030660420015919954,eigsh,0.00023445799888577312,0.025589791999664158,0.000100791992736049,0.08993512501183432,0.9999989875397628,0.6810455320589817,0.27608108399726916,0.000144,1.6e-05,sparse,2.5228080000000013,0.3243373330042232,7.19801139831543,275.65625,275.671875,0.015625
