n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
1000,Gaussian random projection,10,5012.9,71.6309213181633,15.0387,0.21489276395448972,28.8,2.5733678754158382,15.023297664000001,0.0,0.1104448897795591,0.0,0.0,0.0,0.017099999999999997,0.004508017549014446,0.9493356051510432,0.013162959820370263,0.9135505960641817,0.019833519273026026,0.15590066659788135,0.017794162188556416,0.011237575000268406,0.00033683260571750666,0.044158925101510246,0.05114665172017528,7.95165979070589e-05,2.7484287015971492e-05,0.11219728740397841,0.03598447893975443,0.15644093320006505,0.05560882173670158,0.009464904200285673,0.006993900097589957,0.3235739707015455,0.059344317951784534,2.6132657,0.4810888741250417,0.38421692079864445,0.06255208992243876,7.180028915405273,0.023136689650481934,5.33125,5.8338113643416865,0.0006902666005771607,6.187762134652948e-05,0.007791795903176535,0.0003297093843398589,0.028859404198010453,0.0487524156978977,0.0032901543032494373,0.002854863262473765,0.0032055209987447595,0.0018443367067980294,0.00018727079877862708,8.516125793171411e-05,0.9999992245814848,1.550270521687713e-07,0.688910078023287,0.0046671467525831395
2000,Gaussian random projection,10,10065.6,79.51407981539425,15.098400000000002,0.11927111972309115,29.8,1.3984117975602026,15.067157759999997,0.0,0.11077788894447224,0.0,0.0,0.0,0.017099999999999997,0.0019264244369066516,0.9493328776211399,0.005636785838063829,0.9118832273586088,0.007987823139455332,0.27349122909799917,0.011712938448493651,0.019895428902236743,0.00045254207750357724,0.048142458200163676,0.004594096919861937,0.000176233597449027,7.868506017564716e-05,0.1500107043015305,0.029276544231029742,0.19833446679840563,0.030144070706807673,0.01067540009971708,0.0027028612797235342,0.49171605409937913,0.036932967795806994,3.472461999999998,0.32759813058379916,0.597573004096921,0.03193726391451185,14.089031314849853,0.02825026965078586,5.31875,3.7317277634755786,0.0013360500015551224,5.647991827322595e-05,0.016612004200578668,0.0004258648351151586,0.02117750829929719,0.0032781250144174354,0.005770654200750869,0.0015163142534704887,0.002512591400591191,0.0005845638227484314,0.0002469709987053648,2.6663289201904204e-05,0.9999953007177211,9.150543155986487e-07,0.6914583737725755,0.0031851236270790794
3000,Gaussian random projection,10,15109.4,150.3560219390413,15.109399999999999,0.15035602193904046,30.4,1.837873166945363,15.08179377777778,0.0,0.11088886422225244,0.0,0.0,0.0,0.023200000000000002,0.0016570090562050888,0.9315917835799216,0.0048023706969896746,0.8857130165714568,0.006613650161407558,0.4002047624002444,0.006784928785210546,0.02975551279669162,0.0013742319071966746,0.07782590420101769,0.01695773960031436,0.00019881259941030295,0.00012326677645667456,0.17361750830023084,0.048172226615404594,0.2516475877011544,0.04966157740978927,0.014592570900276769,0.003865032214330295,0.6816025002975948,0.048073895800125485,3.9035526000000003,0.22709072465779007,0.8187173000987968,0.032681162188544256,20.99912300109863,0.053345784013889466,5.509375,6.830483240743903,0.002016287503647618,5.8073640830179745e-05,0.02790191259846324,0.005607626117787443,0.03679952089878498,0.012945872115036807,0.008078608301002533,0.0030257116334218787,0.0020750415991642513,0.0007259674122583757,0.00035957060172222557,0.0003421939498347024,0.9999907257144619,1.28948570598738e-06,0.6897359269589654,0.0026072442614460487
4000,Gaussian random projection,10,20159.4,118.55819011963811,15.11955,0.08891864258972947,30.5,1.0801234497346435,15.089122776,0.0,0.11094447223611806,0.0,0.0,0.0,0.02185,0.002327970026534801,0.9355221956158909,0.0067519691200710495,0.8912315102562804,0.009383810121188952,0.528773733403068,0.005987143245245279,0.038267033400188666,0.0008550209484198291,0.09472751680150396,0.006456447470160852,0.0002604206994874403,9.12821705059084e-05,0.19040315829915927,0.021428590311675468,0.28539645400014707,0.024325715863021048,0.01832659159845207,0.003588373133711743,0.8524318626034073,0.0254387322247315,4.419458800000003,0.19605629357792115,1.0183167292023427,0.01786460279927961,27.911016273498536,0.043548355542929976,4.253125,4.8994545561640495,0.0026988542987965046,6.988121132222685e-05,0.03580248349608155,0.0008182546454195407,0.04012917070213007,0.005154551998082696,0.01172185830073431,0.0035688603130815152,0.0026989373000105843,0.0009028454650899271,0.0010207042985712178,0.0009638472288679829,0.9999854991276671,1.4740376673822833e-06,0.6882729066803625,0.0021235002100451245
5000,Gaussian random projection,10,25181.6,189.61961923809463,15.10896,0.11377177154285678,30.9,2.3309511649396115,15.093518576640003,0.0,0.11097779555911183,0.0,0.0,0.0,0.0221,0.0027084230754362507,0.9348011519584855,0.007829927195666508,0.8902166148915576,0.010930534958264026,0.6619801248991279,0.012627094746617043,0.04770916250126902,0.0010246092580312525,0.12073434160411126,0.009242204452548546,0.0002245794006739743,0.00013324526082195628,0.18687589160108473,0.04190275164689665,0.3078396375014563,0.03836850451830676,0.021253162597713527,0.0023321741479889503,1.017524100006267,0.04057875532998182,4.854816700000003,0.25370198478312556,1.2183586707993528,0.02696724718591205,34.81112298965454,0.06754201218054544,3.7234375,7.372130628545609,0.0033621499998844227,9.209276106497619e-05,0.04736348759906832,0.002422780063075332,0.050525533202744555,0.006621085377534042,0.016149112198036164,0.004927063901823016,0.002034041701699607,0.000626028586286634,0.0005983290000585839,0.0006941446510652291,0.999978542975029,4.63232010739309e-06,0.690922945799125,0.0029342101036313305
6000,Gaussian random projection,10,30186.8,271.92515310079295,15.093399999999999,0.13596257655039434,31.0,1.0540925533894596,15.096448444444444,0.0,0.1109999938302488,0.0,1.6666666666666667e-05,5.270462766947299e-05,0.0254,0.0026389766067292453,0.9252586765734104,0.007609108517461464,0.8769242469621478,0.010302984841059957,0.7922615708986995,0.011048038157819432,0.058160974802740385,0.002009207547142754,0.14552570439846021,0.015279163388466686,0.000443525101582054,0.00020505588421877073,0.20237138759985102,0.040373556043803605,0.34834795000206215,0.04259493188093581,0.026926208299119025,0.0071247245633249455,1.1987631628013333,0.049705328396854355,5.279061700000002,0.3456052167671595,1.4297490000011748,0.03927259815511831,41.70639390945435,0.09917719077391114,4.9296875,6.707161558180533,0.004028324900718872,0.00012476161264738932,0.059523054197779854,0.004217700077733041,0.05947157940099714,0.00938392420563405,0.018406141600280534,0.0074080684694196935,0.0023499750008340926,0.0007792947391231769,0.0006542167029692791,0.0005615608776418477,0.9999720742962033,4.869950743703192e-06,0.6877891896449702,0.004259743502952494
7000,Gaussian random projection,10,35245.9,252.99822133762063,15.105385714285713,0.10842780914469473,32.7,1.70293863659264,15.09854349173178,0.0,0.11101588208876005,0.0,0.0,0.0,0.0311,0.003745322101198154,0.908895281537557,0.01071933117411226,0.8549754155823568,0.013994159346015026,0.9249737041987828,0.010229551315120993,0.06697133740381105,0.001919542523547279,0.15589344989857637,0.013610594770649716,0.0002813375002006069,0.00016638033507879033,0.20391130829957546,0.04009958980096039,0.36009124589909336,0.037526698297504865,0.026878945600765293,0.005172294543055979,1.3520311373009464,0.04577552728795308,5.436953399999998,0.35750979998322735,1.620130737501313,0.041611692228517794,48.62021884918213,0.09301205272222042,3.0421875,9.301363149845969,0.004746250099560712,0.00023159208665354762,0.06777162889920874,0.004395812053641083,0.05877968760032672,0.006540926684772366,0.020814170800440478,0.00862971832132183,0.0020269330983865076,0.0005983634226360965,0.00097889570024563,0.0012350297968470624,0.9999635934769826,5.371828505024851e-06,0.6848919362333385,0.0026922143957264074
8000,Gaussian random projection,10,40249.8,259.3101103569502,15.093675,0.09724129138385589,32.1,1.4491376746189437,15.100114027500002,0.0,0.11102778472309038,0.0,0.0,0.0,0.0315125,0.00290560402020341,0.9076937811713405,0.008281377329960956,0.8531167303539068,0.010810302078208484,1.0519304628003738,0.01042529526045122,0.0782933458001935,0.004006645512270862,0.1824451959997532,0.012252545456307959,0.0003956956017646007,0.00019005433928791885,0.21788212910032598,0.031161946407586703,0.4007288039982086,0.028375410935456008,0.033175949998258146,0.007506875619869435,1.530946829302411,0.026029979088707005,5.883707099999998,0.17893036368526216,1.822007037397998,0.02492336088167035,55.51544198989868,0.0948433497034478,2.6421875,7.669968753614555,0.005443379298958462,0.00010984840459249693,0.0810474709054688,0.006599442073844959,0.06949734160152729,0.006181564949313877,0.021284570801071823,0.003772133756378835,0.002885712502757087,0.001082616676312283,0.0012172666014521384,0.0008984512940734555,0.9999611989859689,5.673274946989382e-06,0.6842019150765983,0.0031404377496595096
9000,Gaussian random projection,10,45343.4,252.37679062157233,15.114466666666667,0.0841255968738584,31.4,0.5163977794943221,15.101335111111112,0.0,0.11103703429446768,0.0,0.0,0.0,0.03562222222222222,0.0024551952140501243,0.8959917724957291,0.0069733869992774115,0.8379705463732352,0.008961340458390653,1.2010971668016281,0.012573927754098975,0.09023536659806268,0.00466520303838121,0.2396533664999879,0.03873801905555938,0.0003937001005397178,0.00042823882421166414,0.23804658759909217,0.02678127179885571,0.47809924579923974,0.050530719835853034,0.03215222089929739,0.004803474465966956,1.7694261875993107,0.057643933501816354,6.2731200999999945,0.32779461842998275,2.094590587700077,0.06675988383555281,62.44372854232788,0.09150978945293718,2.590625,8.704057837001148,0.005818429302598816,0.00029628729983333747,0.1144079790014075,0.029320940776236887,0.08011037910182495,0.01666778577110081,0.03553184999909718,0.010924601916057939,0.0022997543041128666,0.0009744379454373177,0.0008601875000749714,0.0005643888125688297,0.9999549809374935,6.836649879998295e-06,0.6825362189806671,0.0014003519302894568
10000,Gaussian random projection,10,50329.3,271.3444100933154,15.09879,0.08140332302799429,31.4,1.07496769977314,15.102312977664003,0.0,0.11104444888977796,0.0,0.0,0.0,0.03711,0.0036534458620139246,0.8917840326900517,0.010348564863961067,0.8325714897606874,0.013145712313233138,1.401440570797422,0.1708962982507634,0.10732932070095558,0.017222451459768518,0.34595193760033,0.17421739471048284,0.0005916501002502627,0.0004322866636607852,0.22447507079632487,0.03615036496531614,0.5710253248020308,0.1939854312161207,0.03700562510057352,0.0074848504641584,2.079788549995283,0.3357127739168412,6.7977844000000065,0.8529574156214343,2.4530201375018805,0.35762646703981915,69.33246192932128,0.09785691632183537,2.8,8.758372110800615,0.00630422069953056,0.00016770009376853873,0.16134331680223113,0.0683491905265426,0.12732436240039532,0.11508641104857752,0.045447970999521206,0.024802245790189394,0.0025267749995691704,0.0008001205258406158,0.002206083199416753,0.0020349458308438137,0.9999469413378452,4.8480883453475924e-06,0.6811713076666948,0.002038164878070964
