n,method,rep,seed,K,m,rho_n,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
1000,Random sampling,1,120260427,3,3,4.0,4983,0.071,0.7979574715183654,0.7228820329313346,0.15361720800865442,0.012467125081457198,0.23519387503620237,0.010264999931678176,0,0.0,14.949,29.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.001083291950635612,0.002391000045463443,15650,10972,0.7,21256,0.0034837500425055623,3.38749960064888e-05,0.231671541929245,1.0619140153954052,0.7968750413104346,0.40127350005786866,0.000144,1.6e-05,sparse,2.129685,0.4691751670325175,2.878398895263672,258.421875,263.703125,5.28125
1000,Random sampling,2,120260428,3,3,4.0,5131,0.056,0.8388400870071453,0.7696102115128894,0.16680208290927112,0.0127619169652462,0.04380099999252707,0.0074093330185860395,0,0.0,15.393,34.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.001145999995060265,0.0023692080285400152,16065,11300,0.7,21899,0.0035238750278949738,3.829097840934992e-05,0.040235834079794586,1.0671739868743446,0.7877708142090832,0.22336199996061623,0.000144,1.6e-05,sparse,1.3868080000000003,0.27316966699436307,2.9461774826049805,263.703125,265.40625,1.703125
1000,Random sampling,3,120260429,3,3,4.0,4948,0.06,0.8278210633068214,0.75643840847713,0.19373108295258135,0.01229987503029406,0.048206583014689386,0.00743529200553894,0,0.0,14.844,29.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0011007079156115651,0.0025844170013442636,15518,10909,0.7,21118,0.0036943339509889483,3.750005271285772e-05,0.04447149997577071,1.0682512228016308,0.7866412346936414,0.2542342919623479,0.000144,1.6e-05,sparse,1.9578100000000003,0.29886341700330377,2.8468751907348633,265.40625,267.359375,1.953125
1000,Random sampling,4,120260430,3,3,4.0,5033,0.049,0.8582642408456167,0.7929691784410582,0.19306912505999207,0.0121535420184955,0.04568904195912182,0.005213832948356867,0,0.0,15.099,28.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0011560410493984818,0.0024190000258386135,15819,11075,0.7,21447,0.003583874902687967,3.4958007745444775e-05,0.04206612496636808,1.0667786629121676,0.7949515806893084,0.25090762495528907,0.000144,1.6e-05,sparse,2.0838959999999993,0.30690724996384233,2.8958396911621094,267.359375,267.859375,0.5
1000,Random sampling,5,120260431,3,3,4.0,5039,0.053,0.8471095329289934,0.7811746615060262,0.19172091595828533,0.01294216699898243,0.04212979204021394,0.006624916917644441,0,0.0,15.117,29.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0010846660006791353,0.00241704098880291,15806,11054,0.7,21415,0.0035098339430987835,3.4374999813735485e-05,0.03858275001402944,1.061728787867535,0.7882891163947757,0.24679004191420972,0.000144,1.6e-05,sparse,1.9151869999999995,0.3052788330242038,2.896195411682129,267.859375,268.015625,0.15625
1000,Random sampling,6,120260432,3,3,4.0,4864,0.046,0.8666068883435263,0.8049996464372673,0.1845475829904899,0.012132375035434961,0.04709737503435463,0.007831041002646089,0,0.0,14.592,25.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0010852080304175615,0.0023574159713461995,15323,10764,0.7,20823,0.0034507500240579247,3.345799632370472e-05,0.043610291089862585,1.0714279696921476,0.7973651845736245,0.24377445713616908,0.000144,1.6e-05,sparse,1.8557199999999998,0.29172287497203797,2.812117576599121,268.015625,268.125,0.109375
1000,Random sampling,7,120260433,3,3,4.0,5043,0.058,0.8331313361115347,0.76724844515416,0.1956807499518618,0.012589833000674844,0.04914337501395494,0.004798125009983778,0,0.0,15.129,32.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0010849169921129942,0.0023659580620005727,15819,11039,0.7,21362,0.003459624946117401,3.3374992199242115e-05,0.045647499966435134,1.0685068527702912,0.7914691797742163,0.2574110828572884,0.000144,1.6e-05,sparse,1.978392999999997,0.30512987496331334,2.8917627334594727,268.125,268.40625,0.28125
1000,Random sampling,8,120260434,3,3,4.0,5007,0.056,0.8388778377239006,0.7704406519550565,0.19274229102302343,0.012285916949622333,0.05115550011396408,0.006914875004440546,0,0.0,15.021,28.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0011528750183060765,0.0023709581000730395,15693,10967,0.7,21210,0.003532125032506883,3.195891622453928e-05,0.04758729203604162,1.069314945636316,0.7983751387558565,0.2561795839574188,0.000144,1.6e-05,sparse,2.0216080000000005,0.30613608309067786,2.872878074645996,268.40625,268.953125,0.546875
1000,Random sampling,9,120260435,3,3,4.0,5014,0.06,0.8286307381090887,0.7626027314831433,0.1826117499731481,0.012606499949470162,0.04811204201541841,0.004966708016581833,0,0.0,15.042,27.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0010876250453293324,0.0023586669703945518,15722,10899,0.7,21098,0.003453749930486083,3.233307506889105e-05,0.04462325002532452,1.0566213590062825,0.7995128621688729,0.24332758295349777,0.000144,1.6e-05,sparse,1.9481290000000016,0.2913133749971166,2.8714513778686523,268.953125,269.0,0.046875
1000,Random sampling,10,120260436,3,3,4.0,5067,0.066,0.811393937846241,0.7384579108367808,0.19322366593405604,0.01273691700771451,0.0441402499563992,0.006908542010933161,0,0.0,15.201,27.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.0010867499513551593,0.0023327500093728304,15910,11084,0.7,21470,0.003428083029575646,3.400002606213093e-05,0.04067533300258219,1.0599186050466474,0.7756534468198729,0.2500979989999905,0.000144,1.6e-05,sparse,1.972764999999999,0.3029878339730203,2.9085474014282227,269.0,269.03125,0.03125
