n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,zhou_theta_build_wall_sec_mean,zhou_theta_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,rs_original_upper_nnz_mean,rs_original_upper_nnz_std,rs_sampled_upper_nnz_mean,rs_sampled_upper_nnz_std,rs_sampled_theta_nnz_mean,rs_sampled_theta_nnz_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
1000,Random sampling,10,5012.9,71.6309213181633,15.0387,0.21489276395448972,28.8,2.5733678754158382,15.023297664000001,0.0,0.1104448897795591,0.0,0.0,0.0,0.057499999999999996,0.007427426651719063,0.8348633133741232,0.020389130444286998,0.7666823878734846,0.02410377030312652,0.18477464547613637,0.013942771379350113,0.01249761680373922,0.0002752253208167502,0.0035120000829920173,7.936574323074057e-05,3.441240405663848e-05,2.045732354146208e-06,0.061917141708545384,0.05970764175173454,0.06546688341768458,0.05969839964074481,0.006836766586638987,0.0016251719746579656,0.2627358164754696,0.04963947917991888,1.9250000999999997,0.20487594901221437,0.31506843760143965,0.055139476008685934,2.882024383544922,0.035957724887965385,1.0609375,1.6336317555292599,0.0011068081948906183,3.1408854950822386e-05,0.0023966415203176437,7.119928453337072e-05,15732.5,206.72216996625093,11006.3,142.50617920325823,21309.8,286.1451845945803,1.0651636408002767,0.004792058513886496,0.7916903599389686,0.007342830142247018
2000,Random sampling,10,10065.6,79.51407981539425,15.098400000000002,0.11927111972309115,29.8,1.3984117975602026,15.067157759999997,0.0,0.11077788894447224,0.0,0.0,0.0,0.05184999999999999,0.005958420745279557,0.8505578595456778,0.016521702590393796,0.7837014185555555,0.019780720038631273,0.34504272509366274,0.008112011818179913,0.022454454109538346,0.0002608267877540818,0.005295554315671325,0.00012395196802031575,5.528739420697093e-05,1.633373754835721e-05,0.06609711271012202,0.011760605048585311,0.0714512957027182,0.011733744009651569,0.009586737188510597,0.0016145602796652,0.4389451336232014,0.014728580848268936,2.3806417,0.24375768243257526,0.5392802626825869,0.014705652857964291,5.858684539794922,0.040384323331182345,1.6078125,1.1002645771617592,0.0017209166777320205,7.021604595922768e-05,0.003563029016368091,0.00011860371074539462,31870.8,230.73929492442815,22261.3,133.4641441653067,43123.0,280.4852937321309,1.0625154174997273,0.005320362675288379,0.7916039589297427,0.004635903825883637
3000,Random sampling,10,15109.4,150.3560219390413,15.109399999999999,0.15035602193904046,30.4,1.837873166945363,15.08179377777778,0.0,0.11088886422225244,0.0,0.0,0.0,0.05556666666666667,0.005025981876923203,0.8402010105231528,0.013807846449775844,0.7706394079518959,0.01587531188942012,0.4925155292148702,0.017504397249989735,0.033182875101920216,0.0004790788257568478,0.007328849786426872,0.00024133980685763846,6.44917949102819e-05,2.126731524328841e-05,0.08665334172546864,0.015238321523053417,0.09405027497559786,0.015301823713803465,0.015234679309651255,0.002359343040803293,0.6197450876235961,0.02513110906106477,2.7337244000000007,0.1426023815199277,0.7763454458909109,0.025702311902467165,8.839678764343262,0.08474546151374822,1.6640625,1.4689762310993062,0.0023882290930487215,5.574444825216124e-05,0.004920320899691433,0.00020743467113948545,48004.9,439.7396830954532,33565.4,360.9983687251539,65039.4,721.889680706901,1.0616570039871815,0.003699664059783476,0.792043350580913,0.004020627476277403
4000,Random sampling,10,20159.4,118.55819011963811,15.11955,0.08891864258972947,30.5,1.0801234497346435,15.089122776,0.0,0.11094447223611806,0.0,0.0,0.0,0.05387499999999999,0.003492551598282644,0.8448714339839631,0.009633899744478805,0.7760059506649053,0.01117539638717593,0.6386568205663934,0.017303288783353497,0.04339702893048525,0.0017049525829574324,0.009180916578043253,0.000308586695337569,9.798741666600108e-05,6.954055480678676e-05,0.0891728623304516,0.011176271792476338,0.09845568761229515,0.011353269465093543,0.01590612079016864,0.002178179998516244,0.7805056158220396,0.019786775416611283,3.2257396999999983,0.12355369914337083,0.9835652957204729,0.025584194375676824,11.822955513000489,0.0619886580785978,1.45625,1.249648388047614,0.0030819125939160587,0.00013079853540211536,0.006075912492815405,0.0001933900173890506,64158.7,347.70710854587554,44872.4,205.11471045355228,86955.8,404.662218536782,1.0628794376833448,0.0025215605804666877,0.7931513788591451,0.003842345782613879
5000,Random sampling,10,25181.6,189.61961923809463,15.10896,0.11377177154285678,30.9,2.3309511649396115,15.093518576640003,0.0,0.11097779555911183,0.0,0.0,0.0,0.05088,0.003223800379813999,0.853162011023794,0.008937481186664894,0.7857685424515113,0.010725169011014741,0.8080220123985782,0.020430302789912577,0.0542922165710479,0.001858024376372977,0.011576528975274414,0.0006027526908968973,0.0001063876086845994,6.891079099812424e-05,0.09227507071336731,0.020062918942113678,0.10396186647703871,0.019887956533173833,0.020725049916654824,0.002475845046125803,0.9662722162669525,0.03833408960091787,3.4145466000000058,0.2599478850531453,1.209666220913641,0.03589864259085696,14.790910816192627,0.09835250353886853,1.26875,1.4732643389765463,0.003942287503741681,0.00019683648895945621,0.007616324804257601,0.0005495582901401344,80213.4,565.250819449989,56161.2,314.8120426893195,108811.9,650.6375420394302,1.064530177171012,0.0033104625701773143,0.7980236587424552,0.0023971478869084244
6000,Random sampling,10,30186.8,271.92515310079295,15.093399999999999,0.13596257655039434,31.0,1.0540925533894596,15.096448444444444,0.0,0.1109999938302488,0.0,1.6666666666666667e-05,5.270462766947299e-05,0.052566666666666664,0.0034004357019304086,0.848504028326585,0.009396319890674971,0.7799995719257382,0.010973632789316708,0.9636482874164358,0.021127665183536145,0.06670842497842386,0.0019875017894726006,0.014275183412246406,0.003504312214952109,8.21752124466002e-05,4.7467898047392274e-05,0.09321185420267283,0.013085675898678609,0.10757290010806173,0.012337291523786511,0.025375604000873863,0.0029869580140144507,1.1379259252222256,0.02142007257432581,3.5706456000000033,0.20000548108612046,1.4275686374981889,0.028086911240254097,17.750284481048585,0.1491428806505797,-3.16875,11.809311647164755,0.004508399567566812,0.00018823815167891725,0.009730137290898711,0.0034873926315005595,96239.4,812.409612066341,67390.6,543.1136979389221,130584.9,1088.5982270792094,1.0630547567412296,0.0031651898411928082,0.7950416045057499,0.0046829127187728225
7000,Random sampling,10,35245.9,252.99822133762063,15.105385714285713,0.10842780914469473,32.7,1.70293863659264,15.09854349173178,0.0,0.11101588208876005,0.0,0.0,0.0,0.05362857142857143,0.0030380803104574313,0.8455851641082489,0.008396643047851829,0.7763726058036788,0.010004722188891002,1.121143779391423,0.015584772717548058,0.07514482501428574,0.0018060711815365285,0.01525411659386009,0.0003196201103501827,0.00012199152261018753,6.640219813836354e-05,0.10273184581892565,0.015887272012636844,0.11811172510497273,0.01594749296229022,0.029257491696625948,0.0026699559760558944,1.3143965583411046,0.02719814393180018,3.924261100000007,0.159148372188735,1.6330284958938137,0.02491477034128253,20.736735916137697,0.14584987245655653,0.7671875,7.99630465461017,0.005260183312930167,0.00015458786463207273,0.009935408481396735,0.0003524469398446197,112398.4,770.6209905726093,78726.9,614.07264318736,152526.1,1198.5763267773577,1.0654268748573616,0.0034401765118187546,0.7957728066041706,0.002378403892045885
8000,Random sampling,10,40249.8,259.3101103569502,15.093675,0.09724129138385589,32.1,1.4491376746189437,15.100114027500002,0.0,0.11102778472309038,0.0,0.0,0.0,0.053637500000000005,0.0041059957852984785,0.845573364499143,0.011303156738948142,0.7763025671359433,0.013317501990904876,1.294221699994523,0.026451733810934974,0.08934730000328273,0.003110351155650656,0.01797966241138056,0.001519092528796485,0.00012868760386481882,5.559807004405671e-05,0.10450204147491604,0.02076128287576676,0.12261440840084106,0.020983328976974143,0.0324255206855014,0.0033187716615628374,1.5061793914879673,0.03146142726115707,4.102951999999997,0.1738547519166435,1.8701156457071193,0.03625369670361903,23.693357372283934,0.1452666510265472,0.059375,5.999877024202709,0.006167829211335629,0.0003908634507187004,0.0117853123228997,0.0013641658660031829,128420.5,778.5899291525561,89917.2,566.9908484466231,174224.1,1118.1968073644284,1.0643786875191343,0.0017280322317061413,0.7956103205346203,0.0036661020187326587
9000,Random sampling,10,45343.4,252.37679062157233,15.114466666666667,0.0841255968738584,31.4,0.5163977794943221,15.101335111111112,0.0,0.11103703429446768,0.0,0.0,0.0,0.053233333333333334,0.0023810235145164758,0.8466683432484958,0.006567630563231948,0.777456374398523,0.007748183923099774,1.4628401500172914,0.04539267265918856,0.10137433748459443,0.003836040744945677,0.020353246107697488,0.0008356895236691012,9.476250270381569e-05,3.0241051464060102e-05,0.10648352509597317,0.01216558652978299,0.12693550848634913,0.012534134128087382,0.038322841573972255,0.004330173183327844,1.6911460212082603,0.05521769503537655,4.182929199999995,0.23903336217439847,2.130019425181672,0.05329484486864986,26.70270185470581,0.1506625623874643,1.9109375,10.317667712985832,0.006884979095775634,0.00032266050640232356,0.013408445799723268,0.0005848698523158853,144698.7,760.9754047711821,101318.6,681.2006067720927,196365.5,1372.3581691542677,1.0630084481635371,0.001413544474200769,0.7949963286003322,0.0015646368028269294
10000,Random sampling,10,50329.3,271.3444100933154,15.09879,0.08140332302799429,31.4,1.07496769977314,15.102312977664003,0.0,0.11104444888977796,0.0,0.0,0.0,0.05303,0.003495409688275307,0.8472411996827571,0.009650914815146499,0.7781553217576065,0.011417797047199304,1.6026376793975943,0.03260885785002969,0.11071385440882295,0.003156835992567963,0.022631058387923987,0.0007374871512849095,0.00011018330696970225,4.0126295464654576e-05,0.11279605411691591,0.014374732399252759,0.13554097088053824,0.014604783532992554,0.03872670410200953,0.0036070482090534086,1.8488888296182266,0.04003356955683991,4.636748299999982,0.1385167869369747,2.2964575000922194,0.04757813906456437,29.653207111358643,0.14716744517588068,1.834375,6.60844203094715,0.007492420810740441,0.0003038002140011681,0.015078512404579669,0.0004899680859391355,160671.3,810.0150958812737,112550.8,524.9721262441772,218083.1,1080.3211919507025,1.0646621110481678,0.0018792453967871013,0.796553108164806,0.0014178371421162052
