rho_n,method,rep,seed,n,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
0.25,Gaussian random projection,1,45260428,5000,3,3,1524,0.6606,-0.0001902411320461846,0.00018714303586315586,0.03926295900600962,0.005703208997147158,0.6313073750061449,0.01460366700484883,2015,0.403,0.9144,7.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.0035448749986244366,0.006407458000467159,0.06907454099564347,0.0066605419997358695,0.011501625005621463,eigsh,0.0010575000051176175,0.09850245898996945,0.00013129098806530237,0.5326689999928931,0.9955583591856995,0.9950227489198955,0.6762689179740846,3.6e-07,4e-08,sparse,4.845963,0.7022146249946672,26.27187156677246,219.484375,284.640625,65.15625
0.25,Gaussian random projection,2,45260429,5000,3,3,1588,0.6518,0.000561877627306857,0.0011326728543856232,0.05133295801351778,0.007098875008523464,0.5056997089996003,0.01405916700605303,1915,0.383,0.9528,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.003890082996804267,0.007266250002430752,0.07763608399545774,0.005595082999207079,0.005264125007670373,eigsh,0.0006702499958919361,0.10120354199898429,0.00039258399920072407,0.40409725000790786,0.9951029840750707,0.9948748242697333,0.5641252090281341,3.6e-07,4e-08,sparse,4.9387620000000005,0.5881082090054406,26.282529830932617,284.640625,310.84375,26.203125
0.25,Gaussian random projection,3,45260430,5000,3,3,1601,0.6554,0.0001940165848760318,0.0005847139228307061,0.057875083992257714,0.006425750005291775,0.6301166250050301,0.01354529098898638,1980,0.396,0.9606,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.004931749994284473,0.014081540997722186,0.18681054199987557,0.005343833996448666,0.00898895799764432,eigsh,0.0013330420042620972,0.22390287500456907,0.00022754099336452782,0.40598149999277666,0.9946527184777418,0.9935817815958256,0.6944127499882597,3.6e-07,4e-08,sparse,5.184417999999999,0.7232170420029433,26.286377906799316,310.84375,330.34375,19.5
0.25,Gaussian random projection,4,45260431,5000,3,3,1542,0.6614,-0.00020678285596584692,0.00011321984924456874,0.05056820801110007,0.005905625002924353,0.48108733400295023,0.014912208993337117,1982,0.3964,0.9252,7.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.004038416998810135,0.0108499589987332,0.08831737500440795,0.00566104099561926,0.011549000002560206,eigsh,0.0030092500091996044,0.1242177500098478,0.00030908299959264696,0.35655633300484624,0.9947258763262452,0.9944707615931851,0.5375569990283111,3.6e-07,4e-08,sparse,4.596468999999999,0.5632867499953136,26.265461921691895,330.34375,345.375,15.03125
0.25,Gaussian random projection,5,45260432,5000,3,3,1534,0.657,0.0003719299523891859,0.0010687196879491233,0.04364100001112092,0.007430167010170408,0.6144424580124905,0.01396404100523796,1998,0.3996,0.9204,7.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.004068082998855971,0.011210708995349705,0.061087291993317194,0.008297332999063656,0.0047307909990195185,eigsh,0.0005019590025767684,0.09038449999934528,0.00030070899811107665,0.5237535000051139,0.9956422478427979,0.9952073275577697,0.6655098760238616,3.6e-07,4e-08,sparse,4.532198000000001,0.6894665419968078,26.26167392730713,345.375,346.265625,0.890625
0.25,Gaussian random projection,6,45260433,5000,3,3,1566,0.6538,0.0001945943532121186,0.0006102219762932667,0.04392212499806192,0.006575166989932768,0.7269758750044275,0.013884583007893525,1944,0.3888,0.9396,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.003371415994479321,0.010175999996135943,0.2784252919955179,0.008712750000995584,0.004583875008393079,eigsh,0.0013647919986397028,0.30781404201115947,0.00043370798812247813,0.4187220419989899,0.9952367364820084,0.9944113711004878,0.7774670839862665,3.6e-07,4e-08,sparse,5.924939999999999,0.8011810000025434,26.27436351776123,346.265625,358.9375,12.671875
0.25,Gaussian random projection,7,45260434,5000,3,3,1513,0.6474,0.0006202576939236678,0.0012510229665762163,0.04163095798867289,0.0059265000018058345,0.5407596669974737,0.015311084003769793,2013,0.4026,0.9078,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.0033249590051127598,0.008135458992910571,0.07674887499888428,0.0061056660051690415,0.006127000000560656,eigsh,0.0004911249998258427,0.10134941700380296,0.0001678749977145344,0.4392381669895258,0.9960263703495899,0.9954460474260358,0.588312916981522,3.6e-07,4e-08,sparse,4.514166000000003,0.6136325000115903,26.254416465759277,358.9375,360.09375,1.15625
0.25,Gaussian random projection,8,45260435,5000,3,3,1566,0.66,-3.6319429197767864e-05,0.00045591796364319645,0.049082707992056385,0.00800037500448525,0.4850481250032317,0.013154041997040622,1999,0.3998,0.9396,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.003510124995955266,0.011604250001255423,0.08407495899882633,0.006525125005282462,0.006206249992828816,eigsh,0.0003660000074887648,0.11287866700149607,0.00022220800747163594,0.37194174999604,0.9945257430707682,0.99417349859827,0.5421257080015494,3.6e-07,4e-08,sparse,4.8127310000000065,0.564879875004408,26.274130821228027,360.09375,367.46875,7.375
0.25,Gaussian random projection,9,45260436,5000,3,3,1623,0.6594,-0.0001960228593843308,0.00016175114969933254,0.047385415993630886,0.007480917003704235,0.532997834001435,0.013977041991893202,1877,0.3754,0.9738,5.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.0033269999985350296,0.008674666998558678,0.07806616699963342,0.004982291997293942,0.0052795000083278865,eigsh,0.00022191600874066353,0.10290299999178387,0.00022895900474395603,0.4298592080012895,0.9951576691283412,0.9940296947004557,0.5878574999951525,3.6e-07,4e-08,sparse,5.1689620000000005,0.6122679590043845,26.29493522644043,367.46875,373.796875,6.328125
0.25,Gaussian random projection,10,45260437,5000,3,3,1578,0.654,0.0001808781925739541,0.0006481903674639972,0.0441636670002481,0.007406666991300881,0.4524328749976121,0.013939041004050523,1936,0.3872,0.9468,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.0033915419917320833,0.010827874997630715,0.07860824999806937,0.0034154580062022433,0.009601458004908636,eigsh,0.0003591660060919821,0.10695908300112933,0.0002573749952716753,0.3452121660084231,0.9949790213502469,0.9944862875859313,0.5039989579963731,3.6e-07,4e-08,sparse,4.564029000000005,0.5279180829966208,26.278244972229004,373.796875,374.203125,0.40625
0.5,Gaussian random projection,1,70260428,5000,3,3,3182,0.6524,0.0005770402215850704,0.0009387785644448934,0.09884979200433008,0.010291458005667664,0.47852754199993797,0.013804457994410768,773,0.1546,1.9092,9.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.0034437079884810373,0.01682954200077802,0.061581707996083423,0.005297874988173135,0.008336291997693479,eigsh,0.001199499994982034,0.09757920900301542,0.0005229579983279109,0.38042062500608154,0.9869428267827302,0.9842914058802636,0.5876640420174226,7.2e-07,8e-08,sparse,5.416059000000004,0.6210896669945214,26.871188163757324,374.203125,383.90625,9.703125
