rho_n,method,rep,seed,n,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
0.25,Random sampling,1,45260428,5000,3,3,1524,0.6468,0.0011190789827202697,0.0019374442269768938,0.050521875033155084,0.006656416924670339,0.4185094170970842,0.018556916969828308,2015,0.403,0.9144,7.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.001200541970320046,0.01033000007737428,7555,5318,0.7,8545,0.011552874930202961,0.00022887508384883404,0.4067195829702541,1.4285714285714293,1.3748133185417903,0.47567962494213134,3.6e-07,4e-08,sparse,2.8137029999999994,0.5086274170316756,2.8692312240600586,257.90625,265.71875,7.8125
0.25,Random sampling,2,45260429,5000,3,3,1588,0.6612,-6.663635126073585e-05,0.00034432488366988246,0.06764083297457546,0.008131625014357269,0.08312204107642174,0.02017037500627339,1915,0.383,0.9528,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.0012662089429795742,0.008678208920173347,7849,5425,0.7,8697,0.009957124944776297,0.0001289580250158906,0.07303037506062537,1.4285714285714264,1.3526977722868816,0.1588889160193503,3.6e-07,4e-08,sparse,1.5934740000000005,0.1987955420045182,2.881650924682617,265.71875,269.15625,3.4375
0.25,Random sampling,3,45260430,5000,3,3,1601,0.6598,9.600931728694481e-05,0.0004159759460358851,0.07456199999433011,0.010780457989312708,0.11380804202053696,0.02811158401891589,1980,0.396,0.9606,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.0016339169815182686,0.015380374970845878,7822,5500,0.7,8889,0.017027541995048523,0.00010216701775789261,0.09667462494689971,1.4285714285714286,1.368604994511347,0.19914679194334894,3.6e-07,4e-08,sparse,1.9072689999999994,0.24193958297837526,2.887028694152832,269.15625,270.21875,1.0625
0.25,Random sampling,4,45260431,5000,3,3,1542,0.6598,-0.00019842513855913895,0.00020477997491012354,0.07221633300650865,0.008451291942037642,0.10700062511023134,0.017440374940633774,1982,0.3964,0.9252,7.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.0008935410296544433,0.01410583290271461,7643,5297,0.7,8506,0.015010292059741914,0.00010541698429733515,0.09188158309552819,1.4285714285714293,1.390423518718048,0.18766491708811373,3.6e-07,4e-08,sparse,1.756933,0.22139275004155934,2.8612537384033203,270.21875,271.015625,0.796875
0.25,Random sampling,5,45260432,5000,3,3,1534,0.6526,0.00020669634914276095,0.0006359590130269772,0.06618454202543944,0.006942208972759545,0.0836129590170458,0.02079170907381922,1998,0.3996,0.9204,7.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.0018867501057684422,0.013840415980666876,7603,5293,0.7,8482,0.015744458069093525,0.00018504192121326923,0.0676771670114249,1.428571428571428,1.3750781835330843,0.15673341799993068,3.6e-07,4e-08,sparse,1.5121790000000015,0.19264749996364117,2.857241630554199,271.015625,271.4375,0.421875
0.25,Random sampling,6,45260433,5000,3,3,1566,0.6496,0.0008135278360213318,0.0013666774940268175,0.0749629579950124,0.009619917022064328,0.07979612494818866,0.023341292049735785,1944,0.3888,0.9396,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.001646250020712614,0.014686375041492283,7750,5487,0.7,8836,0.016352750011719763,0.00019641604740172625,0.06324154196772724,1.4285714285714288,1.3528427095009559,0.16437358304392546,3.6e-07,4e-08,sparse,1.5294649999999983,0.2102798749692738,2.874246597290039,271.4375,273.65625,2.21875
0.25,Random sampling,7,45260434,5000,3,3,1513,0.651,0.0005693410597666127,0.0010656141248672087,0.07063962507527322,0.007583667058497667,0.11323545791674405,0.02836712507996708,2013,0.4026,0.9078,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.0009271249873563647,0.01555416698101908,7526,5315,0.7,8506,0.016493542003445327,9.904196485877037e-05,0.09663937508594245,1.4285714285714328,1.3775534067570325,0.19145525118801743,3.6e-07,4e-08,sparse,1.866071999999999,0.23771687503904104,2.8501815795898438,273.65625,273.84375,0.1875
0.25,Random sampling,8,45260435,5000,3,3,1566,0.6538,6.5576155136501e-05,0.0006096397265145727,0.07815141708124429,0.0073112080572173,0.08354408293962479,0.02161950001027435,1999,0.3998,0.9396,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.0009377499809488654,0.014745709020644426,7699,5374,0.7,8659,0.015701791970059276,0.0001841250341385603,0.06765308300964534,1.4285714285714297,1.348394192296521,0.16900162515230477,3.6e-07,4e-08,sparse,1.588510000000003,0.20656462502665818,2.871274948120117,273.84375,275.421875,1.578125
0.25,Random sampling,9,45260436,5000,3,3,1623,0.6558,5.740702344628399e-05,0.0004443986584968683,0.07462474994827062,0.01138433301821351,0.11455379193648696,0.02361270901747048,1877,0.3754,0.9738,5.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.0016673749778419733,0.022412542020902038,7991,5518,0.7,8923,0.024092166917398572,0.00010291696526110172,0.09035437495913357,1.42857142857143,1.3364426954639452,0.20055854180827737,3.6e-07,4e-08,sparse,1.5503579999999992,0.2452375409193337,2.896946907043457,275.421875,275.75,0.328125
0.25,Random sampling,10,45260437,5000,3,3,1578,0.6604,-0.0001217692058836129,0.00027437082303726585,0.06779458397068083,0.010628333082422614,0.10437833401374519,0.022163332905620337,1936,0.3872,0.9468,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,0.0009406249737367034,0.011202499968931079,7798,5431,0.7,8723,0.012153249932453036,0.0001088329590857029,0.09211245796177536,1.4285714285714293,1.375078183534812,0.18279745790641755,3.6e-07,4e-08,sparse,1.776129000000001,0.22320424998179078,2.8774843215942383,275.75,275.828125,0.078125
