K,rep,seed,n,m,rho_n,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
2,1,20460507,5000,3,8.0,80094,479090,0.0191636,1.182872,0.20415145800000012,0,0.0,48.0564,73.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,1.152e-05,1.28e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.02531300000000014,0.04234637500000016,0.00016258399999991013,0.1945038750000001,0.23702824999999983,1.0000000000000004,0.7869105194900641,1.6240362920000002,1.6784799999999995,0.2720958750000002,16.491233825683594,211.32421875,226.6796875,15.35546875,,,,,,,,,,,,,,,,,,,,,,,
2,1,20460507,5000,3,8.0,80094,479090,0.0191636,1.182872,0.20415145800000012,0,0.0,48.0564,73.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,1.152e-05,1.28e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.023507792000000194,0.44573104200000024,0.0004679159999998461,0.041367790999999876,0.4875759579999994,0.9999991088718222,0.7868457141605647,1.874590207,3.4697809999999993,0.5241901250000001,30.631410598754883,227.36328125,296.07421875,68.7109375,0.013680457999999618,0.2927955840000003,0.0979060839999999,0.028733958000000115,0.011585582999999566,0.0009256669999997413,,,,,,,,,,,,,,,,,
2,1,20460507,5000,3,8.0,80094,479090,0.0191636,1.182872,0.20415145800000012,0,0.0,48.0564,73.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,1.152e-05,1.28e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.017114083000000058,0.06308624999999957,0.00011670800000018744,0.04376870799999999,0.10697650000000003,1.0532579165605458,0.8567385112793945,1.4939951239999998,1.1485589999999988,0.12847975000000034,21.217623710632324,296.07421875,306.34375,10.26953125,,,,,,,0.027987834000000156,0.035068625000000075,242045.0,169419.0,0.7,335373.0,,,,,,,,,,,
2,1,20460507,5000,3,8.0,80094,479090,0.0191636,1.182872,0.20415145800000012,0,0.0,48.0564,73.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,1.152e-05,1.28e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.017946207999999686,0.33017170799999995,0.00038949999999982055,0.04506124999999983,0.3756285830000001,0.9999988432998097,0.7868626563632496,1.7626459159999996,3.7100449999999974,0.4013589170000005,24.526887893676758,306.34375,313.0,6.65625,,,,,,,,,,,,,0.0007156249999997755,162.0,18.0,46.0,0.0,0.007096749999999652,0.19183675000000022,0.09359729200000011,0.026602249999999827,0.009960667000000534,0.0002799160000002132
2,2,20460508,5000,3,8.0,79725,476996,0.01907984,1.1442256660000005,0.19434891700000012,0,0.0,47.835,77.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,1.152e-05,1.28e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.017525791999999818,0.03685733299999949,0.00012195800000025514,0.05020820800000081,0.0871966249999998,1.0,0.7865372465565891,1.4257620820000012,0.9742960000000025,0.11145874999999972,16.418434143066406,320.57421875,323.20703125,2.6328125,,,,,,,,,,,,,,,,,,,,,,,
2,2,20460508,5000,3,8.0,79725,476996,0.01907984,1.1442256660000005,0.19434891700000012,0,0.0,47.835,77.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,1.152e-05,1.28e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.01673804099999998,0.3526709170000002,0.00021804199999930773,0.04237333300000046,0.39526679200000014,0.9999987804668736,0.7864924983927878,1.7338368750000006,3.972930999999999,0.4166621250000002,30.602526664733887,323.20703125,323.45703125,0.25,0.010504833999999796,0.2173820839999996,0.08903975000000042,0.026118832999999952,0.009283249999999299,0.0002814159999999788,,,,,,,,,,,,,,,,,
2,2,20460508,5000,3,8.0,79725,476996,0.01907984,1.1442256660000005,0.19434891700000012,0,0.0,47.835,77.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,1.152e-05,1.28e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.01706320900000069,0.05137533300000019,0.00010433300000034507,0.04816154199999989,0.09964583400000038,1.0573080505284207,0.860908224247576,1.438215791000001,1.2085620000000006,0.12079087499999996,21.107351303100586,323.45703125,323.5390625,0.08203125,,,,,,,0.017497083000000302,0.03385395899999999,240998.0,168469.0,0.7,333409.0,,,,,,,,,,,
2,2,20460508,5000,3,8.0,79725,476996,0.01907984,1.1442256660000005,0.19434891700000012,0,0.0,47.835,77.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,1.152e-05,1.28e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.017152166999999885,0.31574987499999985,0.00020754099999997777,0.04340987500000004,0.3593736249999999,0.9999988004682328,0.7864833606382745,1.6979418740000005,4.015361000000002,0.3811250409999998,24.501863479614258,323.5390625,338.8828125,15.34375,,,,,,,,,,,,,0.0011714579999999586,162.0,16.0,45.0,0.0,0.00953612500000034,0.180106125,0.08946945900000003,0.02709333299999983,0.008139958000000114,0.00018062500000048942
2,3,20460509,5000,3,8.0,80106,478928,0.01915712,1.1361732920000005,0.18959949999999992,0,0.0,48.0636,77.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,1.152e-05,1.28e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.017583000000000126,0.035129417000000274,0.000128583000000404,0.04682204200000051,0.08208741600000025,0.9999999999999997,0.7877800265894902,1.4078528340000016,0.969574999999999,0.10490575000000035,16.48419952392578,338.93359375,338.9375,0.00390625,,,,,,,,,,,,,,,,,,,,,,,
2,3,20460509,5000,3,8.0,80106,478928,0.01915712,1.1361732920000005,0.18959949999999992,0,0.0,48.0636,77.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,1.152e-05,1.28e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.01722662500000105,0.34949999999999903,0.0003621249999987697,0.04050470800000028,0.39037358400000066,0.9999991142286042,0.7877251949398207,1.7161396249999985,4.033729000000001,0.4151921250000008,30.62463665008545,338.9375,358.59375,19.65625,0.009619292000000002,0.22011279100000003,0.0843641660000003,0.026847458000000657,0.008305082999999769,0.00019412500000015598,,,,,,,,,,,,,,,,,
