n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
1000,Non-random,10,4983.5,69.9575267970185,30273.4,395.65422614533827,0.0302734,0.00039565422614533846,14.9505,0.20987258039105489,28.5,0.9718253158075503,15.023297664000001,0.0,0.1104448897795591,0.0,0.0,0.0,0.0187,0.0029832867780352603,0.944654875447313,0.008697680713622662,0.9062155432391659,0.012549659100597894,0.07736473749999959,0.0035182700731402256,0.012237574799996764,0.0013401675881001933,0.016299129300011827,0.0010299303242217628,8.912899999131696e-05,2.060453495910478e-05,0.041942366799997896,0.0015991393037473912,0.058337137600000234,0.001971625090471112,0.006280887499991649,0.0008110733558918946,0.1479329373999974,0.004289537147116768,0.6524017000000185,0.03729644329790177,0.06555732090000674,0.0023231727027215117,1.050348663330078,0.013583709851486367,0.01328125,0.02076812712226759,,,,,,,,,,,,,,,1.0,5.489089543709237e-16,0.6923664839719808,0.0038581977543268794
1000,Gaussian random projection,10,4983.5,69.9575267970185,30273.4,395.65422614533827,0.0302734,0.00039565422614533846,14.9505,0.20987258039105489,28.5,0.9718253158075503,15.023297664000001,0.0,0.1104448897795591,0.0,0.0,0.0,0.0188,0.0022997584414213793,0.9443468490056863,0.006700572667457563,0.9058690707607189,0.009327461790808624,0.07736473749999959,0.0035182700731402256,0.012237574799996764,0.0013401675881001933,0.08340792519998672,0.005599427408190223,0.0001415833000010025,3.8550827836275504e-05,0.040560791500007555,0.0027557812659032887,0.1241154874000074,0.007724937507990478,0.006230699799999684,0.0002974075049164615,0.21371261229999164,0.008528953802354773,1.3631570000000466,0.07270823335012613,0.131317891599997,0.007952343650987676,5.735019493103027,0.0045279032838287485,0.005859375,0.010618168248893289,0.01517062070001316,0.0018626741330499904,,,,,,,,,,,,,0.9999991418039788,1.6861100883950002e-07,0.692107960980875,0.0038921733845347873
1000,Random sampling,10,4983.5,69.9575267970185,30273.4,395.65422614533827,0.0302734,0.00039565422614533846,14.9505,0.20987258039105489,28.5,0.9718253158075503,15.023297664000001,0.0,0.1104448897795591,0.0,0.0,0.0,0.05600000000000001,0.01030641655582687,0.8390088793805675,0.028555492580644312,0.772024008579997,0.03278721558703902,0.07736473749999959,0.0035182700731402256,0.012237574799996764,0.0013401675881001933,0.02512924999999768,0.0007073028677289866,8.102079999616763e-05,5.851778451162111e-06,0.04605830420001098,0.0024796959046476624,0.0712731625999993,0.0028679407684603767,0.006797491599996874,0.0015990687260439753,0.16087088730000118,0.00431505568388813,0.7994072999998935,0.03865561262708141,0.07896470830000339,0.0025113168100899547,1.4202906608581543,0.01684180826495908,0.01328125,0.02323407085749527,,,0.0017746749999901113,1.910782183200947e-05,0.02333412909999879,0.0007038224729203902,,,,,,,,,1.065214012284594,0.004935023424829064,0.7937976875233167,0.006410837893761488
1000,CountSketch random projection,10,4983.5,69.9575267970185,30273.4,395.65422614533827,0.0302734,0.00039565422614533846,14.9505,0.20987258039105489,28.5,0.9718253158075503,15.023297664000001,0.0,0.1104448897795591,0.0,0.0,0.0,0.0182,0.0031552425509864613,0.946105992153389,0.009232999651015409,0.908535470920358,0.013085940089194833,0.07736473749999959,0.0035182700731402256,0.012237574799996764,0.0013401675881001933,0.07921380830000543,0.0016483380338309062,0.00011821669999676488,8.163446628989729e-06,0.040738337400000546,0.0020847534311732763,0.12007495009998478,0.0023984746139769455,0.0060531210000021925,0.0001239642827323619,0.20967267469999912,0.0052143154059654745,1.3096750999999132,0.04817363675401153,0.12703352089999384,0.0023757920409736596,4.509031295776367,0.00451946060659306,0.008984375,0.027066426012695034,,,,,,,0.013184404100007896,0.0017357223184098984,0.04431537499999649,0.0007146298422624044,0.0026161457000057455,0.00020466865811185397,163.0,0.0,0.999999231522837,1.2273191813059994e-07,0.6920956154211005,0.003863193379679325
2000,Non-random,10,10066.5,121.53668856220594,61732.8,724.2376528307394,0.0154332,0.00018105941320768415,15.09975,0.18230503284330893,30.1,1.3703203194062976,15.067157759999997,0.0,0.11077788894447224,0.0,0.0,0.0,0.016800000000000002,0.0024966644414765337,0.950210859501343,0.00729625382322401,0.9128071686014051,0.010750493851296042,0.15345402499999636,0.005304240248163948,0.022318537400008154,0.000586870839105201,0.023628304200002503,0.0007379870818061006,0.00010023329999739872,1.5577147470091416e-05,0.04732742070000882,0.0029000482132148604,0.07106243350000341,0.0027099014775228175,0.00905989599999657,0.0007004867809448346,0.24682852060001323,0.007093946525962699,0.7955681000000367,0.033824232150046464,0.08128904580000267,0.00299425969185669,2.138050842285156,0.024864726545244763,0.00078125,0.0024705294220065464,,,,,,,,,,,,,,,1.0,3.074068356504136e-16,0.6920888431341858,0.003913942604757019
2000,Gaussian random projection,10,10066.5,121.53668856220594,61732.8,724.2376528307394,0.0154332,0.00018105941320768415,15.09975,0.18230503284330893,30.1,1.3703203194062976,15.067157759999997,0.0,0.11077788894447224,0.0,0.0,0.0,0.01825,0.002071633815776008,0.9459615428943282,0.0060431662528037545,0.9066763422241738,0.00879362351626405,0.15345402499999636,0.005304240248163948,0.022318537400008154,0.000586870839105201,0.12050515419999783,0.0011480662256617518,0.00015974169999140032,2.8609116069263e-05,0.052839029000011806,0.0025212941994570076,0.17350906650000297,0.002008705542203253,0.008811762400000589,8.262986553856129e-05,0.34927648730000554,0.0061218304465436605,1.9011436000000685,0.033620212588376386,0.1834673625999926,0.0020186026328522758,11.073223686218261,0.0082882421817482,0.003515625,0.005660694041480249,0.029728091700002325,0.0006087189497691528,,,,,,,,,,,,,0.9999955015859932,5.592778158642344e-07,0.6907488830995481,0.004000969735331898
2000,Random sampling,10,10066.5,121.53668856220594,61732.8,724.2376528307394,0.0154332,0.00018105941320768415,15.09975,0.18230503284330893,30.1,1.3703203194062976,15.067157759999997,0.0,0.11077788894447224,0.0,0.0,0.0,0.05445,0.008703288012137838,0.8434658966361865,0.02406107970598048,0.7757065692680591,0.028596368352933766,0.15345402499999636,0.005304240248163948,0.022318537400008154,0.000586870839105201,0.04272794580001573,0.0007936028354972539,0.00010898739999447571,2.3663426399771432e-05,0.06085660009999856,0.0029845745476120185,0.10369869989998506,0.003441733275676867,0.009071424999996225,0.0009265820082879155,0.2794660957000133,0.005655477524383889,1.1843750000000455,0.03566491724685155,0.11392382930000053,0.0037964520602608216,2.821142387390137,0.033313263968639595,0.0,0.0,,,0.0029237665999971795,4.235759230017355e-05,0.03977840019999235,0.0007871418132925075,,,,,,,,,1.0641133117107153,0.005018804954620332,0.7930486229699524,0.004141031167020147
2000,CountSketch random projection,10,10066.5,121.53668856220594,61732.8,724.2376528307394,0.0154332,0.00018105941320768415,15.09975,0.18230503284330893,30.1,1.3703203194062976,15.067157759999997,0.0,0.11077788894447224,0.0,0.0,0.0,0.018349999999999998,0.0025061036601775988,0.9456790032582484,0.007316449182356974,0.906213128575744,0.011016012739291953,0.15345402499999636,0.005304240248163948,0.022318537400008154,0.000586870839105201,0.11662520830000175,0.0057713045705422095,0.0001699042999973699,3.311929697922384e-05,0.05299640409999142,0.002288979366167514,0.16979678739999712,0.005298559626304252,0.009083824900005765,0.0009556576439627116,0.3455640790999951,0.0075266569390159705,1.8521208999999543,0.031292394068563704,0.18003325000000814,0.005281955957301792,8.61884651184082,0.0082882421817482,0.00234375,0.007411588266019639,,,,,,,0.026577670800008946,0.0015609841527547492,0.0656627040999922,0.0056936294227232405,0.0051834749999954965,0.00021718190485810163,163.0,0.0,0.9999955238572511,9.81511633669864e-07,0.6907994134084534,0.0040131445457282835
3000,Non-random,10,15010.0,182.40796766223426,92419.2,1065.2145115212968,0.0102688,0.00011835716794681019,15.01,0.18240796766223394,30.9,1.5951314818673865,15.08179377777778,0.0,0.11088886422225244,0.0,0.0,0.0,0.017833333333333333,0.0031121030164802037,0.9472089472661382,0.00909330398957297,0.9083150525727796,0.013169117424515375,0.22345008730000018,0.004274189024828149,0.03225376240000059,0.00039775132789906343,0.033792745900001364,0.000659654925851917,0.0001260416999912195,2.9804523421939453e-05,0.06197929170000975,0.002219346863491841,0.09590539170000056,0.002465781246866765,0.011696633199994722,0.00010559881146262146,0.3516019290000031,0.006104279924507932,1.0645661000000017,0.03643152314948926,0.1090772999999956,0.00251365960636721,3.1992141723632814,0.03657123795963927,0.00390625,0.00736569563735987,,,,,,,,,,,,,,,0.9999999999999998,2.5099663026237405e-16,0.6923392252139543,0.0027995953889026915
3000,Gaussian random projection,10,15010.0,182.40796766223426,92419.2,1065.2145115212968,0.0102688,0.00011835716794681019,15.01,0.18240796766223394,30.9,1.5951314818673865,15.08179377777778,0.0,0.11088886422225244,0.0,0.0,0.0,0.0207,0.0033937124142474546,0.9388552217015252,0.009854871433497062,0.8963462715223548,0.013795861520544581,0.22345008730000018,0.004274189024828149,0.03225376240000059,0.00039775132789906343,0.15701987900000064,0.000822210694512739,0.00020977930000753986,4.56072439742035e-05,0.06235011260000647,0.0028836054991778328,0.21958477480001193,0.0029232671768021005,0.011668512699998246,0.0003193704801220726,0.4752836206000154,0.005183001221396251,2.406084600000031,0.03325232019363093,0.2327409748999969,0.002877964019226457,16.402588176727296,0.012194567251558572,0.141015625,0.42813581095687137,0.0453920250000067,0.0007011661575907795,,,,,,,,,,,,,0.9999894378731232,1.6545109973079017e-06,0.6897643592741688,0.0029564119139197926
