rho_n,rep,seed,n,K,m,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
0.25,1,45260507,5000,3,3,1476,11785,0.0004714,0.02232454099998904,0.005816334000030565,2067,0.4134,0.8856,5.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,3.6e-07,4e-08,sparse,Non-random,non_random,0.644,0.0015169098074713397,0.0015888312502254085,0.017190959000004113,0.6098567500000058,0.00013958300002059332,0.07824891600000683,0.6882512920000181,1.0000000000000004,0.9971117587498308,0.7163861240000529,7.087198000000171,0.706608249999988,1.8795251846313477,772.68359375,772.76953125,0.0859375,,,,,,,,,,,,,,,,,,,,,,,
0.25,1,45260507,5000,3,3,1476,11785,0.0004714,0.02232454099998904,0.005816334000030565,2067,0.4134,0.8856,5.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,3.6e-07,4e-08,sparse,Gaussian random projection,gaussian_random_projection,0.6552,0.00021003713391656203,0.0005697789589263617,0.0173897499999498,0.15342016599998942,0.00029549999999289867,0.21779983300001504,0.37151991700000053,0.9960009627246595,0.9952710741312513,0.39965637400001697,4.038547999999992,0.38986858300000904,25.436156272888184,772.76953125,772.77734375,0.0078125,0.009077458000035676,0.009732459000019844,0.11564345900001172,0.006683541000029436,0.011961000000042077,0.0002743339999824457,,,,,,,,,,,,,,,,,
0.25,1,45260507,5000,3,3,1476,11785,0.0004714,0.02232454099998904,0.005816334000030565,2067,0.4134,0.8856,5.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,3.6e-07,4e-08,sparse,Random sampling,random_sampling,0.6568,0.0001616608319013097,0.001391145733609621,0.017105500000013762,0.1300444170000219,0.00011795900002198323,0.06483787500002336,0.19500449999998182,1.4285714285714277,1.3750781835347163,0.22314112600008684,2.172722000000249,0.21303204199995207,1.993271827697754,772.77734375,772.79296875,0.015625,,,,,,,0.001336207999997896,0.12868704199996728,7359.0,5083.0,0.7,8127.0,,,,,,,,,,,
0.25,1,45260507,5000,3,3,1476,11785,0.0004714,0.02232454099998904,0.005816334000030565,2067,0.4134,0.8856,5.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,3.6e-07,4e-08,sparse,CountSketch random projection,countsketch_random_projection,0.651,0.0002817245916815455,0.0009277595297425298,0.017126666999956797,0.1464730000000145,0.00042424999998047497,0.28881204200001775,0.4357156250000003,0.9962221630251991,0.9957070707904956,0.46385016700003234,4.602578999999878,0.4537662089999799,19.296781539916992,772.79296875,772.79296875,0.0,,,,,,,,,,,,,0.0005927500000098007,163.0,11.0,48.0,0.0,0.0005718329999808702,0.007300667000038175,0.11417274999996607,0.005748083000014503,0.017758916999980556,0.000257290999968518
0.25,2,45260508,5000,3,3,1581,12530,0.0005012,0.02440599999999904,0.005908667000028345,1952,0.3904,0.9486,5.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,3.6e-07,4e-08,sparse,Non-random,non_random,0.657,0.0002847121826642717,0.0013083488455572115,0.017974125000023378,0.3554384170000162,0.00012629100001504412,0.09471883300000172,0.4502907920000325,1.0000000000000004,0.9971297769395121,0.48059820800006037,4.70494699999972,0.46926716699999815,1.8880510330200195,772.79296875,772.80078125,0.0078125,,,,,,,,,,,,,,,,,,,,,,,
0.25,2,45260508,5000,3,3,1581,12530,0.0005012,0.02440599999999904,0.005908667000028345,1952,0.3904,0.9486,5.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,3.6e-07,4e-08,sparse,Gaussian random projection,gaussian_random_projection,0.657,0.00027652919855751306,0.0007356702530874768,0.017375416999982463,0.14893316600000617,0.0003962920000049053,0.25353158299998313,0.4028665409999803,0.9955895605441284,0.9949213313243987,0.4331757080000216,4.3475069999999505,0.4211986660000093,25.444682121276855,772.80078125,772.80078125,0.0,0.009164416000032816,0.009107249999999567,0.11289716700002828,0.005922959000031369,0.011538040999994337,0.00023795799995696143,,,,,,,,,,,,,,,,,
0.25,2,45260508,5000,3,3,1581,12530,0.0005012,0.02440599999999904,0.005908667000028345,1952,0.3904,0.9486,5.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,3.6e-07,4e-08,sparse,Random sampling,random_sampling,0.6408,0.0011381030118582422,0.0016276209166814879,0.017359624999983225,0.14953204200003256,0.00016987500004006506,0.05224950000001627,0.20196025000001327,1.4285714285714306,1.3750781835353383,0.23226608400011628,2.279349999999795,0.22028641600002175,2.009030342102051,772.80078125,772.8046875,0.00390625,,,,,,,0.0013722909999955846,0.14813724999999067,7789.0,5448.0,0.7,8759.0,,,,,,,,,,,
0.25,2,45260508,5000,3,3,1581,12530,0.0005012,0.02440599999999904,0.005908667000028345,1952,0.3904,0.9486,5.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,3.6e-07,4e-08,sparse,CountSketch random projection,countsketch_random_projection,0.6632,-0.0002623636244750966,6.17991215159245e-05,0.017391167000027963,0.14888754100002188,0.0002690409999672738,0.21426208299999416,0.36342324999998254,0.9957583096005529,0.995011273010809,0.3937333320000107,3.984023000000434,0.3817244169999867,19.305307388305664,772.8046875,772.8359375,0.03125,,,,,,,,,,,,,0.0005933329999834314,163.0,18.0,45.0,0.0,0.0005689170000096055,0.00812120800003413,0.1152248330000134,0.006077333000007457,0.01803558400001748,0.00021916700001156642
0.25,3,45260509,5000,3,3,1570,12466,0.00049864,0.023141582999983257,0.005938542000023972,1948,0.3896,0.942,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,3.6e-07,4e-08,sparse,Non-random,non_random,0.6508,0.00038978636162069816,0.0006755560067342564,0.01736675000000787,0.5217832500000554,0.00012045900001567134,0.09542679200001203,0.6173365829999966,1.0000000000000002,0.9965756498134081,0.6464106260000904,6.551011000000017,0.635720249999963,1.8873186111450195,772.890625,772.890625,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.25,3,45260509,5000,3,3,1570,12466,0.00049864,0.023141582999983257,0.005938542000023972,1948,0.3896,0.942,6.0,1572.2415184000001,0.31444830368000004,0.9433449110400001,0.11097779555911182,3.6e-07,4e-08,sparse,Gaussian random projection,gaussian_random_projection,0.6498,0.001553846528990512,0.0024656995768713185,0.018239583000024595,0.15410475000004453,0.0003900829999565758,0.27281966699996474,0.4273215829999799,0.9956049195771801,0.9948870468189279,0.4563946249999731,4.65788399999974,0.4468359580000083,25.443949699401855,772.890625,772.875,-0.015625,0.012031583000009505,0.010707999999965523,0.11472699999995939,0.005145749999996951,0.011206000000015592,0.0002198330000169335,,,,,,,,,,,,,,,,,
