n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
2000,Non-random,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.0003309649234519518,60.3741,0.35013797280500586,89.7,2.9832867780352585,60.26863104,0.0,0.1107778889444722,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999999999999998,1.0467283057891834e-16,0.5578196700196714,0.016412247975993003,0.06828673997661094,0.0018620506296682677,0.00545379999093707,0.0002418940210147318,8.607999188825488e-05,8.14952645521657e-06,0.1764428799739107,0.2938148322333393,0.18198929999489333,0.29377936250463105,0.0169744800194166,0.0008868286807615138,0.8080891699530184,0.2978560598831716,0.790625,0.18839485536441217,0.2027717999881133,0.2942105029229827,8.027748489379883,0.0454196342847324,,,,,,,,,,,,,,,,,0.9999999999999998,2.5639502485114184e-16,0.6558868766560497,0.0018543358803060576
2000,Gaussian random projection,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.0003309649234519518,60.3741,0.35013797280500586,89.7,2.9832867780352585,60.26863104,0.0,0.1107778889444722,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.1702778228589004e-16,0.5578196700196714,0.016412247975993003,0.06828673997661094,0.0018620506296682677,0.13597907001385462,0.0029766191552498666,0.0001610200037248,1.3470913725348718e-05,0.08343686000443992,0.0015122979375244122,0.21958508001407603,0.0038556744492766856,0.01677122999681155,0.0010908836579439102,0.8456833600183018,0.015860910712140876,1.1765625,0.22703196093220487,0.2411943200277164,0.003974083865905529,13.034982013702393,0.015074347873384476,,,0.09666683002142232,0.0022208274813521364,,,,,,,,,,,,,0.9999997945457709,2.0252804467104256e-08,0.6557221877567072,0.0018725007485395555
2000,Random sampling,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.0003309649234519518,60.3741,0.35013797280500586,89.7,2.9832867780352585,60.26863104,0.0,0.1107778889444722,0.0,0.0,0.0,0.0001,0.00021081851067789194,0.9996998873688205,0.0006326930350303898,0.999317100498207,0.0014396785613680111,0.5578196700196714,0.016412247975993003,0.06828673997661094,0.0018620506296682677,0.01965784999774764,0.0009066454042528848,9.674000320953634e-05,1.3786872099608891e-05,0.08612715000053864,0.003460663983696347,0.10588871999643738,0.003221813657020216,0.01663935000542547,0.001169320595313819,0.7319881499977783,0.015073120134753547,0.975,0.1303540850913388,0.12741478998214,0.004349638235283746,10.353294849395752,0.053061580459140216,,,,,0.00818726997822517,0.00032215158836916194,0.01135536998044694,0.0006957000400183442,,,,,,,,,1.054404168010333,0.003440646693924038,0.7408885962269909,0.003727189451501589
2000,CountSketch random projection,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.0003309649234519518,60.3741,0.35013797280500586,89.7,2.9832867780352585,60.26863104,0.0,0.1107778889444722,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999999999999998,1.0467283057891834e-16,0.5578196700196714,0.016412247975993003,0.06828673997661094,0.0018620506296682677,0.1274380999850109,0.0034352816065431656,0.00016896999441081,2.6951239623573805e-05,0.08344231001101429,0.0009224999157966586,0.21105690000113095,0.0029590988567704877,0.016623599990271,0.000936887159647876,0.8371557899867185,0.017524470022828174,1.2078125,0.29983448124896067,0.23248247000155967,0.002938448352488323,10.57983102798462,0.015129495641148445,,,,,,,,,0.08761054000351573,0.003463090694332146,0.02121845999499778,0.0004353622461380348,0.01101205997401842,0.0003948876020271399,163.0,0.0,0.999999809319848,2.9295808159258117e-08,0.6557165053294646,0.0018593544535056251
4000,Non-random,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.110944472236118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.072249919991009,0.009100838795196969,0.15420420999871562,0.004199601299891148,0.009318399988114779,0.00025847185514032587,0.0001100800116546207,4.303896996524475e-05,0.041856469993945176,0.0009986221210679443,0.05129117998294528,0.0009679023883035692,0.028418239997699813,0.0013324671545693568,1.2777390799834394,0.008858784935346234,0.7140625,0.05707820080332284,0.08735515997977925,0.0017244547590457315,16.407772159576417,0.048819664841547615,,,,,,,,,,,,,,,,,1.0,1.9582493486507355e-16,0.6571779978200241,0.0017472231496136344
4000,Gaussian random projection,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.110944472236118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.072249919991009,0.009100838795196969,0.15420420999871562,0.004199601299891148,0.2621734899934381,0.011427957707461061,0.00023407000116999,2.443847839052636e-05,0.04105172000126909,0.00059681013315658,0.30346773001365357,0.011246255242334805,0.02793974998639891,0.0013367583000113246,1.529913409985602,0.013849533282141106,1.246875,0.09252674163001016,0.34117934001842515,0.011317232339084826,25.779531955718994,0.016368335146718014,,,0.19704148001037536,0.011203854409154983,,,,,,,,,,,,,0.9999994958054816,5.827258095310012e-08,0.6567743304418574,0.0017503489555268032
4000,Random sampling,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.110944472236118,0.0,0.0,0.0,0.0001,0.00012909944487358058,0.999699953118013,0.00038735886752143227,0.9992540161956096,0.0009630609506301451,1.072249919991009,0.009100838795196969,0.15420420999871562,0.004199601299891148,0.02783474997850131,0.0015351667085678868,9.288999717681463e-05,4.11347445958134e-05,0.043060820002574426,0.0011881097988549329,0.07099458001321178,0.002143613464516453,0.02852395003428676,0.0016957276078568054,1.2974425899679773,0.009110782175276808,0.9265625,0.048886250126072145,0.10947538997279475,0.002151164520158484,21.110966682434082,0.07733387776238386,,,,,0.0154234400368295,0.0015706811692975226,0.01227871001465242,0.0003295227124364186,,,,,,,,,1.055012620702859,0.0019567292190416476,0.7423628964528016,0.0021854638527023648
4000,CountSketch random projection,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.110944472236118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.072249919991009,0.009100838795196969,0.15420420999871562,0.004199601299891148,0.2465613099746406,0.014257778677520557,0.00023805999662720998,2.910723916687791e-05,0.041433659987524116,0.0007391512671665086,0.2882415800006129,0.013916116917096053,0.027666130021680103,0.0011612658871522808,1.5146871599485165,0.0176407240538323,1.128125,0.07431691242390405,0.3256888899952173,0.013745643902628297,20.86759157180786,0.016290034783596,,,,,,,,,0.1806434100028127,0.013393849735046653,0.03118334999307985,0.0008830515704933417,0.023452920001000112,0.0011384925074386075,163.0,0.0,0.9999994706406771,7.693372213249001e-08,0.6567551830991798,0.0017119599006584884
6000,Non-random,10,120756.4,300.67671823553184,720154.8,1858.5648465654601,0.020004299999999982,5.162680129348052e-05,60.37820000000001,0.15033835911776539,91.8,3.259175083088084,60.38579377777778,0.0,0.1109999938302488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.6279872600105592,0.02147677443443927,0.2510723700048402,0.0063184063783097355,0.01345667000859973,0.0004578514295906382,0.00010114001343025003,2.3884199996542033e-05,0.04621097000781441,0.001168129657091141,0.059775470010936214,0.0012069470378106093,0.0393603600095957,0.0018173672124425248,1.9388284100452438,0.02358181118709975,0.8875,0.11019041284673241,0.11044574000407006,0.0024689341974748163,24.772933769226075,0.06380876014362005,,,,,,,,,,,,,,,,,1.0,3.916498697301471e-16,0.6575799903977716,0.0006950801418206738
6000,Gaussian random projection,10,120756.4,300.67671823553184,720154.8,1858.5648465654601,0.020004299999999982,5.162680129348052e-05,60.37820000000001,0.15033835911776539,91.8,3.259175083088084,60.38579377777778,0.0,0.1109999938302488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.6279872600105592,0.02147677443443927,0.2510723700048402,0.0063184063783097355,0.4098117800196633,0.03353178244360348,0.00030560998711732,4.089790118138358e-05,0.04602293999632817,0.0007062831813832326,0.4561491000233218,0.03363211432203415,0.03864434000570323,0.0013668344172869961,2.335199960018508,0.04658055190912999,1.425,0.16334582222661495,0.5069402599823661,0.03356276291229876,38.519047260284424,0.021242476763637577,,,0.3198109099757857,0.033179946069775645,,,,,,,,,,,,,0.9999991483351203,1.0746636748006945e-07,0.6569220551623505,0.0006959061502031572
6000,Random sampling,10,120756.4,300.67671823553184,720154.8,1858.5648465654601,0.020004299999999982,5.162680129348052e-05,60.37820000000001,0.15033835911776539,91.8,3.259175083088084,60.38579377777778,0.0,0.1109999938302488,0.0,0.0,0.0,1.666666666666e-05,5.270462766945191e-05,0.9999499958312501,0.00015812706575292365,0.9998695186822989,0.00041261815603547145,1.6279872600105592,0.02147677443443927,0.2510723700048402,0.0063184063783097355,0.035551959997974295,0.0008198967629457004,0.00016007998492564,1.0515275692856451e-05,0.04796234000241379,0.001584502054293935,0.08368237001122902,0.001818909482791398,0.03962044999934729,0.0021108285536332403,1.9627340100007131,0.023861907417731733,0.9234375,0.10659920148361546,0.13488506999565286,0.004137936220202811,31.82328596115112,0.09232704606656227,,,,,0.018723939976189242,0.0005625252928296147,0.016620600013993632,0.0003957425801879847,,,,,,,,,1.055431877666486,0.0025645255541804136,0.7435884275363123,0.0018170509121636562
