rho_n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
2.0,Non-random,10,12618.6,104.53197278026165,80548.9,623.7767495934199,0.003221956,2.4951069983736968e-05,7.571160000000001,0.06271918366815699,19.3,1.3374935098492584,7.54675928832,0.0,0.1109777955591118,0.0,0.00066,0.00048120219820316234,0.10329999999999999,0.00679231591988738,0.714112611213835,0.01731208080687479,0.6331346882827296,0.01822408699022075,0.1785108700045384,0.007478527965317915,0.01995746999746183,0.0004245896554194529,0.01036720997653896,0.0016576301797383787,9.964000200851617e-05,1.5883147777066175e-05,0.061620500008575566,0.0013435160983020927,0.07209374997764821,0.002855433041190589,0.03348456998355681,0.0012137214702939594,0.2705556899891235,0.007420173293105106,0.921875,0.08068715304598784,0.10705929000396278,0.003238240360288327,2.8070258140563964,0.019369628823168856,,,,,,,,,,,,,,,,,,,1.0000000000000002,8.455206652451151e-16,0.740575071114762,0.00279273986859786
2.0,Gaussian random projection,10,12618.6,104.53197278026165,80548.9,623.7767495934199,0.003221956,2.4951069983736968e-05,7.571160000000001,0.06271918366815699,19.3,1.3374935098492584,7.546759288320001,0.0,0.11097779555911183,0.0,0.00066,0.00048120219820316234,0.14845999999999998,0.011569711414820254,0.6045121026497744,0.026817939652941106,0.5251992662797342,0.025428272395096926,0.07481202929920983,0.003717350870935136,0.014466824900591747,0.0016121222885304538,0.10507521260151406,0.004864052033568361,0.0005339958006516099,0.0004688223099677097,0.2503087750010309,0.022313730338103552,0.3559235082968371,0.02282951642795676,0.020446387499396222,0.005397657096560617,0.4451968376029981,0.02369525458895127,3.3688480999999912,0.2340708454347571,0.3772749876996386,0.018097929133349594,26.22138719558716,0.007084182491421966,0.5234375,2.031079720426839,0.030827612601569854,0.0026607526092815004,,,,,,,,,,,,,,,0.9997492641749698,2.563162719241995e-05,0.7253911412284373,0.004510017363045219
2.0,Random sampling,10,12618.6,104.53197278026165,80548.9,623.7767495934199,0.003221956,2.4951069983736968e-05,7.571160000000001,0.06271918366815699,19.3,1.3374935098492584,7.54675928832,0.0,0.1109777955591118,0.0,0.00066,0.00048120219820316234,0.36574,0.11091009572321778,0.2490003006527063,0.1366809625427604,0.22653103121023185,0.10779823487942838,0.1785108700045384,0.007478527965317915,0.01995746999746183,0.0004245896554194529,0.02560749000404025,0.005342647003267299,8.976000826805422e-05,1.2905546146579129e-05,0.09486264000879596,0.01447304961407818,0.12056590000865978,0.01274274528519134,0.03262944999150927,0.000682222956261461,0.3190282300231047,0.01427287229896724,1.3828125,0.132018665162881,0.15499221999198196,0.012714106630909598,3.7112932205200195,0.028277866991709793,,,,,0.00340807001339266,0.00022456322686670565,0.02218288001604374,0.005189020052467845,,,,,,,,,,,1.0769317634619513,0.003734030200497844,0.8750695771414355,0.0036519571989548742
2.0,CountSketch random projection,10,12618.6,104.53197278026165,80548.9,623.7767495934199,0.003221956,2.4951069983736968e-05,7.571160000000001,0.06271918366815699,19.3,1.3374935098492584,7.54675928832,0.0,0.1109777955591118,0.0,0.00066,0.00048120219820316234,0.14644,0.009136398512421493,0.6090167438133597,0.021442577395275664,0.5294003820464378,0.020435398965835086,0.18008137500000881,0.0051405168137290454,0.027715629400000767,0.0005047599840503598,0.14406900829999353,0.004573135041500541,0.00022785850001123,5.060007401114962e-05,0.09402472509999595,0.004197246392264702,0.23832711269999432,0.0066321818677872795,0.01800021679998732,0.0006165365744746853,0.4461185963000105,0.009737192382124673,2.139370000000008,0.034213095738300524,0.25777695010000906,0.006867786446025953,20.9613317489624,0.013722820049914711,0.007421875,0.016413482202246792,,,,,,,0.00211377929999795,7.370116267895741e-05,0.03844123759998862,0.001442918906826454,0.08963504170000072,0.002407030445631837,0.00925384989999993,0.0009846787293222178,163.0,0.0,0.9997506927448448,2.804100140404725e-05,0.7263924946391164,0.003604185187975544
4.0,Non-random,10,25177.2,162.56882303265334,155419.0,964.0425301821489,0.00621676,3.85617012072861e-05,15.10632,0.09754129381959206,31.3,1.946506842754191,15.09351857664,0.0,0.1109777955591118,0.0,0.0,0.0,0.016620000000000003,0.0025775957790157866,0.9507630295362948,0.007547390789903035,0.9132857233363758,0.011423931068565985,0.3450768199982121,0.015082085572016244,0.041241999994963356,0.0007479827772815872,0.008663539995904971,0.0005450228848706799,0.00010467999381942822,5.1223798756055514e-05,0.05238952003419393,0.001428128923966956,0.06116436998127024,0.0018230790776479445,0.03360873003257435,0.0014908119468178918,0.447476560017094,0.015180811274861468,0.828125,0.1288470508005519,0.09762623999267814,0.00270402957971432,5.376634979248047,0.03310043090935985,,,,,,,,,,,,,,,,,,,0.9999999999999998,5.10112276570874e-16,0.69247788083039,0.002174827344044817
4.0,Gaussian random projection,10,25177.2,162.56882303265334,155419.0,964.0425301821489,0.00621676,3.85617012072861e-05,15.10632,0.09754129381959206,31.3,1.946506842754191,15.093518576640003,0.0,0.11097779555911183,0.0,0.0,0.0,0.024659999999999998,0.003710705233959354,0.9274061332898926,0.010727126893317637,0.8801456623535391,0.01464241533851117,0.16690340419736457,0.01412108729630203,0.02615141679852968,0.0016127938040041833,0.13152375400095478,0.00814818852331796,0.000317595899105072,0.00021165799008176104,0.20433755849953741,0.025234602742370472,0.33618412500072736,0.026576701738779764,0.022120333199563903,0.003235852967701042,0.5292337293954915,0.02622205611940031,2.812281999999982,0.20747888808153314,0.3597721248952439,0.02620746708750009,27.078252220153807,0.010959734224411273,-0.1,0.31622776601683794,0.04896692889888073,0.0022295782877624773,,,,,,,,,,,,,,,0.9999791443750032,2.6452748026259004e-06,0.6868476179165053,0.0028926949422088976
4.0,Random sampling,10,25177.2,162.56882303265334,155419.0,964.0425301821489,0.00621676,3.85617012072861e-05,15.10632,0.09754129381959206,31.3,1.946506842754191,15.09351857664,0.0,0.1109777955591118,0.0,0.0,0.0,0.053059999999999996,0.0036197605814013,0.8471448569536107,0.010025122997195768,0.778279928462863,0.011983250602190501,0.3450768199982121,0.015082085572016244,0.041241999994963356,0.0007479827772815872,0.018223479995503968,0.001606381213398929,0.0001784600084647,2.2953916479570544e-05,0.05673113998491312,0.001425975909443987,0.07513943001395088,0.0024923288685211,0.03302478000987316,0.0016373805180315976,0.4614518999820575,0.015632849632143165,1.05625,0.11510298830467729,0.11177493000868703,0.003152394393608039,7.001809215545654,0.04152097969408052,,,,,0.00569364000111815,0.0006391807584404268,0.012106749974191141,0.0013116911299326747,,,,,,,,,,,1.063391025843931,0.0029422233627549965,0.7944531234169905,0.003687826316520609
4.0,CountSketch random projection,10,25177.2,162.56882303265334,155419.0,964.0425301821489,0.00621676,3.85617012072861e-05,15.10632,0.09754129381959206,31.3,1.946506842754191,15.09351857664,0.0,0.1109777955591118,0.0,0.0,0.0,0.02498,0.0015760710643876429,0.9264480569303146,0.004550576532839786,0.8784921060337183,0.006338357218285823,0.3560566458999858,0.0073707127437102,0.055667158099993175,0.003711038681149883,0.18161759589999063,0.005233988346114524,0.00023506250001895,4.8142067480842814e-05,0.07203542070000135,0.002630062272182104,0.2538934789999928,0.006607459959760715,0.01793135840001124,0.0004300829067301347,0.6656118830999901,0.009477165014102652,2.0007440999999515,0.03271359378489391,0.27387670429999383,0.00674945661580109,22.557598495483397,0.020136857232620074,0.00234375,0.007411588266019639,,,,,,,0.00308853329998437,8.315562584090362e-05,0.07065394170000441,0.002289764072959514,0.09027529570001316,0.002937893124931755,0.01296250419999857,0.00039506052979276253,163.0,0.0,0.9999782186885777,4.726817383818733e-06,0.686718318130495,0.002514258759166912
8.0,Non-random,10,50327.7,155.54066992269225,304326.4,911.3837098975812,0.012173056,3.645534839590308e-05,30.196620000000003,0.09332440195361552,52.5,1.9578900207451224,30.18703715328,0.0,0.1109777955591118,0.0,0.0,0.0,0.00056,0.0003373096170846271,0.9983203783651877,0.0010114163559385323,0.9958098334409341,0.002524012071575996,0.6796411999966949,0.017125058031788893,0.091447749978397,0.006302703970504299,0.0107951899990439,0.002132354248256677,8.03199945949018e-05,7.210754891884874e-06,0.04684899998828765,0.0017360679125755138,0.057730489980895014,0.0024376780662710876,0.034268129977863236,0.0012529307509798644,0.8288134599570185,0.020391111918372087,0.8625,0.06538481177698005,0.09716060002101581,0.003346283316267554,10.488969230651856,0.031289876514732924,,,,,,,,,,,,,,,,,,,1.0000000000000004,5.768888059150692e-16,0.6692529531395861,0.0015910484332089805
8.0,Gaussian random projection,10,50327.7,155.54066992269225,304326.4,911.3837098975812,0.012173056,3.645534839590308e-05,30.196620000000003,0.09332440195361552,52.5,1.9578900207451224,30.187037153280006,0.0,0.11097779555911183,0.0,0.0,0.0,0.00076,0.0005059644256269406,0.9977210989066221,0.0015165389535660996,0.9944036164156209,0.003625926692223996,0.3232268751016818,0.01621740800150054,0.052571958299085966,0.0023648562715110795,0.18381292080011918,0.026971295555715227,0.0004823749026400037,0.00060594622854911,0.14722394170385086,0.03033500165961559,0.33152572080289244,0.038700156686856106,0.02342687519994797,0.004578968562929395,0.7073180708073779,0.048785562626631994,2.4615290000000187,0.33423782249271844,0.3574206210003467,0.04065011625175593,28.78234233856201,0.010454224576310239,0.0,0.0,0.08764045409770915,0.004116470858541939,,,,,,,,,,,,,,,0.9999970311591385,3.7148754075512873e-07,0.6676588391524636,0.0017013711643975812
