n,rep,seed,K,m,rho_n,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eigensolver,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_hash_seed,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_core_eigensolver,cs_lift_sec
2000,1,220260507,3,3,16.0,39976,231650,0.0579125,0.6313120999839157,0.1189886000938713,0,0.0,59.964,86.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Non-random,non_random,0.0,1.0,0.9999999999999998,0.0189188001677393,eigsh,0.0082719000056386,9.96999442577362e-05,0.1287263999693095,0.1371075001079589,0.9999999999999998,0.6575417663172484,0.887398699996993,0.765625,0.1618311000056564,7.970919609069824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,220260507,3,3,16.0,39976,231650,0.0579125,0.6313120999839157,0.1189886000938713,0,0.0,59.964,86.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.0191152000334113,,0.1932868000585585,0.0001904000528156,0.149304499849677,0.3427930001635104,0.9999997771462196,0.6574088323441444,1.0930824000388384,1.03125,0.3672962000127882,13.016180992126465,,,,0.0033183998893946,0.1340137000661343,0.0367850000038743,0.0151869000401347,0.0033166001085191,eigsh,0.0003114000428467,,,,,,,,,,,,,,,,,,,,,
2000,1,220260507,3,3,16.0,39976,231650,0.0579125,0.6313120999839157,0.1189886000938713,0,0.0,59.964,86.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0198990998324006,,0.0218727998435497,0.0001968999858945,0.149326599901542,0.1714061999227851,1.0579257714241097,0.7469271733759772,0.9216969998087734,0.796875,0.197313800221309,10.292795181274414,,,,,,,,,,,0.0101157000754028,eigsh,0.0116630000993609,116825.0,81910.0,0.7,162411.0,,,,,,,,,,,,,,
2000,1,220260507,3,3,16.0,39976,231650,0.0579125,0.6313120999839157,0.1189886000938713,0,0.0,59.964,86.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.0221091001294553,,0.1877408998552709,0.0002111999783664,0.1037033998873084,0.2916651000268757,0.9999997943143868,0.6573875318636686,1.041956199798733,1.078125,0.3194788999389857,12.45682144165039,,,,,,,,,,,,,,,,,,0.000416399911046,3189182342.0,163.0,3.0,21.0,0.0,0.0135392001830041,0.0135392001830041,0.1292300000786781,0.0253113000653684,0.0143657000735402,0.0041236001998186,eigsh,0.0003613999579101
2000,2,220260508,3,3,16.0,40302,233498,0.0583745,0.6681487001478672,0.1233484002295881,0,0.0,60.453,87.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Non-random,non_random,0.0,1.0,0.9999999999999998,0.0262898001819849,eigsh,0.0087389000691473,0.0001298999413847,0.1750292000360787,0.1839068001136183,0.9999999999999998,0.6548973564130148,0.9753951004240662,0.890625,0.2150695000309497,8.034380912780762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2,220260508,3,3,16.0,40302,233498,0.0583745,0.6681487001478672,0.1233484002295881,0,0.0,60.453,87.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,0.9999999999999998,0.0198421999812126,,0.1843316999729722,0.0002384998369961,0.1468118999619037,0.3313919999636709,0.9999997972226078,0.6547469173198238,1.1228792001493275,1.0625,0.3577651001978665,13.03732967376709,,,,0.003610200015828,0.1282256999984383,0.0314273999538272,0.015776399988681,0.0045638000592589,eigsh,0.0003391997888684,,,,,,,,,,,,,,,,,,,,,
2000,2,220260508,3,3,16.0,40302,233498,0.0583745,0.6681487001478672,0.1233484002295881,0,0.0,60.453,87.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0216466998681426,,0.0217408000025898,0.0001328000798821,0.1830408000387251,0.2049227999523282,1.0564927528282877,0.7403199335551426,0.9964115004986523,0.703125,0.2326089001726359,10.361124992370604,,,,,,,,,,,0.0107824001461267,eigsh,0.0108028000686317,117749.0,82371.0,0.7,163337.0,,,,,,,,,,,,,,
2000,2,220260508,3,3,16.0,40302,233498,0.0583745,0.6681487001478672,0.1233484002295881,0,0.0,60.453,87.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,0.9999999999999998,0.0174170997925102,,0.1393004001583904,0.0001519001089036,0.0911450001876801,0.230605199933052,0.99999978142154,0.6547482520256417,1.0220944008324295,0.8125,0.2533749998547137,12.49669361114502,,,,,,,,,,,,,,,,,,0.000450599938631,1848652628.0,163.0,5.0,21.0,0.0,0.0060262000188231,0.0060262000188231,0.0935253000352531,0.0228426998946815,0.0131938999984413,0.0028340001590549,eigsh,0.0001722001470625
2000,3,220260509,3,3,16.0,40488,234828,0.058707,0.6937853000126779,0.1512158000841736,0,0.0,60.732,89.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Non-random,non_random,0.0,1.0,0.9999999999999998,0.0177211000118404,eigsh,0.010000699898228,0.0001172001939266,0.2575117999222129,0.2676379000768065,1.0,0.6543709293468419,1.1126308001112193,1.03125,0.2912785001099109,8.080042839050293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3,220260509,3,3,16.0,40488,234828,0.058707,0.6937853000126779,0.1512158000841736,0,0.0,60.732,89.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,0.9999999999999998,0.0188897000625729,,0.1763202999718487,0.0002118998672813,0.0980543000623583,0.274595099966973,0.9999998024152426,0.6541916947028734,1.11958759999834,1.0,0.3025273999664932,13.052258491516112,,,,0.003630300052464,0.1305125998333096,0.0244662999175488,0.0143086002208292,0.0028923000209033,eigsh,0.0001751000527292,,,,,,,,,,,,,,,,,,,,,
