n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
2000,Non-random,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.0003309649234519518,60.3741,0.35013797280500586,89.7,2.9832867780352585,60.26863104,0.0,0.1107778889444722,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999999999999998,1.0467283057891834e-16,0.6836063700495287,0.0612749322782904,0.1320883700391277,0.013366667280535779,0.00837337998673315,0.0013084265998918254,0.00013573002070183362,3.161956522279141e-05,0.1806661099893972,0.05235876002240122,0.18918429000768805,0.05232241104491018,0.02013365007005628,0.0032857897010626093,1.004869960085489,0.06193248374101345,0.8984375,0.16686999316250825,0.21483722000848499,0.05317874576906385,8.027739524841309,0.04545323478168526,,,,,,,,,,,,,,,,,,,0.9999999999999998,2.5639502485114184e-16,0.6558868766560497,0.0018543358803060576
2000,Gaussian random projection,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.0003309649234519518,60.3741,0.35013797280500586,89.7,2.9832867780352585,60.26863104,0.0,0.1107778889444722,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.1702778228589004e-16,0.6836063700495287,0.0612749322782904,0.1320883700391277,0.013366667280535779,0.16146095998119558,0.017675618394044523,0.00019913995638483998,3.319504333040327e-05,0.1046511199790984,0.023170870483792988,0.26632043998688454,0.03964626118558521,0.01835972999688232,0.0009955750293462451,1.0820059600053356,0.06836619622975838,1.0390625,0.1303644896956649,0.29056546005886047,0.04067464858058313,13.035008430480957,0.01517592953221544,,,0.11433603996410964,0.01261996443132264,,,,,,,,,,,,,,,0.9999997945457709,2.0252804467104256e-08,0.6557221877567072,0.0018725007485395555
2000,Random sampling,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.0003309649234519518,60.3741,0.35013797280500586,89.7,2.9832867780352585,60.26863104,0.0,0.1107778889444722,0.0,0.0,0.0,0.0001,0.00021081851067789194,0.9996998873688205,0.0006326930350303898,0.999317100498207,0.0014396785613680111,0.6836063700495287,0.0612749322782904,0.1320883700391277,0.013366667280535779,0.02060801999177779,0.0010264265158965139,0.00013762996532017534,3.6161803838385755e-05,0.10954587003216143,0.031135229083773388,0.13029953995719548,0.0317567171842039,0.01889372991863634,0.0014705615391186616,0.9459862600779161,0.0677986102901734,0.9125,0.17939665471301916,0.15451897999737407,0.03329594162337987,10.35328779220581,0.053077680821417075,,,,,0.00918034000787878,0.0007395921058707845,0.011275250045582599,0.00075577595508718,,,,,,,,,,,1.054404168010333,0.003440646693924038,0.7408885962269909,0.003727189451501589
2000,CountSketch random projection,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.0003309649234519518,60.3741,0.35013797280500586,89.7,2.9832867780352585,60.26863104,0.0,0.1107778889444722,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999999999999998,1.1702778228589004e-16,0.6836063700495287,0.0612749322782904,0.1320883700391277,0.013366667280535779,0.14806877998635168,0.01472149199707582,0.00018354007042939,2.6280018185994397e-05,0.09490892998874184,0.004288406163057883,0.24317037998698648,0.01845631662872936,0.01877853996120389,0.0016221000112145198,1.0588559901341796,0.06761606998166696,1.0765625,0.11978034366775991,0.26726025000680237,0.02006149647300943,12.48394193649292,0.024018477399644078,,,,,,,,,0.00800111007411029,0.0020671068786411785,0.09870669003576035,0.011203250300674612,0.0236630200175568,0.001428784576485273,0.01340408001560714,0.0010374597476755993,163.0,0.0,0.9999998056889101,2.5823744354133978e-08,0.6557221901863329,0.0018570432541112026
4000,Non-random,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.110944472236118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.4967308399965986,0.07542603432370978,0.20932284998707468,0.024710006614736293,0.01059195003472264,0.0007728459230457485,9.333002381025028e-05,8.210016478104858e-06,0.04796594001818444,0.0016073006809666078,0.05865880998317148,0.0018512070739099898,0.030139030003920143,0.0015040624504249285,1.7647049100603909,0.07340787076442006,0.6828125,0.10521606819751651,0.09770844997838134,0.002415376592742723,16.407772159576417,0.04881019304083956,,,,,,,,,,,,,,,,,,,1.0,1.9582493486507355e-16,0.6571779978200241,0.0017472231496136344
4000,Gaussian random projection,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.110944472236118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.4967308399965986,0.07542603432370978,0.20932284998707468,0.024710006614736293,0.30162817002274095,0.013830307951030742,0.00024535004049533996,3.242916956617909e-05,0.04933172003366048,0.004782792287152553,0.35121921002864837,0.0158847479928385,0.03052415002603079,0.0015131913192365537,2.0572589300805704,0.07561633421980526,1.0875,0.09495750145898602,0.392691870033741,0.01734505535223438,25.77950782775879,0.016317105855056576,,,0.22525569996796543,0.010879745786834106,,,,,,,,,,,,,,,0.9999994958054816,5.827258095310012e-08,0.6567743304418574,0.0017503489555268032
4000,Random sampling,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.110944472236118,0.0,0.0,0.0,0.0001,0.00012909944487358058,0.999699953118013,0.00038735886752143227,0.9992540161956096,0.0009630609506301451,1.4967308399965986,0.07542603432370978,0.20932284998707468,0.024710006614736293,0.02949013998731966,0.0014222877519854391,0.00010420996695754712,2.8279368425766374e-05,0.04766808997374023,0.0037475859177002056,0.07727027004584666,0.004811817082213089,0.030334360012784563,0.00286109707924956,1.7833161299116909,0.07557952614691005,0.8140625,0.16477606068118975,0.11833156999200578,0.00749261504645518,21.110966682434082,0.07732196110619698,,,,,0.01590723004192109,0.0009405167432285004,0.013411100022494751,0.001099604402232802,,,,,,,,,,,1.055012620702859,0.0019567292190416476,0.7423628964528016,0.0021854638527023648
4000,CountSketch random projection,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.110944472236118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.4967308399965986,0.07542603432370978,0.20932284998707468,0.024710006614736293,0.290762749989517,0.04326290396535937,0.00026241994928563,4.130486441468533e-05,0.048023910005576854,0.003303745093659954,0.33905908993910994,0.04562471253967788,0.029775579995475643,0.0015151532455997564,2.045102769928053,0.054143472978524516,1.1625,0.1334390856658323,0.37942874000873417,0.04618326287044741,24.73514747619629,0.025143124191826394,,,,,,,,,0.012135760020464601,0.0011522938434589377,0.20057949998881663,0.01399247535793365,0.04501955001614983,0.02856287156710176,0.028099669981747833,0.002564432601466247,163.0,0.0,0.9999994844867212,7.272124858756064e-08,0.6567656328214011,0.0017832680303411451
6000,Non-random,10,120756.4,300.67671823553184,720154.8,1858.5648465654601,0.020004299999999982,5.162680129348052e-05,60.37820000000001,0.15033835911776539,91.8,3.259175083088084,60.38579377777778,0.0,0.1109999938302488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.134999949974008,0.07387403091957388,0.3288929200032725,0.022318504064897514,0.01507901004515583,0.0012950131944579751,9.884000755845826e-05,1.1751038481708288e-05,0.05190185995306814,0.0031340759530078936,0.06708766999654467,0.0038513470352424637,0.04078014001715924,0.002665804710034311,2.530972579983063,0.0787351915513882,0.834375,0.11580785091406082,0.12075941998045887,0.006884005311566248,24.772933769226075,0.06380876014362005,,,,,,,,,,,,,,,,,,,1.0,3.916498697301471e-16,0.6575799903977716,0.0006950801418206738
6000,Gaussian random projection,10,120756.4,300.67671823553184,720154.8,1858.5648465654601,0.020004299999999982,5.162680129348052e-05,60.37820000000001,0.15033835911776539,91.8,3.259175083088084,60.38579377777778,0.0,0.1109999938302488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.134999949974008,0.07387403091957388,0.3288929200032725,0.022318504064897514,0.4944072500569746,0.034027831182753786,0.00033692996948952,4.2803700811248934e-05,0.0538677799981087,0.0038492072082736447,0.5486227200366557,0.035803432726704235,0.04181657000444825,0.0033613332313183583,3.0125048300018533,0.06889763494299755,1.4390625,0.11679912495510306,0.6046240499708802,0.038809343583642825,38.519176197052005,0.021240623638340464,,,0.38024120994377875,0.030931909136952478,,,,,,,,,,,,,,,0.9999991483351203,1.0746636748006945e-07,0.6569220551623505,0.0006959061502031572
