K,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
2,Non-random,10,159726.9,634.2226125125289,937398.8,3623.254546828188,0.037495952,0.0001449301818731275,95.83614,0.3805335675075203,132.7,1.4181364924121747,95.90402304,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.620166400028393,0.0933783241965997,0.44763933995272964,0.02208675501359415,0.01806742006447162,0.001050128067601019,0.000102339964359985,2.4297039448827696e-05,0.12344987997785206,0.2586495008346598,0.14162741999607528,0.25866176489460563,0.035992450010962754,0.002665863751068886,3.209425379987806,0.27978658587753,0.7515625,0.11841372342694632,0.1952020900091156,0.26045395694017587,32.223802757263186,0.1243913630038872,,,,,,,,,,,,,,,,,,,1.0,1.7358025238735567e-16,0.7821059742154095,0.0008798636013889325
2,Gaussian random projection,10,159726.9,634.2226125125289,937398.8,3623.254546828188,0.037495952,0.0001449301818731275,95.83614,0.3805335675075203,132.7,1.4181364924121747,95.90402304,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.620166400028393,0.0933783241965997,0.44763933995272964,0.02208675501359415,0.5300309600308537,0.02657068356060028,0.00023173999506976,5.454830947544062e-05,0.0417980999918654,0.003483937435995551,0.5720695700030773,0.02848568588951158,0.03592441997025157,0.0020441554150231246,3.6398665399989114,0.11601798225411461,1.409375,0.19884649998316675,0.6294584299903363,0.02882866692315082,35.869615173339845,0.041362100785765354,,,0.42371544991619886,0.02387736504395571,,,,,,,,,,,,,,,0.9999996787347275,3.000455388254189e-08,0.7820879519312518,0.0008797423258698953
2,Random sampling,10,159726.9,634.2226125125289,937398.8,3623.254546828188,0.037495952,0.0001449301818731275,95.83614,0.3805335675075203,132.7,1.4181364924121747,95.90402304,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.620166400028393,0.0933783241965997,0.44763933995272964,0.02208675501359415,0.04673685999587175,0.002783364171238103,0.00013253998477008128,4.71111969979856e-05,0.04028445002622898,0.0027666078103736444,0.08716225998941804,0.003682341046179836,0.03494524008128788,0.0015689769460209924,3.1549595899879934,0.09603508814004318,0.8515625,0.15331443780765652,0.14275052996817975,0.003993543756672846,41.338199043273924,0.1695632822957871,,,,,0.032864030008204245,0.002728968053824507,0.01335231000557536,0.0008792279582624421,,,,,,,,,,,1.0548511107918679,0.0022422149601470155,0.8529764446478237,0.002236666986691155
2,CountSketch random projection,10,159726.9,634.2226125125289,937398.8,3623.254546828188,0.037495952,0.0001449301818731275,95.83614,0.3805335675075203,132.7,1.4181364924121747,95.90402304,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.620166400028393,0.0933783241965997,0.44763933995272964,0.02208675501359415,0.4953905799658969,0.017558777963391874,0.00022936002351339,7.774494709514511e-05,0.041099550016224326,0.0021189505219907805,0.5367281100014225,0.019337510495319364,0.03652057999279345,0.0016628547082155984,3.604525229986757,0.10199950584171792,1.3703125,0.13721759192874008,0.5942175300093367,0.020593909166626345,36.11429977416992,0.05606840734130902,,,,,,,,,0.02361918997485187,0.0015376597218512125,0.37190032002981754,0.01024861862084443,0.040250350022688494,0.0018687493025018615,0.05411295001395041,0.013904372310990166,162.0,0.0,0.9999996741029532,3.362316097663762e-08,0.7820872998687648,0.0008802175952415774
4,Non-random,10,79758.7,330.411881007799,477511.4,1941.4990886196686,0.019100456,7.765996354478626e-05,47.855219999999996,0.19824712860467386,75.7,3.5292429153510465,47.94242304,0.0,0.0623875075135075,0.0,0.0,0.0,0.00102,0.00034576806613039845,0.9972813776780196,0.0009208193347736189,0.9942254325609465,0.001843281026744434,1.5710029700072483,0.08875908592012827,0.20658196001313622,0.013761540062327169,0.01857709004543717,0.0013291333678860139,0.00014622001908717153,4.0052000129933176e-05,0.06290273000486192,0.0034274574126535113,0.08163389996625478,0.003988805211586106,0.03685508000198748,0.001985258389140956,1.8592109700897708,0.09237442986945807,0.8515625,0.09295087654986847,0.12781509999185797,0.0056977668967069075,16.43479995727539,0.06666181529130771,,,,,,,,,,,,,,,,,,,1.0000000000000004,4.440892098500626e-16,0.5762850431366692,0.0015281681681731754
4,Gaussian random projection,10,79758.7,330.411881007799,477511.4,1941.4990886196686,0.019100456,7.765996354478626e-05,47.855219999999996,0.19824712860467386,75.7,3.5292429153510465,47.94242304,0.0,0.0623875075135075,0.0,0.0,0.0,0.0032,0.0007831560082980488,0.9914841865940291,0.00207883823424744,0.9830671805775305,0.003746182384386262,1.5710029700072483,0.08875908592012827,0.20658196001313622,0.013761540062327169,0.2986815600190311,0.008461138272853972,0.00034064997453236,4.337955681588326e-05,0.06344632003456348,0.0036248638882670748,0.36247880996670573,0.010222537031949907,0.035187639994546736,0.0009242003379221498,2.1400534600485117,0.09140948271871678,1.3546875,0.25473489248901277,0.407460379996337,0.010784245391960892,30.921750354766846,0.022303904838290527,,,0.21683885005768383,0.007023320535597289,,,,,,,,,,,,,,,0.9999988900437465,1.318903580115273e-07,0.5709043084987099,0.001673955879827523
4,Random sampling,10,79758.7,330.411881007799,477511.4,1941.4990886196686,0.019100456,7.765996354478626e-05,47.855219999999996,0.19824712860467386,75.7,3.5292429153510465,47.94242304,0.0,0.0623875075135075,0.0,0.0,0.0,0.009260000000000001,0.001233063033443321,0.9754506826681404,0.003252029638211193,0.9555764377223479,0.005205167526900192,1.5710029700072483,0.08875908592012827,0.20658196001313622,0.013761540062327169,0.03532819005195047,0.002239786611004734,0.00015453998930748379,4.7931941363660124e-05,0.06725470996461805,0.0026431292370377607,0.10274519997183229,0.00442588416086403,0.03512842997442926,0.001487252586677004,1.8803223700262606,0.09195843541366747,1.0234375,0.11487888020892073,0.14794602002948518,0.00467340795025973,21.152989387512207,0.08118789893002352,,,,,0.01480241999961431,0.0009664825378466123,0.0203590300166979,0.0017041848715360765,,,,,,,,,,,1.0567829828270408,0.0022314732172263063,0.6785122179773782,0.0013293053456824354
4,CountSketch random projection,10,79758.7,330.411881007799,477511.4,1941.4990886196686,0.019100456,7.765996354478626e-05,47.855219999999996,0.19824712860467386,75.7,3.5292429153510465,47.94242304,0.0,0.0623875075135075,0.0,0.0,0.0,0.00312,0.0006124631508189787,0.99169663981823,0.001628108671663895,0.9834659335140146,0.003233051005338989,1.5710029700072483,0.08875908592012827,0.20658196001313622,0.013761540062327169,0.28568550995551045,0.014875350145423651,0.00033252998255188,6.37299815332541e-05,0.06329137997236098,0.004531009951687507,0.3493201599922031,0.01852415810325189,0.03510978997219349,0.001279067576871658,2.126894349930808,0.08955294461913614,1.3078125,0.15764137449092763,0.39467958998866376,0.01826449126703104,28.878875255584717,0.03787460578522455,,,,,,,,,0.01309787002392108,0.000987954848730271,0.19642624994739888,0.009913309841579038,0.04127929001115258,0.004635925235093978,0.0298084699781611,0.004094498924445929,164.0,0.0,0.9999989393895407,1.8424850817460357e-07,0.5706719184720223,0.0016740934190238768
6,Non-random,10,65140.3,190.94853873346258,392310.2,1164.1032600246351,0.015692407999999998,4.656413040098472e-05,39.08418,0.11456912324007033,65.3,3.3015148038438378,39.06634097049601,0.0,0.0276944988997799,0.0,0.0,0.0,0.12072000000000001,0.005462762833747933,0.731233301326978,0.01124491074884608,0.688160305991264,0.010874007334846017,1.3280469799647108,0.05170779726301494,0.16745587997138495,0.01457146186764721,0.03186432004440571,0.003774841143520383,0.00012707000132645627,2.6623120804620626e-05,0.1349454500013962,0.06364388650247614,0.16694477002602068,0.06668874868001454,0.03404316001106049,0.0016043064803247813,1.6624396999832243,0.057656453793659065,1.3140625,0.13847703693011507,0.20831261996645475,0.06735108760772693,13.509653282165527,0.039966313706290106,,,,,,,,,,,,,,,,,,,0.9999999999999998,6.982548711125695e-16,0.5035247758953839,0.0013155201964184238
6,Gaussian random projection,10,65140.3,190.94853873346258,392310.2,1164.1032600246351,0.015692407999999998,4.656413040098472e-05,39.08418,0.11456912324007033,65.3,3.3015148038438378,39.06634097049601,0.0,0.0276944988997799,0.0,0.0,0.0,0.31042000000000003,0.012844177236743847,0.3945085834004021,0.019041114967855013,0.3790676656628785,0.016812870790244062,1.3280469799647108,0.05170779726301494,0.16745587997138495,0.01457146186764721,0.2845059899846092,0.01815749190245275,0.00030980003066357,6.446126560530976e-05,0.16976861997973172,0.01865725820194137,0.45459347998257726,0.032712129205023595,0.034421570017002474,0.001642115891066365,1.9500872699311003,0.049174425544021266,2.1890625,0.11059586480741486,0.4971788300201297,0.03391037377481674,30.261981296539307,0.013276627246456682,,,0.2003988300217315,0.014072409047978225,,,,,,,,,,,,,,,0.999998459806878,1.6988568958784187e-07,0.4818019957548724,0.00141968326861636
