rho_n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
2.0,Non-random,10,12618.6,104.53197278026165,80548.9,623.7767495934199,0.003221956,2.4951069983736964e-05,7.571160000000001,0.06271918366815699,19.3,1.3374935098492584,7.54675928832,0.0,0.1109777955591118,0.0,0.00066,0.0004812021982031624,0.10329999999999999,0.006792315919887379,0.714112611213835,0.01731208080687479,0.6331346882827296,0.01822408699022075,0.2340934300096705,0.04889706315572551,0.0286726999795064,0.010765053088269982,0.011926430044695669,0.0016618942333932007,0.00010673997458068638,1.6787836498395403e-05,0.0761754900682717,0.012894558022304601,0.08821656999643887,0.013581732953948319,0.037445529969409044,0.003698602813696849,0.35097479007672516,0.06504185738582585,0.9015625,0.1703769946691747,0.12733802997972812,0.0138090096377975,2.807210636138916,0.018944348353535423,,,,,,,,,,,,,,,,,,,1.0000000000000002,8.455206652451151e-16,0.740575071114762,0.00279273986859786
2.0,Gaussian random projection,10,12618.6,104.53197278026165,80548.9,623.7767495934199,0.003221956,2.4951069983736964e-05,7.571160000000001,0.06271918366815699,19.3,1.3374935098492584,7.54675928832,0.0,0.1109777955591118,0.0,0.00066,0.0004812021982031624,0.14845999999999998,0.011569711414820254,0.6045121026497744,0.026817939652941106,0.5251992662797341,0.025428272395096947,0.2340934300096705,0.04889706315572551,0.0286726999795064,0.010765053088269982,0.18064492000266907,0.035317537977601135,0.00031385000329459004,5.523871188120073e-05,0.18778735999949273,0.05157673938795435,0.368756159977056,0.06869147155113704,0.042850170005112834,0.010300803618642428,0.6315122599946335,0.1046605411135629,1.4671875,0.26704583232565154,0.4137171600246802,0.07156895901515146,26.221287727355957,0.007184030812846436,,,0.08325737996492528,0.01686760445412139,,,,,,,,,,,,,,,0.9997492641749698,2.5631627191689977e-05,0.7253911412284376,0.0045100173630452855
2.0,Random sampling,10,12618.6,104.53197278026165,80548.9,623.7767495934199,0.003221956,2.4951069983736964e-05,7.571160000000001,0.06271918366815699,19.3,1.3374935098492584,7.54675928832,0.0,0.1109777955591118,0.0,0.00066,0.0004812021982031624,0.36574,0.11091009572321778,0.2490003006527063,0.13668096254276044,0.22653103121023185,0.10779823487942838,0.2340934300096705,0.04889706315572551,0.0286726999795064,0.010765053088269982,0.03200515003409232,0.005191914586014445,0.0001219500089063825,2.9809141996505827e-05,0.22574916998855765,0.0888949620067087,0.25788801000453526,0.09094753544615411,0.04060394000262017,0.00912284144968429,0.5206424000207335,0.12060259595320938,1.428125,0.4233321030165849,0.30249518998898567,0.09310333389902684,3.711297607421875,0.028277248016599685,,,,,0.0035830599954351306,0.00048217817740828245,0.028395550022832998,0.005269083455915478,,,,,,,,,,,1.0769317634619513,0.003734030200497844,0.8750695771414355,0.0036519571989548742
2.0,CountSketch random projection,10,12618.6,104.53197278026165,80548.9,623.7767495934199,0.003221956,2.4951069983736964e-05,7.571160000000001,0.06271918366815699,19.3,1.3374935098492584,7.54675928832,0.0,0.1109777955591118,0.0,0.00066,0.0004812021982031624,0.14638,0.009099181892407195,0.6091573025344024,0.02135413680449416,0.5295307852226339,0.02035168599371245,0.2340934300096705,0.04889706315572551,0.0286726999795064,0.010765053088269982,0.1591886200010776,0.0324993428913939,0.00031763997394585,5.442213504248255e-05,0.10423109002877022,0.045479088176372806,0.26374917996581637,0.05692032132299741,0.03577445000410076,0.002011211554654814,0.5265034799929709,0.08150597887057877,1.1828125,0.18634627684993685,0.3015965699451044,0.0572392650601081,20.958027172088624,0.013684419364110642,,,,,,,,,0.00493063996545966,0.001283803795919126,0.08297258005477484,0.023680613294594345,0.05332379001192744,0.015729129862042612,0.012720730016007962,0.0026989978711328302,163.0,0.0,0.9997506927448445,2.8041001404077705e-05,0.7263924946391167,0.003604185187975828
4.0,Non-random,10,25177.2,162.56882303265334,155419.0,964.0425301821489,0.00621676,3.85617012072861e-05,15.10632,0.09754129381959206,31.3,1.946506842754191,15.09351857664,0.0,0.1109777955591118,0.0,0.0,0.0,0.016620000000000003,0.0025775957790157866,0.9507630295362948,0.007547390789903035,0.9132857233363758,0.011423931068565985,0.43611881996039303,0.06433777876232769,0.059817220014519945,0.01456453262466307,0.012905539991334019,0.0021942286654295542,0.0001094900304451173,1.6680483489845642e-05,0.1918262499850243,0.14662778343053742,0.20484932996332642,0.1478676068810459,0.037473939987830766,0.003114037041619354,0.7007773199817166,0.2189786129668518,0.9984375,0.45324172347196073,0.24634005997795608,0.1500083183338029,5.376639366149902,0.033097773634488445,,,,,,,,,,,,,,,,,,,0.9999999999999998,5.10112276570874e-16,0.69247788083039,0.002174827344044817
4.0,Gaussian random projection,10,25177.2,162.56882303265334,155419.0,964.0425301821489,0.00621676,3.85617012072861e-05,15.10632,0.09754129381959206,31.3,1.946506842754191,15.09351857664,0.0,0.1109777955591118,0.0,0.0,0.0,0.024659999999999998,0.003710705233959354,0.9274061332898926,0.010727126893317708,0.8801456623535391,0.01464241533851117,0.43611881996039303,0.06433777876232769,0.059817220014519945,0.01456453262466307,0.19245871999301015,0.02011162679948683,0.00029291005339469,5.917881285226455e-05,0.11315777003765101,0.07940301814856913,0.3059194199973717,0.0909508612001346,0.03660465003922577,0.0017758116992832823,0.801845440058969,0.1072493088238743,1.246875,0.39691464150228684,0.3462675599846989,0.09133348537525021,27.078108024597167,0.01103926429666662,,,0.10952100998256349,0.00997297983181376,,,,,,,,,,,,,,,0.9999791443750032,2.645274802167966e-06,0.6868476179165052,0.0028926949422090256
4.0,Random sampling,10,25177.2,162.56882303265334,155419.0,964.0425301821489,0.00621676,3.85617012072861e-05,15.10632,0.09754129381959206,31.3,1.946506842754191,15.09351857664,0.0,0.1109777955591118,0.0,0.0,0.0,0.053059999999999996,0.0036197605814013,0.8471448569536107,0.010025122997195768,0.778279928462863,0.011983250602190501,0.43611881996039303,0.06433777876232769,0.059817220014519945,0.01456453262466307,0.02027749002445486,0.0032118430164033546,0.00019869005773211,3.46899405128042e-05,0.10591500999871636,0.0716318196595654,0.12640211000107227,0.07295954362505506,0.036183910025283636,0.0018502485432494683,0.6223272300558165,0.10259827398455958,1.121875,0.28921964572314623,0.16654781999532126,0.07291835150339923,7.00181360244751,0.04152132273746169,,,,,0.005797089962288679,0.0004888142200101777,0.013939119968563271,0.0029319465179564073,,,,,,,,,,,1.063391025843931,0.0029422233627549965,0.7944531234169905,0.003687826316520609
4.0,CountSketch random projection,10,25177.2,162.56882303265334,155419.0,964.0425301821489,0.00621676,3.85617012072861e-05,15.10632,0.09754129381959206,31.3,1.946506842754191,15.09351857664,0.0,0.1109777955591118,0.0,0.0,0.0,0.02498,0.0015760710643876429,0.9264480569303146,0.004550576532839786,0.8784921060337183,0.006338357218285839,0.43611881996039303,0.06433777876232769,0.059817220014519945,0.01456453262466307,0.14734098999761042,0.012945495491842722,0.00027828000020230996,5.32005941283862e-05,0.07338675993960346,0.035240010469824876,0.22101534001994874,0.04641648645144084,0.03598309995140878,0.0015842921425243649,0.7169420699123293,0.08568376935557936,1.1796875,0.1358666402160998,0.26060142996720964,0.04712851790534882,22.55429983139038,0.02014131076825407,,,,,,,,,0.006170620000921149,0.001122663734009251,0.0811383199645206,0.00880645010053495,0.0421386999543756,0.0038515259207550514,0.012812470062635788,0.00220098448898829,163.0,0.0,0.9999782186885782,4.726817384095598e-06,0.686718318130495,0.0025142587591669707
8.0,Non-random,10,50327.7,155.54066992269225,304326.4,911.3837098975812,0.012173056,3.645534839590307e-05,30.196620000000003,0.09332440195361552,52.5,1.9578900207451224,30.18703715328,0.0,0.1109777955591118,0.0,0.0,0.0,0.00056,0.0003373096170846271,0.9983203783651877,0.0010114163559385323,0.9958098334409341,0.002524012071575996,0.9266760299913586,0.071963814373631,0.17638782998546954,0.008693611703463115,0.0135462299920618,0.0028496757359730094,0.00010283000301567373,1.7607514482260972e-05,0.05567960997577751,0.0049627270327032725,0.06933658004272725,0.006578892631837745,0.03726305998861784,0.0023184374757958845,1.1723925299476832,0.07812441202342804,0.84375,0.11267347735824967,0.11313377004116769,0.00860450837603158,10.488964176177978,0.03129945757446305,,,,,,,,,,,,,,,,,,,1.0000000000000004,5.768888059150692e-16,0.6692529531395861,0.0015910484332089805
8.0,Gaussian random projection,10,50327.7,155.54066992269225,304326.4,911.3837098975812,0.012173056,3.645534839590307e-05,30.196620000000003,0.09332440195361552,52.5,1.9578900207451224,30.18703715328,0.0,0.1109777955591118,0.0,0.0,0.0,0.00076,0.0005059644256269407,0.9977210989066221,0.0015165389535661108,0.9944036164156209,0.0036259266922240452,0.9266760299913586,0.071963814373631,0.17638782998546954,0.008693611703463115,0.24123283997178077,0.016292416282309003,0.00027375002391631,4.1325804849519444e-05,0.054928530030883806,0.003179181757914863,0.2964449499966576,0.017694876048702266,0.03557687995489683,0.0011676286092599261,1.399498980003409,0.07153877135185477,1.0296875,0.13308285391794258,0.33905013999901706,0.017822535130451535,28.782267475128172,0.01044040027221959,,,0.16291362999472764,0.012495343038237437,,,,,,,,,,,,,,,0.9999970311591391,3.714875409034214e-07,0.6676588391524635,0.001701371164397482
