experiment,sweep,x_col,x_value,density_level,rep,seed,n,K,m,rho_n,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,method_wall_sec,algorithm_total_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
EXP-20260506-007_uniform_hsbm_n_rho16_eigsh_methods_matlab,n,n,2000,NaN,1,2451764937,2000,3,3,16,36,4,32,0.000144,1.6e-05,40008,231944,0.057986,0.01242,0.011109375,sparse,0,0,60.012,94,40179.08736,20.08954368,60.26863104,0.110777888944472,Non-random eigs,non_random,0,1,1,0.0046195,0.0223220416666667,0.0458050833333333,eigs,0.010035625,0.000111125,0.0121289583333333,0.0222835416666667,1,0.653418853227003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-007_uniform_hsbm_n_rho16_eigsh_methods_matlab,n,n,2000,NaN,1,2451764937,2000,3,3,16,36,4,32,0.000144,1.6e-05,40008,231944,0.057986,0.01242,0.011109375,sparse,0,0,60.012,94,40179.08736,20.08954368,60.26863104,0.110777888944472,Gaussian RP,gaussian_random_projection,0,1,1,0.00127529166666667,0.04321325,0.0667049583333333,,0.0370189583333333,3.06666666666667e-05,0.00612595833333333,0.0431804166666667,0.999999838937718,0.653253353889302,0.00124183333333333,0.0188693333333333,0.0101073333333333,0.00175704166666667,0.00484275,7.05416666666667e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-007_uniform_hsbm_n_rho16_eigsh_methods_matlab,n,n,2000,NaN,1,2451764937,2000,3,3,16,36,4,32,0.000144,1.6e-05,40008,231944,0.057986,0.01242,0.011109375,sparse,0,0,60.012,94,40179.08736,20.08954368,60.26863104,0.110777888944472,Random sampling,random_sampling,0,1,1,0.000725291666666667,0.020830125,0.0442920416666667,,0.012199125,5.575e-05,0.00850779166666667,0.02077575,1.05372725111685,0.736362101409528,NaN,NaN,NaN,NaN,NaN,NaN,0.00354095833333333,116972,81913,0.7,162436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-007_uniform_hsbm_n_rho16_eigsh_methods_matlab,n,n,2000,NaN,1,2451764937,2000,3,3,16,36,4,32,0.000144,1.6e-05,40008,231944,0.057986,0.01242,0.011109375,sparse,0,0,60.012,94,40179.08736,20.08954368,60.26863104,0.110777888944472,CountSketch RP,countsketch_random_projection,0,1,1,0.000307916666666667,0.0291107083333333,0.05260025,,0.022749,2.5875e-05,0.006296,0.0290755,0.999999779033812,0.653182068058692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000137375,163,3,22,0,0.00144691666666667,0.00907429166666667,0.00884275,0.001744,0.00120229166666667,5.99166666666667e-05
EXP-20260506-007_uniform_hsbm_n_rho16_eigsh_methods_matlab,n,n,2000,NaN,2,2451764938,2000,3,3,16,36,4,32,0.000144,1.6e-05,40419,234252,0.058563,0.006341875,0.00887791666666667,sparse,0,0,60.6285,99,40179.08736,20.08954368,60.26863104,0.110777888944472,Non-random eigs,non_random,0,1,1,0.000264083333333333,0.009539,0.0247236666666667,eigs,0.00288691666666667,2.53333333333333e-05,0.006591625,0.00950754166666667,1,0.654136155615729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-007_uniform_hsbm_n_rho16_eigsh_methods_matlab,n,n,2000,NaN,2,2451764938,2000,3,3,16,36,4,32,0.000144,1.6e-05,40419,234252,0.058563,0.006341875,0.00887791666666667,sparse,0,0,60.6285,99,40179.08736,20.08954368,60.26863104,0.110777888944472,Gaussian RP,gaussian_random_projection,0,1,1,0.000310041666666667,0.0288867083333333,0.044072125,,0.0220735,2.525e-05,0.00675358333333333,0.0288579166666667,0.999999799478346,0.653974230773148,0.00105575,0.009683625,0.00897258333333333,0.001476625,0.000776208333333333,2.25833333333333e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-007_uniform_hsbm_n_rho16_eigsh_methods_matlab,n,n,2000,NaN,2,2451764938,2000,3,3,16,36,4,32,0.000144,1.6e-05,40419,234252,0.058563,0.006341875,0.00887791666666667,sparse,0,0,60.6285,99,40179.08736,20.08954368,60.26863104,0.110777888944472,Random sampling,random_sampling,0,1,1,0.000396583333333333,0.01486725,0.0300376666666667,,0.007497,2.5125e-05,0.00729575,0.0148257916666667,1.05653991408557,0.740696228668152,NaN,NaN,NaN,NaN,NaN,NaN,0.00333325,118126,82779,0.7,164151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-007_uniform_hsbm_n_rho16_eigsh_methods_matlab,n,n,2000,NaN,2,2451764938,2000,3,3,16,36,4,32,0.000144,1.6e-05,40419,234252,0.058563,0.006341875,0.00887791666666667,sparse,0,0,60.6285,99,40179.08736,20.08954368,60.26863104,0.110777888944472,CountSketch RP,countsketch_random_projection,0,1,1,0.000230291666666667,0.0291505833333333,0.0443335416666667,,0.0215404583333333,2.57083333333333e-05,0.00754758333333333,0.029118125,0.999999813950098,0.653969852595047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000106833333333333,163,4,25,0,0.00130995833333333,0.00876191666666667,0.00892541666666667,0.00148229166666667,0.000762125,2.90416666666667e-05
EXP-20260506-007_uniform_hsbm_n_rho16_eigsh_methods_matlab,n,n,2000,NaN,3,2451764939,2000,3,3,16,36,4,32,0.000144,1.6e-05,39871,231324,0.057831,0.005113125,0.00716779166666667,sparse,0,0,59.8065,87,40179.08736,20.08954368,60.26863104,0.110777888944472,Non-random eigs,non_random,0,1,1,0.000426875,0.0100462916666667,0.022297625,eigs,0.0019165,2.20833333333333e-05,0.008078125,0.0100208333333333,1,0.658073542865931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-007_uniform_hsbm_n_rho16_eigsh_methods_matlab,n,n,2000,NaN,3,2451764939,2000,3,3,16,36,4,32,0.000144,1.6e-05,39871,231324,0.057831,0.005113125,0.00716779166666667,sparse,0,0,59.8065,87,40179.08736,20.08954368,60.26863104,0.110777888944472,Gaussian RP,gaussian_random_projection,0,1,1,0.000289333333333333,0.0268660416666667,0.0391190833333333,,0.0224638333333333,2.45e-05,0.00434983333333333,0.0268419166666667,0.999999762659366,0.657951507254832,0.00104675,0.01011175,0.00903304166666667,0.00148079166666667,0.00074875,2.0875e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
