experiment,sweep,x_col,x_value,density_level,rep,seed,n,K,m,rho_n,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,method_wall_sec,algorithm_total_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,NaN,1,220260507,5000,2,3,16,36,4,32,2.304e-05,2.56e-06,158623,931296,0.03725184,0.0314110833333333,0.033739,sparse,0,0,95.1738,133,159840.0384,31.96800768,95.90402304,0.249849969993999,Non-random eigs,non_random,0,1,1,0.026958625,0.0870805833333333,0.1518735,eigs,0.0631062916666667,0.000327,0.023290125,0.086757375,0.999999999999999,0.781404206643535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,NaN,1,220260507,5000,2,3,16,36,4,32,2.304e-05,2.56e-06,158623,931296,0.03725184,0.0314110833333333,0.033739,sparse,0,0,95.1738,133,159840.0384,31.96800768,95.90402304,0.249849969993999,Gaussian RP,gaussian_random_projection,0,1,1,0.00109529166666667,0.0984795,0.163456791666667,,0.0874249583333333,7.47083333333333e-05,0.0108070416666667,0.0983195,0.999999588558671,0.781390653058225,0.00261533333333333,0.0567999583333333,0.0158290416666667,0.00752633333333333,0.004338375,0.000111916666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,NaN,1,220260507,5000,2,3,16,36,4,32,2.304e-05,2.56e-06,158623,931296,0.03725184,0.0314110833333333,0.033739,sparse,0,0,95.1738,133,159840.0384,31.96800768,95.90402304,0.249849969993999,Random sampling,random_sampling,0,1,1,0.001155125,0.0351137916666667,0.100102458333333,,0.0240174166666667,0.000143458333333333,0.0107915,0.0349693333333333,1.05870925705462,0.855779219475912,NaN,NaN,NaN,NaN,NaN,NaN,0.0133961666666667,468148,327566,0.7,651554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,NaN,1,220260507,5000,2,3,16,36,4,32,2.304e-05,2.56e-06,158623,931296,0.03725184,0.0314110833333333,0.033739,sparse,0,0,95.1738,133,159840.0384,31.96800768,95.90402304,0.249849969993999,CountSketch RP,countsketch_random_projection,0,1,1,0.000982416666666667,0.0894049166666667,0.154399416666667,,0.0815767083333333,9.1375e-05,0.00758125,0.0892632916666667,0.999999640860362,0.781387937869751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000235458333333333,162,16,47,0,0.00209258333333333,0.0511133333333333,0.015440625,0.007557875,0.00469495833333333,0.000159791666666667
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,NaN,2,220260508,5000,2,3,16,36,4,32,2.304e-05,2.56e-06,160403,941252,0.03765008,0.0167055416666667,0.029515,sparse,0,0,96.2418,134,159840.0384,31.96800768,95.90402304,0.249849969993999,Non-random eigs,non_random,0,1,1,0.00109383333333333,0.015865125,0.0619330833333333,eigs,0.00862208333333333,0.00010975,0.00698070833333333,0.0157260416666667,1,0.782436841469068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,NaN,2,220260508,5000,2,3,16,36,4,32,2.304e-05,2.56e-06,160403,941252,0.03765008,0.0167055416666667,0.029515,sparse,0,0,96.2418,134,159840.0384,31.96800768,95.90402304,0.249849969993999,Gaussian RP,gaussian_random_projection,0,1,1,0.001080875,0.0922383333333333,0.138297958333333,,0.0858033333333333,7.74166666666667e-05,0.00619666666666667,0.0920879583333333,0.999999686621153,0.782420189666231,0.00253145833333333,0.0569905833333333,0.0164484583333333,0.00741158333333333,0.0022225,0.000105833333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,NaN,2,220260508,5000,2,3,16,36,4,32,2.304e-05,2.56e-06,160403,941252,0.03765008,0.0167055416666667,0.029515,sparse,0,0,96.2418,134,159840.0384,31.96800768,95.90402304,0.249849969993999,Random sampling,random_sampling,0,1,1,0.001183375,0.0240030833333333,0.070076875,,0.0171047083333333,8.40833333333333e-05,0.00666754166666667,0.0238694166666667,1.05152966497089,0.850588806327611,NaN,NaN,NaN,NaN,NaN,NaN,0.0116437916666667,473126,331382,0.7,659320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,NaN,2,220260508,5000,2,3,16,36,4,32,2.304e-05,2.56e-06,160403,941252,0.03765008,0.0167055416666667,0.029515,sparse,0,0,96.2418,134,159840.0384,31.96800768,95.90402304,0.249849969993999,CountSketch RP,countsketch_random_projection,0,1,1,0.00119279166666667,0.0883663333333333,0.134434625,,0.0817499166666667,7.29166666666667e-05,0.00639125,0.088226,0.999999703648277,0.782422500514007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000116208333333333,162,19,45,0,0.00545854166666667,0.0505189166666667,0.01599325,0.00734933333333333,0.00207479166666667,0.00011475
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,NaN,3,220260509,5000,2,3,16,36,4,32,2.304e-05,2.56e-06,159925,938438,0.03753752,0.016449375,0.0253355,sparse,0,0,95.955,131,159840.0384,31.96800768,95.90402304,0.249849969993999,Non-random eigs,non_random,0,1,1,0.001214375,0.0133869583333333,0.055010875,eigs,0.006577375,8.35e-05,0.006565125,0.0132404166666667,1,0.782027514132172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,NaN,3,220260509,5000,2,3,16,36,4,32,2.304e-05,2.56e-06,159925,938438,0.03753752,0.016449375,0.0253355,sparse,0,0,95.955,131,159840.0384,31.96800768,95.90402304,0.249849969993999,Gaussian RP,gaussian_random_projection,0,1,1,0.00108166666666667,0.0917329166666667,0.133391583333333,,0.0859354166666667,8.6125e-05,0.00558516666666667,0.0916188333333333,0.999999623907773,0.782009873324537,0.00254983333333333,0.0566728333333333,0.0163677916666667,0.00748829166666667,0.00259579166666667,0.00016375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
