experiment,sweep,x_col,x_value,method,reps,non_random_spectral_sec_mean,spectral_speedup_vs_non_random,n_mean,n_std,K_mean,K_std,rho_n_mean,rho_n_std,a_in_mean,a_in_std,b_out_mean,b_out_std,signal_gap_mean,signal_gap_std,p_in_mean,p_in_std,p_out_mean,p_out_std,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,num_isolated_nodes_mean,num_isolated_nodes_std,isolated_fraction_mean,isolated_fraction_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_hyperedges_total_mean,expected_hyperedges_total_std,expected_hyperedges_per_n_mean,expected_hyperedges_per_n_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,misclassification_rate_mean,misclassification_rate_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,method_wall_sec_mean,method_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_sampled_upper_nnz_mean,rs_sampled_upper_nnz_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,Non-random eigs,10,0.0194705583333333,1,5000,0,2,0,16,0,36,0,4,0,32,0,2.304e-05,0,2.56e-06,4.46425561088143e-22,159913.5,513.960061137482,938548.4,2904.59755101001,0.037541936,0.0001161839020404,0,0,0,0,95.9481,0.308376036682489,133.1,2.37814119756493,159840.0384,3.06781309595524e-11,31.96800768,3.74488903314848e-15,95.90402304,1.49795561325939e-14,0.249849969993999,0,0,0,1,0,1,0,0.0185434666666667,0.00469838827737932,0.027617,0.00300804960804247,0.0123074166666667,0.0178633177077434,0.000123154166666667,7.97600835617914e-05,0.00702444583333333,0.00581464059014267,0.0194705583333333,0.0236963740378511,0.00362207916666667,0.00820931141384272,0.019602925,0.0237644010836483,0.0656154833333333,0.0304252284055546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3.98582264018788e-16,0.781247851121619,0.00100033167337094
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,Gaussian RP,10,0.0194705583333333,0.21084225473822,5000,0,2,0,16,0,36,0,4,0,32,0,2.304e-05,0,2.56e-06,4.46425561088143e-22,159913.5,513.960061137482,938548.4,2904.59755101001,0.037541936,0.0001161839020404,0,0,0,0,95.9481,0.308376036682489,133.1,2.37814119756493,159840.0384,3.06781309595524e-11,31.96800768,3.74488903314848e-15,95.90402304,1.49795561325939e-14,0.249849969993999,0,0,0,1,0,1,0,0.0185434666666667,0.00469838827737932,0.027617,0.00300804960804247,0.0866733375,0.00075470367632767,9.49958333333333e-05,2.40993590951356e-05,0.00555929166666667,0.00198742369088308,0.0923465666666667,0.00216557230332444,0.000965333333333333,0.000417164279709364,0.0924795,0.002179262852845,0.138488091666667,0.00900865372695305,0.0575926583333333,0.000900034839817772,0.016409825,0.00031101934646169,0.0074502,0.000103428942850325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999644799582,3.06419637659037e-08,0.781230788251892,0.00100027155060607
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,Random sampling,10,0.0194705583333333,0.831934412804102,5000,0,2,0,16,0,36,0,4,0,32,0,2.304e-05,0,2.56e-06,4.46425561088143e-22,159913.5,513.960061137482,938548.4,2904.59755101001,0.037541936,0.0001161839020404,0,0,0,0,95.9481,0.308376036682489,133.1,2.37814119756493,159840.0384,3.06781309595524e-11,31.96800768,3.74488903314848e-15,95.90402304,1.49795561325939e-14,0.249849969993999,0,0,0,1,0,1,0,0.0185434666666667,0.00469838827737932,0.027617,0.00300804960804247,0.01726085,0.0024381038410173,9.68583333333333e-05,2.24184323963811e-05,0.00603205,0.00210678450519073,0.0234039583333333,0.00436406612903913,0.000841379166666667,0.000285371272714853,0.0235225958333333,0.00437779392468513,0.069550225,0.0109762347636029,NaN,NaN,NaN,NaN,NaN,NaN,0.0111868625,0.000877310676537929,330168.4,1214.20071560586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.05462003329368,0.00302834016486802,0.852090904853003,0.00328256204820737
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,2,CountSketch RP,10,0.0194705583333333,0.223170890998368,5000,0,2,0,16,0,36,0,4,0,32,0,2.304e-05,0,2.56e-06,4.46425561088143e-22,159913.5,513.960061137482,938548.4,2904.59755101001,0.037541936,0.0001161839020404,0,0,0,0,95.9481,0.308376036682489,133.1,2.37814119756493,159840.0384,3.06781309595524e-11,31.96800768,3.74488903314848e-15,95.90402304,1.49795561325939e-14,0.249849969993999,0,0,0,1,0,1,0,0.0185434666666667,0.00469838827737932,0.027617,0.00300804960804247,0.0819668875,0.00150546054128871,9.32291666666667e-05,2.23082557691757e-05,0.0051714125,0.00135737372225033,0.0872450625,0.00151232855512989,0.000830770833333333,0.000224496038186124,0.0873650708333333,0.00152220726156603,0.133391995833333,0.00775500761894705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00437858333333333,0.00200969956276099,0.05130995,0.000667930092111091,0.0160701916666667,0.000372796869439911,0.007524475,0.000126140054498028,162,0,0.99999966952735,3.39586421763864e-08,0.781229273824269,0.0010018532290879
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,4,Non-random eigs,10,0.0250882208333333,1,5000,0,4,0,16,0,36,0,4,0,32,0,2.304e-05,0,2.56e-06,4.46425561088143e-22,79887.6,252.341567457022,478247.2,1399.97942842029,0.019129888,5.59991771368113e-05,0,0,0,0,47.93256,0.151404940474213,76,2.90593262902712,79904.0384,1.53390654797762e-11,15.98080768,0,47.94242304,0,0.0623875075135075,7.31423639286813e-18,0.000960000000000005,0.000514673575083197,0.997441069299598,0.00137105096007307,0.994537274418412,0.00283268879285936,0.0109464708333333,0.0015158636974503,0.0145937541666667,0.000525750078683151,0.0061228125,0.00130033295093044,9.35e-05,3.25750617046496e-05,0.0188563541666667,0.00211266874492687,0.0250882208333333,0.00199469715669644,0.0008495375,0.000276392857627843,0.025200925,0.00198741106115546,0.0506128916666667,0.00204682976160545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5.272747737974e-16,0.576949740293785,0.00171738906990826
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,4,Gaussian RP,10,0.0250882208333333,0.333084767001426,5000,0,4,0,16,0,36,0,4,0,32,0,2.304e-05,0,2.56e-06,4.46425561088143e-22,79887.6,252.341567457022,478247.2,1399.97942842029,0.019129888,5.59991771368113e-05,0,0,0,0,47.93256,0.151404940474213,76,2.90593262902712,79904.0384,1.53390654797762e-11,15.98080768,0,47.94242304,0,0.0623875075135075,7.31423639286813e-18,0.00276,0.000908233939516074,0.992651900670572,0.00241538097556821,0.985022774135438,0.00465391252642417,0.0109464708333333,0.0015158636974503,0.0145937541666667,0.000525750078683151,0.0551559583333333,0.0028125213962835,9.54541666666667e-05,3.66107815383075e-05,0.0199947666666667,0.00383841976336408,0.0753208291666666,0.00534756233995697,0.000916058333333333,0.000537916472731411,0.0754123416666667,0.00542355836330161,0.100786404166667,0.00569085541904574,0.029485075,0.00179769818774687,0.01640595,0.000433856676852371,0.0043809875,8.65681354296098e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99999897278073,1.08401923582882e-07,0.571709270880392,0.00197996452419943
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,4,Random sampling,10,0.0250882208333333,0.750937865886176,5000,0,4,0,16,0,36,0,4,0,32,0,2.304e-05,0,2.56e-06,4.46425561088143e-22,79887.6,252.341567457022,478247.2,1399.97942842029,0.019129888,5.59991771368113e-05,0,0,0,0,47.93256,0.151404940474213,76,2.90593262902712,79904.0384,1.53390654797762e-11,15.98080768,0,47.94242304,0,0.0623875075135075,7.31423639286813e-18,0.00948,0.00132060592153752,0.974876538532591,0.00347788667444201,0.954790702303034,0.00555756122331426,0.0109464708333333,0.0015158636974503,0.0145937541666667,0.000525750078683151,0.0137086375,0.00263485193708173,8.93041666666667e-05,3.78579064939537e-05,0.0195498291666667,0.00140164574240806,0.0334091833333333,0.002883364930262,0.000786208333333333,0.00027368882427104,0.0335275416666667,0.0030028860604641,0.0588879958333333,0.00402853615448752,NaN,NaN,NaN,NaN,NaN,NaN,0.00576638333333333,0.000219313924616893,169091.1,638.823649809206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.05668496372532,0.00147341296847998,0.679910321237122,0.00180694524786804
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,4,CountSketch RP,10,0.0250882208333333,0.355410702424485,5000,0,4,0,16,0,36,0,4,0,32,0,2.304e-05,0,2.56e-06,4.46425561088143e-22,79887.6,252.341567457022,478247.2,1399.97942842029,0.019129888,5.59991771368113e-05,0,0,0,0,47.93256,0.151404940474213,76,2.90593262902712,79904.0384,1.53390654797762e-11,15.98080768,0,47.94242304,0,0.0623875075135075,7.31423639286813e-18,0.00302000000000002,0.000999777753080932,0.991961482923188,0.00265676233400322,0.983768587554357,0.00506647534196062,0.0109464708333333,0.0015158636974503,0.0145937541666667,0.000525750078683151,0.0504181125,0.00134751214077681,0.0001123375,6.70328325268601e-05,0.0200081708333333,0.00446928733735035,0.0705893791666667,0.00458682622871319,0.000760045833333333,0.000286822380761526,0.0706689166666667,0.00460033322540033,0.0960788458333333,0.00546795286585658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00196699166666667,0.00130967839634463,0.0258688958333333,0.000343316304554552,0.0165267208333333,0.000413456793021007,0.00432455833333333,9.73936250987535e-05,164,0,0.999998963425089,1.24865766714941e-07,0.571444274038827,0.00198910956384641
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,6,Non-random eigs,10,0.048468225,1,5000,0,6,0,16,0,36,0,4,0,32,0,2.304e-05,0,2.56e-06,4.46425561088143e-22,65126.2,249.542158540173,392253.4,1486.35214909224,0.015690136,5.94540859636894e-05,0,0,0,0,39.07572,0.149725295124103,64,2.3094010767585,65110.56828416,0,13.022113656832,0,39.066340970496,0,0.02769449889978,0,0.12032,0.00788652859839698,0.73210309686329,0.0161438957614572,0.688971478762559,0.0155947688475443,0.00802085416666667,0.000706983248566653,0.0115748958333333,0.000246195497705132,0.0094205625,0.000736283350197836,0.0001712125,0.000260950802924743,0.0388324708333333,0.00285813501012993,0.048468225,0.00332639108670769,0.000961954166666667,0.00017759882209293,0.0484956333333333,0.00332598462208218,0.0680199958333333,0.00369587542756781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3.02918903733738e-16,0.503984983856647,0.000839150653560826
EXP-20260506-008_uniform_hsbm_K_rho16_eigsh_methods_matlab,K,K,6,Gaussian RP,10,0.048468225,0.374951843187494,5000,0,6,0,16,0,36,0,4,0,32,0,2.304e-05,0,2.56e-06,4.46425561088143e-22,65126.2,249.542158540173,392253.4,1486.35214909224,0.015690136,5.94540859636894e-05,0,0,0,0,39.07572,0.149725295124103,64,2.3094010767585,65110.56828416,0,13.022113656832,0,39.066340970496,0,0.02769449889978,0,0.31706,0.0111984324299827,0.384632520633848,0.0166562330946366,0.37016759067268,0.0146908487650731,0.00802085416666667,0.000706983248566653,0.0115748958333333,0.000246195497705132,0.0503716625,0.000636649267277881,0.000108916666666667,3.54139269092797e-05,0.078773925,0.00614287667689924,0.1292652,0.00587874697116026,0.00101389583333333,0.000276784109004988,0.12929505,0.00588033179702751,0.148850254166667,0.00618279303371094,0.0257920708333333,0.000371233303886319,0.0165094416666667,0.000495806589381459,0.0040137,9.01943520514191e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999998334680203,1.49866733325012e-07,0.480879455239805,0.00115813827942045
