experiment,sweep,x_col,x_value,density_level,rep,seed,n,K,m,rho_n,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,method_wall_sec,algorithm_total_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
EXP-20260506-009_uniform_hsbm_rho_eigsh_methods_matlab,rho_n,rho_n,2,NaN,1,220260507,5000,3,3,2,36,4,32,2.88e-06,3.2e-07,12404,79250,0.00317,0.00484608333333333,0.00460979166666667,sparse,2,0.0004,7.4424,21,12577.9321472,2.51558642944,7.54675928832,0.110977795559112,Non-random eigs,non_random,0.1086,0.700712568152127,0.619137372260565,0.000430666666666667,0.034007125,0.0434174583333333,eigs,0.0121960833333333,6.3875e-05,0.021701625,0.0339690416666667,1,0.743190610261096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-009_uniform_hsbm_rho_eigsh_methods_matlab,rho_n,rho_n,2,NaN,1,220260507,5000,3,3,2,36,4,32,2.88e-06,3.2e-07,12404,79250,0.00317,0.00484608333333333,0.00460979166666667,sparse,2,0.0004,7.4424,21,12577.9321472,2.51558642944,7.54675928832,0.110977795559112,Gaussian RP,gaussian_random_projection,0.146,0.609845913344701,0.529889915530295,0.000462375,0.0536245833333333,0.0630395833333333,,0.0278955416666667,7.1875e-05,0.0256162916666667,0.0535897916666667,0.999653480354776,0.729872601940853,0.002633125,0.00660558333333333,0.0145814583333333,0.001941875,0.00192816666666667,0.000164916666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-009_uniform_hsbm_rho_eigsh_methods_matlab,rho_n,rho_n,2,NaN,1,220260507,5000,3,3,2,36,4,32,2.88e-06,3.2e-07,12404,79250,0.00317,0.00484608333333333,0.00460979166666667,sparse,2,0.0004,7.4424,21,12577.9321472,2.51558642944,7.54675928832,0.110977795559112,Random sampling,random_sampling,0.5678,0.0448819979030225,0.0399625327919304,0.0003455,0.0621104583333333,0.07150525,,0.0135743333333333,6.18333333333333e-05,0.0484132083333333,0.062057875,1.08045786784654,0.880242903629895,NaN,NaN,NaN,NaN,NaN,NaN,0.001287875,42124,29575,0.7,55598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-009_uniform_hsbm_rho_eigsh_methods_matlab,rho_n,rho_n,2,NaN,1,220260507,5000,3,3,2,36,4,32,2.88e-06,3.2e-07,12404,79250,0.00317,0.00484608333333333,0.00460979166666667,sparse,2,0.0004,7.4424,21,12577.9321472,2.51558642944,7.54675928832,0.110977795559112,CountSketch RP,countsketch_random_projection,0.1522,0.595547582967963,0.516367280492193,0.000556416666666667,0.054081,0.0634874583333333,,0.0274474166666667,6.775e-05,0.0265164166666667,0.054038,0.999715437587998,0.729348726729695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000288583333333333,163,18,44,0,0.002190875,0.00598458333333333,0.0150546666666667,0.002908375,0.000812833333333333,0.000160625
EXP-20260506-009_uniform_hsbm_rho_eigsh_methods_matlab,rho_n,rho_n,2,NaN,2,220260508,5000,3,3,2,36,4,32,2.88e-06,3.2e-07,12712,81107,0.00324428,0.00225491666666667,0.00287225,sparse,1,0.0002,7.6272,22,12577.9321472,2.51558642944,7.54675928832,0.110977795559112,Non-random eigs,non_random,0.1066,0.705836789179847,0.6247908557622,0.000330208333333333,0.0252684166666667,0.03035875,eigs,0.0045365,5.65833333333333e-05,0.0206385,0.0252390833333333,1,0.738785640414062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-009_uniform_hsbm_rho_eigsh_methods_matlab,rho_n,rho_n,2,NaN,2,220260508,5000,3,3,2,36,4,32,2.88e-06,3.2e-07,12712,81107,0.00324428,0.00225491666666667,0.00287225,sparse,1,0.0002,7.6272,22,12577.9321472,2.51558642944,7.54675928832,0.110977795559112,Gaussian RP,gaussian_random_projection,0.1528,0.594426689127016,0.516403801418055,0.000338833333333333,0.0522444166666667,0.0573329583333333,,0.027913625,6.17083333333333e-05,0.0242304583333333,0.0522118333333333,0.999755184136437,0.72553639264682,0.00255283333333333,0.00690675,0.01559925,0.00192245833333333,0.00075375,0.000147875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-009_uniform_hsbm_rho_eigsh_methods_matlab,rho_n,rho_n,2,NaN,2,220260508,5000,3,3,2,36,4,32,2.88e-06,3.2e-07,12712,81107,0.00324428,0.00225491666666667,0.00287225,sparse,1,0.0002,7.6272,22,12577.9321472,2.51558642944,7.54675928832,0.110977795559112,Random sampling,random_sampling,0.3912,0.245063775763947,0.240411607009048,0.000337166666666667,0.0811395833333333,0.08621375,,0.0108256666666667,6.14583333333333e-05,0.0701994583333333,0.0810934166666667,1.07896762348946,0.872168900151974,NaN,NaN,NaN,NaN,NaN,NaN,0.00121316666666667,43053,30167,0.7,56790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-009_uniform_hsbm_rho_eigsh_methods_matlab,rho_n,rho_n,2,NaN,2,220260508,5000,3,3,2,36,4,32,2.88e-06,3.2e-07,12712,81107,0.00324428,0.00225491666666667,0.00287225,sparse,1,0.0002,7.6272,22,12577.9321472,2.51558642944,7.54675928832,0.110977795559112,CountSketch RP,countsketch_random_projection,0.1428,0.61800963342393,0.538430736151208,0.000394291666666667,0.0532706666666667,0.058348875,,0.027743125,6.45416666666667e-05,0.0254140416666667,0.053229375,0.999790240727458,0.725599900679033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000125416666666667,163,18,43,0,0.001415375,0.00654679166666667,0.01685525,0.00187266666666667,0.000748875,0.000144916666666667
EXP-20260506-009_uniform_hsbm_rho_eigsh_methods_matlab,rho_n,rho_n,2,NaN,3,220260509,5000,3,3,2,36,4,32,2.88e-06,3.2e-07,12434,79419,0.00317676,0.00194641666666667,0.002637375,sparse,5,0.001,7.4604,18,12577.9321472,2.51558642944,7.54675928832,0.110977795559112,Non-random eigs,non_random,0.1044,0.711137951836825,0.630252338185137,0.000306958333333333,0.0218146666666667,0.0263684583333333,eigs,0.00452833333333333,6.4625e-05,0.0171917083333333,0.0217903333333333,1,0.742196202065632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXP-20260506-009_uniform_hsbm_rho_eigsh_methods_matlab,rho_n,rho_n,2,NaN,3,220260509,5000,3,3,2,36,4,32,2.88e-06,3.2e-07,12434,79419,0.00317676,0.00194641666666667,0.002637375,sparse,5,0.001,7.4604,18,12577.9321472,2.51558642944,7.54675928832,0.110977795559112,Gaussian RP,gaussian_random_projection,0.1422,0.618643594552373,0.539424552335129,0.000331916666666667,0.0508372083333333,0.0553885416666667,,0.0278802916666667,6.79583333333333e-05,0.0228565,0.0508089583333333,0.999679037567348,0.727801261690887,0.002547625,0.00699733333333333,0.0154099583333333,0.00198575,0.000771458333333333,0.000142166666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
