n,rep,seed,K,m_values,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_laplacian_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,hypergraph_degree_mean,hypergraph_degree_max,zhou_laplacian_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in_m2,p_out_m2,num_edges_m2,sampling_m2,p_in_m3,p_out_m3,num_edges_m3,sampling_m3,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
200,1,220261026,3,"2,3",1240,0.01,0.9700015680998493,0.9526893130045085,0.08805570000004082,0.015595199998642784,1.9158467999986897,0.013517900000806549,0,13.58,21.0,3510,0.012761899999532034,0.00011960000119870529,1.9029535999998188,2.019485999999233,0.12,0.015,1004,sparse,0.0009,0.0001,236,sparse,0.53125,2.042201099999147,0.44739627838134766,204.7265625,206.08984375,1.36328125
200,2,220261027,3,"2,3",1279,0.005,0.9848865697285946,0.9763112474994169,0.10432440000113274,0.012342899999566725,0.13970660000086355,0.011251100000663428,0,13.945,25.0,3528,0.016446999999971013,0.00011530000119819306,0.12313510000058159,0.25636470000245026,0.12,0.015,1048,sparse,0.0009,0.0001,231,sparse,0.40625,0.27591260000008333,0.32147789001464844,206.09375,206.265625,0.171875
200,3,220261028,3,"2,3",1172,0.005,0.9848865697285946,0.9763112474994169,0.08098229999995965,0.007356699999945704,0.05719849999877624,0.008732300000701798,0,12.885,23.0,3336,0.006812300000092364,5.8000001445179805e-05,0.0503223000014259,0.1455316000028688,0.12,0.015,939,sparse,0.0009,0.0001,233,sparse,0.296875,0.16097199999967415,0.2982616424560547,206.265625,206.32421875,0.05859375
200,4,220261029,3,"2,3",1180,0.01,0.9701186618614143,0.952719949640242,0.06918769999901997,0.007231499999761581,0.06423660000109521,0.010757799998827977,0,12.985,28.0,3374,0.006869000000733649,6.550000034621917e-05,0.057296900000437745,0.14065060000029916,0.12,0.015,943,sparse,0.0009,0.0001,237,sparse,0.375,0.15989269999954558,0.3001060485839844,206.328125,206.47265625,0.14453125
200,5,220261030,3,"2,3",1207,0.0,1.0,1.0,0.08085579999897163,0.007336700000450946,0.0666257000011683,0.011656300001050113,0,13.28,28.0,3432,0.0082550999995874,8.340000022144523e-05,0.058281599998736056,0.15481259999796748,0.12,0.015,965,sparse,0.0009,0.0001,242,sparse,0.265625,0.17570850000083738,0.3068084716796875,206.47265625,206.515625,0.04296875
200,6,220261031,3,"2,3",1266,0.0,1.0,1.0,0.08161380000092322,0.007734299999356153,0.05977300000085961,0.008733299999221344,0,13.92,28.0,3602,0.007857199998397846,6.439999924623407e-05,0.051845800000592135,0.1491154999985156,0.12,0.015,1014,sparse,0.0009,0.0001,252,sparse,0.28125,0.16442769999957818,0.32016563415527344,206.515625,206.55859375,0.04296875
200,7,220261032,3,"2,3",1207,0.01,0.9699992499812495,0.952692036603173,0.09561150000081398,0.010187200001382735,0.12929729999996198,0.00908290000006673,0,13.225,22.0,3380,0.012694600000031642,7.899999945948366e-05,0.11651929999970889,0.23509160000139673,0.12,0.015,976,sparse,0.0009,0.0001,231,sparse,0.375,0.2536452000003919,0.3057079315185547,206.55859375,206.671875,0.11328125
200,8,220261033,3,"2,3",1238,0.005,0.9850007840499246,0.9763449138590039,0.08628040000075998,0.006937199999811128,0.06668809999973746,0.009676400000898866,0,13.53,25.0,3440,0.010523999999350053,9.11999995878432e-05,0.05606620000071416,0.15989900000022317,0.12,0.015,1008,sparse,0.0009,0.0001,230,sparse,0.28125,0.1766367000000173,0.3122425079345703,206.671875,206.71875,0.046875
200,9,220261034,3,"2,3",1339,0.005,0.9849996249906248,0.9763460183015862,0.12039009999898553,0.008904300000722287,0.09963290000087,0.009966300000087358,0,14.715,25.0,3764,0.010658200000762008,0.00010680000013962854,0.08886010000060196,0.22891950000121142,0.12,0.015,1074,sparse,0.0009,0.0001,265,sparse,0.484375,0.24822730000050797,0.33707237243652344,206.71875,206.7421875,0.0234375
200,10,220261035,3,"2,3",1236,0.005,0.9849996249906248,0.9763460183015862,0.0871383000012429,0.009618000000045868,0.07667279999986931,0.010850299999219715,0,13.52,24.0,3466,0.010709199999837438,7.03999994584592e-05,0.06588720000036119,0.17342310000094585,0.12,0.015,1004,sparse,0.0009,0.0001,232,sparse,0.421875,0.19316869999966002,0.31344032287597656,206.7421875,207.0234375,0.28125
400,1,420261626,3,"2,3",2535,0.01,0.9701248594332711,0.9495433638163343,0.20871489999990445,0.014523300000291783,0.08995119999963208,0.011626699999396806,0,13.9725,24.0,7388,0.009557700001096237,0.000121900000522146,0.08026280000012775,0.31318060000194237,0.06,0.0075,2016,sparse,0.000225,2.5e-05,519,sparse,0.484375,0.3418007000000216,0.6876459121704102,207.38671875,207.9765625,0.58984375
400,2,420261627,3,"2,3",2444,0.0,1.0,1.0,0.18849720000071102,0.018268399999215035,0.10542759999952978,0.01051990000087244,0,13.4825,26.0,7110,0.011522300001161057,0.00010039999870059546,0.09379789999911736,0.31218619999890507,0.06,0.0075,1939,sparse,0.000225,2.5e-05,505,sparse,0.609375,0.33585420000054,0.6658992767333984,207.9765625,208.0625,0.0859375
400,3,420261628,3,"2,3",2459,0.0025,0.9924811087858244,0.9865873231517183,0.1738827000008314,0.014904600000591017,0.0928141999993386,0.015362600001026294,0,13.445,24.0,7002,0.008447399999568006,0.00010959999963233713,0.08425010000064503,0.2815944000012678,0.06,0.0075,1999,sparse,0.000225,2.5e-05,460,sparse,0.515625,0.3164648000001762,0.6633119583129883,208.0625,208.2578125,0.1953125
400,4,420261629,3,"2,3",2367,0.0125,0.9626330983879188,0.9361405558356944,0.18219829999907233,0.015559099998426973,0.09267879999970319,0.011524600000484497,0,13.005,23.0,6844,0.013786699999400298,0.00015970000094966963,0.07872339999994438,0.29042719999779365,0.06,0.0075,1899,sparse,0.000225,2.5e-05,468,sparse,0.609375,0.31961130000127014,0.6456823348999023,208.2578125,208.3046875,0.046875
400,5,420261630,3,"2,3",2416,0.005,0.9849906269150377,0.9731829718927001,0.21105069999975967,0.020636500001273816,0.10480339999958233,0.012701000001470675,0,13.325,26.0,7026,0.014321900000140886,9.850000060396269e-05,0.09037480000006326,0.3364824000018416,0.06,0.0075,1918,sparse,0.000225,2.5e-05,498,sparse,0.53125,0.36322199999995064,0.6588563919067383,208.3046875,208.47265625,0.16796875
400,6,420261631,3,"2,3",2495,0.0,1.0,1.0,0.19523339999977907,0.015506199999435921,0.0769309000006615,0.011285599999609985,0,13.705,25.0,7180,0.009883099999569822,0.00010209999891230837,0.06693819999964035,0.28766299999733747,0.06,0.0075,2003,sparse,0.000225,2.5e-05,492,sparse,0.578125,0.3163133999987622,0.6762847900390625,208.47265625,208.4765625,0.00390625
400,7,420261632,3,"2,3",2518,0.005,0.9849625037770403,0.9731742528716306,0.1727429000002303,0.013074399999823072,0.06660110000120767,0.010614599999826169,0,13.81,25.0,7204,0.008006599999134778,0.00010969999857479706,0.05847720000019763,0.25241079999796057,0.06,0.0075,2030,sparse,0.000225,2.5e-05,488,sparse,0.578125,0.27628090000143857,0.6832914352416992,208.48046875,208.5,0.01953125
400,8,420261633,3,"2,3",2426,0.01,0.9699290138195589,0.9526193666448359,0.1904247000002215,0.0118265999990399,0.0796344999998837,0.010242499998639687,0,13.335,24.0,7008,0.0077819999987696065,0.00013840000065101776,0.07169730000168784,0.28186900000036985,0.06,0.0075,1944,sparse,0.000225,2.5e-05,482,sparse,0.6875,0.30753610000101617,0.6598958969116211,208.5,208.51171875,0.01171875
400,9,420261634,3,"2,3",2531,0.01,0.9700974489657005,0.953845508226731,0.21027509999839822,0.014466500000708038,0.07553179999922577,0.012758499999108608,0,13.8825,27.0,7264,0.010961199999655946,8.970000089902896e-05,0.06447549999938929,0.3002679999990505,0.06,0.0075,2040,sparse,0.000225,2.5e-05,491,sparse,0.59375,0.32767430000058084,0.6832342147827148,208.51171875,208.51953125,0.0078125
400,10,420261635,3,"2,3",2501,0.0025,0.9924812518885201,0.9865871583586302,0.16920820000086678,0.011817099999461789,0.07135879999987083,0.011427999999796157,0,13.8,24.0,7298,0.008650499999930616,9.510000018053688e-05,0.06260809999912453,0.25237899999956426,0.06,0.0075,1983,sparse,0.000225,2.5e-05,518,sparse,0.546875,0.2781670000003942,0.6787815093994141,208.51953125,208.54296875,0.0234375
800,1,820262826,3,"2,3",4931,0.01,0.9701350807847122,0.9469794251983162,0.33651970000028086,0.023060699999405188,0.0950369000001956,0.014869900000121561,0,13.5775,25.0,14500,0.009904200000164565,7.960000039020088e-05,0.08504720000019006,0.4546114000004309,0.03,0.00375,3931,sparse,5.625e-05,6.25e-06,1000,sparse,0.828125,0.5080582999999024,1.4280595779418945,208.5625,210.60546875,2.04296875
800,2,820262827,3,"2,3",5043,0.00375,0.9887640801882362,0.9775257501307192,0.455290399999285,0.035616299999674084,0.11598380000032193,0.0163390999987314,0,13.9175,25.0,14924,0.0163752000007662,0.00014059999921300914,0.09945949999928416,0.6068819999982225,0.03,0.00375,3995,sparse,5.625e-05,6.25e-06,1048,sparse,0.8125,0.6585093000012421,1.460942268371582,210.60546875,211.21875,0.61328125
800,3,820262828,3,"2,3",4966,0.01125,0.9664416142591491,0.942049982196822,0.4312608000000182,0.0310222000007343,0.09947300000021642,0.015482599999813829,0,13.69375,28.0,14616,0.011406199999328237,0.0001109000004362315,0.08794970000053581,0.5617498000010528,0.03,0.00375,3943,sparse,5.625e-05,6.25e-06,1023,sparse,1.140625,0.6097091999999975,1.4392776489257812,211.21875,211.44921875,0.23046875
800,4,820262829,3,"2,3",4972,0.005,0.9850213000637493,0.9716078162901911,0.3928378000000521,0.023693299999649753,0.08933129999968514,0.0147250999998505,0,13.64,29.0,14456,0.01112710000052175,0.00017020000086631626,0.07802540000011504,0.505853800001205,0.03,0.00375,4004,sparse,5.625e-05,6.25e-06,968,sparse,0.953125,0.549112900000182,1.4376964569091797,211.44921875,211.5390625,0.08984375
800,5,820262830,3,"2,3",5072,0.0075,0.977577555506652,0.956639452292579,0.408716000001732,0.027203600000575534,0.07975880000049074,0.01318150000042806,0,13.8775,28.0,14598,0.01020799999969313,0.00011450000056356657,0.06942940000044473,0.515671500003009,0.03,0.00375,4114,sparse,5.625e-05,6.25e-06,958,sparse,0.96875,0.5567342999984248,1.464442253112793,211.5390625,211.55859375,0.01953125
800,6,820262831,3,"2,3",4916,0.00375,0.988750088682924,0.9790943756507086,0.3711571999992884,0.022325199999613687,0.08466220000082103,0.014629499999500695,0,13.54375,27.0,14460,0.009478699999817763,7.450000157405157e-05,0.07510320000073989,0.4781388000010338,0.03,0.00375,3913,sparse,5.625e-05,6.25e-06,1003,sparse,0.84375,0.5278472999998485,1.4247150421142578,211.55859375,211.796875,0.23828125
800,7,820262832,3,"2,3",4967,0.00375,0.9887640801882362,0.9775257501307192,0.4254628999988199,0.021859399999812013,0.09229849999974249,0.014815000000453438,0,13.6475,29.0,14518,0.010102500000357395,0.00010100000145030208,0.08208870000089519,0.5396145000013348,0.03,0.00375,3983,sparse,5.625e-05,6.25e-06,984,sparse,0.875,0.5882234999990033,1.4353876113891602,211.796875,211.83203125,0.03515625
800,8,820262833,3,"2,3",5040,0.01,0.9701694080865505,0.945418459694452,0.3770169999988866,0.02839459999995597,0.10911760000089998,0.013808699999572127,0,13.85875,26.0,14720,0.01126499999918451,0.0001114999995479593,0.09773450000102457,0.5145225999985996,0.03,0.00375,4033,sparse,5.625e-05,6.25e-06,1007,sparse,0.703125,0.5675568999995448,1.4586963653564453,211.83203125,211.87109375,0.0390625
800,9,820262834,3,"2,3",5003,0.005,0.9850282428031331,0.9716101211183322,0.3758913000001485,0.0309863000002224,0.11754839999957767,0.016408499999670312,0,13.705,24.0,14480,0.017888899999888963,0.00010829999882844277,0.09954370000014023,0.5244184999992285,0.03,0.00375,4045,sparse,5.625e-05,6.25e-06,958,sparse,0.953125,0.5813459000000876,1.4445075988769531,211.87109375,211.91796875,0.046875
800,10,820262835,3,"2,3",4960,0.01,0.9701695489670343,0.9438452295879886,0.370643199999904,0.029309199999261182,0.10023050000017975,0.01600510000025679,0,13.65625,26.0,14586,0.008771200000410317,9.440000030735973e-05,0.09135749999950349,0.5001754999993864,0.03,0.00375,3955,sparse,5.625e-05,6.25e-06,1005,sparse,1.015625,0.5497126999998727,1.4362983703613281,211.91796875,211.9609375,0.04296875
1200,1,1220264026,3,"2,3",7577,0.005,0.9850348032218508,0.9723870651161951,0.5630003999995097,0.03571839999858639,0.11791009999978996,0.020240899999407702,0,13.888333333333334,34.0,22246,0.012713800000710762,0.00016480000158480834,0.10502210000049672,0.7166195000008884,0.02,0.0025,6065,sparse,2.5e-05,2.777777777777778e-06,1512,sparse,1.25,0.8053716000013083,2.239253044128418,211.9609375,213.421875,1.4609375
