n,rep,seed,K,m_values,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_laplacian_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,hypergraph_degree_mean,hypergraph_degree_max,zhou_laplacian_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in_m2,p_out_m2,num_edges_m2,sampling_m2,p_in_m3,p_out_m3,num_edges_m3,sampling_m3,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
1000,1,1020263426,3,"2,3",6202,0.005,0.9850256491106814,0.970279211179512,0.31192409999493975,0.02445820000139065,1.7562470999982907,0.01139270000567194,0,13.624,28.0,18136,0.010260700000799261,6.53000024612993e-05,1.7459133999946062,2.092621699994197,0.024,0.003,4982,sparse,3.6e-05,4e-06,1220,sparse,0.796875,2.1272366999983205,1.8510570526123047,202.328125,206.81640625,4.48828125
1000,2,1020263427,3,"2,3",6253,0.012,0.9643074393053777,0.936263161023663,0.33133559999987483,0.020537000003969297,0.05670559999998659,0.009028200001921505,0,13.77,28.0,18400,0.007423399998515379,7.48999955249019e-05,0.04920180000044638,0.4085726999983308,0.024,0.003,4989,sparse,3.6e-05,4e-06,1264,sparse,0.6875,0.44545759999891743,1.8356952667236328,206.8203125,207.484375,0.6640625
1000,3,1020263428,3,"2,3",6152,0.007,0.9790739105691171,0.9604168129507289,0.32336010000290116,0.019963400001870468,0.05590289999963716,0.009774199999810662,0,13.544,28.0,18124,0.00740360000054352,6.750000466126949e-05,0.048427000001538545,0.39922160001151497,0.024,0.003,4912,sparse,3.6e-05,4e-06,1240,sparse,0.765625,0.4347672000003513,1.807851791381836,207.484375,207.65234375,0.16796875
1000,4,1020263429,3,"2,3",6269,0.006,0.9820722345740972,0.9658285351851513,0.3280836999983876,0.023136600000725593,0.05626589999883436,0.00895440000022063,0,13.8,25.0,18372,0.007323300000280142,7.360000017797574e-05,0.04886450000049081,0.4074817000000621,0.024,0.003,5007,sparse,3.6e-05,4e-06,1262,sparse,0.71875,0.4434276999963913,1.8390522003173828,207.65234375,207.66796875,0.015625
1000,5,1020263430,3,"2,3",6185,0.009,0.9731533607907128,0.9493054750480225,0.3126062000010279,0.020581899996614084,0.05607869999948889,0.011979899994912557,0,13.658,30.0,18388,0.0075552999987849034,6.669999856967479e-05,0.04845200000272598,0.38926209999772254,0.024,0.003,4897,sparse,3.6e-05,4e-06,1288,sparse,0.78125,0.42305450000276323,1.8189334869384766,207.66796875,207.6640625,-0.00390625
1000,6,1020263431,3,"2,3",6284,0.005,0.9850391083479316,0.9702834206226291,0.3186478999996325,0.02123349999601487,0.06670139999914682,0.015011799994681496,0,13.873,27.0,18602,0.007151400001021102,7.310000364668667e-05,0.05947100000048522,0.4065769000008004,0.024,0.003,4979,sparse,3.6e-05,4e-06,1305,sparse,0.8125,0.4604262000066228,1.8437566757202148,207.6640625,207.6640625,0.0
1000,7,1020263432,3,"2,3",6199,0.007,0.9790872796666658,0.9591620497055316,0.3180099999954109,0.020695399995020125,0.061436700001650024,0.011681500000122469,0,13.591,27.0,18042,0.00732389999757288,7.599999662488699e-05,0.054030999999667984,0.4001362999842968,0.024,0.003,5006,sparse,3.6e-05,4e-06,1193,sparse,0.8125,0.43811669999558944,1.8136301040649414,207.6640625,207.98046875,0.31640625
1000,8,1020263433,3,"2,3",6172,0.003,0.991000018162288,0.981407458740322,0.30703010000434006,0.020537399999739137,0.05639569999766536,0.008890999997674953,0,13.608,26.0,18262,0.00744910000503296,7.330000516958535e-05,0.0488686000026064,0.38395850001688814,0.024,0.003,4908,sparse,3.6e-05,4e-06,1264,sparse,0.765625,0.4177620000045863,1.8107786178588867,207.98046875,208.046875,0.06640625
1000,9,1020263434,3,"2,3",6361,0.003,0.9909911089008283,0.9826637077447482,0.32249070000398206,0.020000299999082927,0.05541980000270996,0.008697600002051331,0,13.964,28.0,18534,0.007317499999771826,7.519999780924991e-05,0.048022700000728946,0.397906400001375,0.024,0.003,5119,sparse,3.6e-05,4e-06,1242,sparse,0.71875,0.4305716999951983,1.8609819412231445,208.046875,208.2109375,0.1640625
1000,10,1020263435,3,"2,3",6239,0.007,0.9790518399238818,0.9608828907252028,0.3137443999949028,0.0196049000005587,0.05668059999879915,0.011392100001103245,0,13.759,26.0,18424,0.007757700004731305,6.749999738531187e-05,0.04885110000032,0.3900255999978981,0.024,0.003,4958,sparse,3.6e-05,4e-06,1281,sparse,0.765625,0.430144999998447,1.8330821990966797,208.2109375,208.29296875,0.08203125
