n,rep,seed,K,m_values,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_laplacian_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,hypergraph_degree_mean,hypergraph_degree_max,zhou_laplacian_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in_m2,p_out_m2,num_edges_m2,sampling_m2,p_in_m3,p_out_m3,num_edges_m3,sampling_m3,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
5000,1,5020295440,2,"2,3",43747,0.0,1.0,1.0,2.273783699999967,0.14936330000000453,1.4322009999999636,0.029441600000041035,0,19.5256,37.0,132664,0.018573000000060347,0.00019400000007863127,1.4134258000000273,3.855339800000138,0.0048,0.0006,33613,sparse,1.44e-06,1.6e-07,10134,sparse,3.359375,4.0608219000000645,13.321420669555664,201.5859375,211.7109375,10.125
5000,2,5020295441,2,"2,3",43826,0.0004,0.9984003200002048,0.995307836010281,2.1767589999999473,0.13796430000002147,0.040273599999977705,0.029062600000088423,0,19.5326,38.0,132350,0.01220649999993384,9.879999993245292e-05,0.027961599999912323,2.3549901999997473,0.0048,0.0006,33815,sparse,1.44e-06,1.6e-07,10011,sparse,3.171875,2.5586465999999746,13.293871879577637,211.7109375,211.40625,-0.3046875
5000,3,5020295442,2,"2,3",44005,0.0002,0.9991999999680128,0.9974539183766785,2.148539000000028,0.13868309999998019,0.04096930000002885,0.03213659999994434,0,19.6378,38.0,133360,0.012403900000094836,0.00010299999996732367,0.02845690000003742,2.3281859000001077,0.0048,0.0006,33826,sparse,1.44e-06,1.6e-07,10179,sparse,3.09375,2.542176999999924,13.362414360046387,211.40625,212.98828125,1.58203125
5000,4,5020295443,2,"2,3",43416,0.0002,0.9991999999680128,0.9974539183766785,2.1326415999999426,0.1368439999999964,0.041596200000071804,0.0273103000000674,0,19.3308,37.0,130722,0.012355999999954292,0.00010090000000673172,0.029134199999930388,2.3110766999998305,0.0048,0.0006,33594,sparse,1.44e-06,1.6e-07,9822,sparse,3.125,2.5321870000000217,13.165595054626465,212.98828125,212.765625,-0.22265625
5000,5,5020295444,2,"2,3",43629,0.0,1.0,1.0,2.1263787999999977,0.1346554000000424,0.04031400000008034,0.02948449999996683,0,19.4816,39.0,132536,0.01222419999999147,9.870000008049828e-05,0.02798510000002352,2.3013422000001356,0.0048,0.0006,33479,sparse,1.44e-06,1.6e-07,10150,sparse,3.015625,2.5068628000000217,13.259550094604492,212.765625,211.76953125,-0.99609375
5000,6,5020295445,2,"2,3",43620,0.0002,0.9991999999680128,0.9974539183766785,2.1096981999999116,0.1376062000000502,0.045745400000100744,0.027589000000034503,0,19.4462,37.0,131846,0.01238249999994423,0.00012609999998858257,0.03323150000005626,2.293044499999951,0.0048,0.0006,33629,sparse,1.44e-06,1.6e-07,9991,sparse,3.125,2.501465499999995,13.235830307006836,211.76953125,211.859375,0.08984375
5000,7,5020295446,2,"2,3",43646,0.0,1.0,1.0,2.138883699999951,0.1381035999999085,0.0403395000000728,0.029409699999973782,0,19.4436,38.0,131682,0.012277200000085031,0.0001068000000259417,0.027950599999940096,2.317321899999911,0.0048,0.0006,33720,sparse,1.44e-06,1.6e-07,9926,sparse,3.109375,2.5362700000000586,13.239043235778809,211.859375,212.9140625,1.0546875
5000,8,5020295447,2,"2,3",43626,0.0004,0.99840032,0.9949079524628198,2.1946146000000226,0.136339899999939,0.042570800000021336,0.03094900000007783,0,19.484,38.0,132598,0.012437800000043353,0.00011370000004262693,0.03001419999998234,2.37352020000003,0.0048,0.0006,33458,sparse,1.44e-06,1.6e-07,10168,sparse,3.21875,2.573874100000012,13.262224197387695,212.9140625,212.45703125,-0.45703125
5000,9,5020295448,2,"2,3",43710,0.0006,0.9976009600961152,0.9927619860305283,2.1206569999999374,0.13433820000000196,0.04099189999999453,0.03461689999994633,0,19.473,35.0,131828,0.012112699999988763,9.59000000193555e-05,0.02877760000001217,2.2959813999999596,0.0048,0.0006,33765,sparse,1.44e-06,1.6e-07,9945,sparse,3.0625,2.522293999999988,13.254804611206055,212.45703125,212.36328125,-0.09375
5000,10,5020295449,2,"2,3",44153,0.0,1.0,1.0,2.1499423000000206,0.1347545999999511,0.03998910000007072,0.026670299999977942,0,19.6474,36.0,132694,0.011887100000080864,0.00010689999999158317,0.027989800000000287,2.3246807000000445,0.0048,0.0006,34222,sparse,1.44e-06,1.6e-07,9931,sparse,3.078125,2.5322013999999626,13.375993728637695,212.36328125,213.09765625,0.734375
